grant_id,recipient_org,program_area,board_approved_sek,board_minutes_ref,allocation_date,approver,disbursement_structure
NG-2026-Q3-001,Rada Barnen Stockholm,child_welfare,180000,SRC-19-p3,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-002,Stockholms Stadsmission,homelessness,220000,SRC-19-p3,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-003,Musikhogskolan Stockholm,arts_education,140000,SRC-19-p4,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-004,Naturskyddsforeningen,environment,320000,SRC-19-p4,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-005,Stiftelsen Blomsterfonden,elderly_care,210000,SRC-19-p4,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-006,Bris,child_welfare,260000,SRC-19-p5,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-007,Uppsala Universitet Medicinska Fakulteten,research,510000,SRC-19-p5,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-008,Rada Kvinnojour,domestic_violence_support,190000,SRC-19-p5,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-009,Stiftelsen Karolinska Institutet,research,720000,SRC-19-p6,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-010,Stockholm Konsertforening,arts,150000,SRC-19-p6,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-011,Amnesty International Sverige,human_rights,240000,SRC-19-p6,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-012,Individuell Manniskohjalp,humanitarian,280000,SRC-19-p7,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-013,Stiftelsen Radda Barnen,child_welfare,340000,SRC-19-p7,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-014,Cancerfonden,medical_research,610000,SRC-19-p7,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-015,Barncancerfonden,medical_research,540000,SRC-19-p8,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-016,Hjartlungfonden,medical_research,480000,SRC-19-p8,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-017,Diabetesfonden,medical_research,270000,SRC-19-p8,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-018,Stiftelsen Ny Skog,environment,450000,SRC-19-p9,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-019,Save the Children Sverige,child_welfare,310000,SRC-19-p9,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-020,Svenska Kyrkans Diakoni,social_welfare,220000,SRC-19-p9,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-021,Stiftelsen Norrland Forskning,research,390000,SRC-19-p10,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-022,Goteborgs Symfoniker,arts,180000,SRC-19-p10,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-023,Kungliga Operan,arts,260000,SRC-19-p10,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-024,Nordkalottens Kulturstiftelse,arts_regional,290000,SRC-19-p11,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-025,Stiftelsen Malmo Live,arts,170000,SRC-19-p11,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-026,Musikhjalpen Insamlingsstiftelse,humanitarian,410000,SRC-19-p11,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-027,Radio Hjalpen,humanitarian,380000,SRC-19-p12,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-028,Rikskomiten for Barn i Behov,child_welfare,220000,SRC-19-p12,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-029,Stiftelsen Fryshuset,youth,290000,SRC-19-p12,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-030,Kvinnors Ratt Stockholm,womens_rights,200000,SRC-19-p13,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-031,Stiftelsen for Klimatforskning,environment,180000,SRC-19-p13,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-032,Naturhistoriska Riksmuseet,science_education,250000,SRC-19-p13,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-033,Vetenskap and Allmanhet,science_communication,140000,SRC-19-p14,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-034,Stiftelsen Konstnarernas Kollektivverkstad,arts,110000,SRC-19-p14,2026-06-30,Board Grants Committee,single_tranche
NG-2026-Q3-035,Stiftelsen Sverige Amerika,cultural_exchange,220000,SRC-19-p14,2026-06-30,Board Grants Committee,single_tranche
