vpn_session_id,session_start_cet,session_end_cet,user_id,gateway,client_ip,bytes_transferred
VPN-000001,2024-11-01T16:35:00+01:00,2024-11-01T16:36:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.72,578560
VPN-000002,2024-11-01T16:13:00+01:00,2024-11-01T16:14:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.69,109568
VPN-000003,2024-11-01T17:52:00+01:00,2024-11-01T17:53:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.75,371712
VPN-000004,2024-11-01T17:49:00+01:00,2024-11-01T17:50:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.79,888832
VPN-000005,2024-11-01T18:51:00+01:00,2024-11-01T18:52:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.78,459776
VPN-000006,2024-11-01T16:01:00+01:00,2024-11-01T16:02:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.55,253952
VPN-000007,2024-11-01T18:10:00+01:00,2024-11-01T18:11:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.7,167936
VPN-000008,2024-11-04T17:09:00+01:00,2024-11-04T17:10:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.9,823296
VPN-000009,2024-11-04T18:45:00+01:00,2024-11-04T18:46:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.20,373760
VPN-000010,2024-11-04T17:26:00+01:00,2024-11-04T17:27:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.5,754688
VPN-000011,2024-11-04T17:10:00+01:00,2024-11-04T17:11:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.98,493568
VPN-000012,2024-11-04T16:08:00+01:00,2024-11-04T16:09:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.86,103424
VPN-000013,2024-11-04T16:24:00+01:00,2024-11-04T16:25:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.13,105472
VPN-000014,2024-11-05T16:53:00+01:00,2024-11-05T16:54:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.12,566272
VPN-000015,2024-11-05T18:23:00+01:00,2024-11-05T18:24:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.37,345088
VPN-000016,2024-11-05T17:20:00+01:00,2024-11-05T17:21:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.24,547840
VPN-000017,2024-11-05T18:24:00+01:00,2024-11-05T18:25:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.83,443392
VPN-000018,2024-11-05T18:33:00+01:00,2024-11-05T18:34:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.97,835584
VPN-000019,2024-11-06T18:13:00+01:00,2024-11-06T18:14:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.20,32768
VPN-000020,2024-11-06T18:46:00+01:00,2024-11-06T18:47:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.50,359424
VPN-000021,2024-11-06T16:52:00+01:00,2024-11-06T16:53:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.16,646144
VPN-000022,2024-11-06T17:45:00+01:00,2024-11-06T17:46:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.26,792576
VPN-000023,2024-11-06T16:45:00+01:00,2024-11-06T16:46:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.93,831488
VPN-000024,2024-11-06T16:09:00+01:00,2024-11-06T16:10:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.24,592896
VPN-000025,2024-11-06T18:44:00+01:00,2024-11-06T18:45:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.59,499712
VPN-000026,2024-11-06T16:51:00+01:00,2024-11-06T16:52:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.56,831488
VPN-000027,2024-11-07T16:25:00+01:00,2024-11-07T16:26:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.59,320512
VPN-000028,2024-11-07T16:38:00+01:00,2024-11-07T16:39:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.64,207872
VPN-000029,2024-11-07T18:49:00+01:00,2024-11-07T18:50:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.61,300032
VPN-000030,2024-11-07T16:52:00+01:00,2024-11-07T16:53:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.41,235520
VPN-000031,2024-11-07T16:18:00+01:00,2024-11-07T16:19:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.92,692224
VPN-000032,2024-11-07T16:54:00+01:00,2024-11-07T16:55:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.29,313344
VPN-000033,2024-11-07T18:03:00+01:00,2024-11-07T18:04:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.47,583680
VPN-000034,2024-11-07T17:17:00+01:00,2024-11-07T17:18:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.64,589824
VPN-000035,2024-11-08T18:02:00+01:00,2024-11-08T18:03:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.89,164864
VPN-000036,2024-11-08T18:47:00+01:00,2024-11-08T18:48:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.71,270336
VPN-000037,2024-11-08T18:53:00+01:00,2024-11-08T18:54:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.64,763904
VPN-000038,2024-11-08T16:11:00+01:00,2024-11-08T16:12:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.74,344064
VPN-000039,2024-11-08T18:46:00+01:00,2024-11-08T18:47:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.82,804864
VPN-000040,2024-11-08T18:09:00+01:00,2024-11-08T18:10:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.6,582656
VPN-000041,2024-11-08T18:30:00+01:00,2024-11-08T18:31:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.61,318464
VPN-000042,2024-11-11T18:37:00+01:00,2024-11-11T18:38:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.91,665600
VPN-000043,2024-11-11T16:35:00+01:00,2024-11-11T16:36:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.57,646144
VPN-000044,2024-11-11T17:31:00+01:00,2024-11-11T17:32:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.59,799744
VPN-000045,2024-11-11T16:30:00+01:00,2024-11-11T16:31:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.21,724992
VPN-000046,2024-11-11T17:48:00+01:00,2024-11-11T17:49:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.93,80896
VPN-000047,2024-11-11T16:50:00+01:00,2024-11-11T16:51:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.25,776192
VPN-000048,2024-11-12T16:07:00+01:00,2024-11-12T16:08:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.24,340992
VPN-000049,2024-11-12T18:06:00+01:00,2024-11-12T18:07:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.16,841728
VPN-000050,2024-11-12T16:07:00+01:00,2024-11-12T16:08:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.46,68608
VPN-000051,2024-11-12T16:00:00+01:00,2024-11-12T16:01:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.46,650240
VPN-000052,2024-11-12T18:35:00+01:00,2024-11-12T18:36:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.46,724992
VPN-000053,2024-11-12T17:18:00+01:00,2024-11-12T17:19:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.70,425984
VPN-000054,2024-11-12T18:44:00+01:00,2024-11-12T18:45:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.17,266240
VPN-000055,2024-11-12T17:32:00+01:00,2024-11-12T17:33:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.78,190464
VPN-000056,2024-11-13T18:46:00+01:00,2024-11-13T18:47:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.32,205824
VPN-000057,2024-11-13T16:57:00+01:00,2024-11-13T16:58:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.16,449536
VPN-000058,2024-11-13T17:39:00+01:00,2024-11-13T17:40:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.93,645120
VPN-000059,2024-11-13T17:25:00+01:00,2024-11-13T17:26:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.19,169984
VPN-000060,2024-11-13T16:45:00+01:00,2024-11-13T16:46:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.19,638976
