invoice_id,vendor_rank,vendor_name,entity_code,invoice_date,period,amount_sek,cadence,msa_id,status,bank_movement_id,diversion_ref
INV-000001,1,Ericsson AB,VG-SE1,2022-01-01,2022-01,3570428.67,monthly,MSA-0001,ok,BNK-000001,
INV-000002,1,Ericsson AB,VG-SE1,2022-02-01,2022-02,3570418.67,monthly,MSA-0001,ok,BNK-000002,
INV-000003,1,Ericsson AB,VG-SE1,2022-03-01,2022-03,3562957.67,monthly,MSA-0001,ok,BNK-000003,
INV-000004,1,Ericsson AB,VG-SE1,2022-04-01,2022-04,3569201.67,monthly,MSA-0001,ok,BNK-000004,
INV-000005,1,Ericsson AB,VG-SE1,2022-05-01,2022-05,3568709.67,monthly,MSA-0001,ok,BNK-000005,
INV-000006,1,Ericsson AB,VG-SE1,2022-06-01,2022-06,3564941.67,monthly,MSA-0001,ok,BNK-000006,
INV-000007,1,Ericsson AB,VG-SE1,2022-07-01,2022-07,3563998.67,monthly,MSA-0001,ok,BNK-000007,
INV-000008,1,Ericsson AB,VG-SE1,2022-08-01,2022-08,3568574.67,monthly,MSA-0001,ok,BNK-000008,
INV-000009,1,Ericsson AB,VG-SE1,2022-09-01,2022-09,3563048.67,monthly,MSA-0001,ok,BNK-000009,
INV-000010,1,Ericsson AB,VG-SE1,2022-10-01,2022-10,3566906.67,monthly,MSA-0001,ok,BNK-000010,
INV-000011,1,Ericsson AB,VG-SE1,2022-11-01,2022-11,3569589.67,monthly,MSA-0001,ok,BNK-000011,
INV-000012,1,Ericsson AB,VG-SE1,2022-12-01,2022-12,3563763.67,monthly,MSA-0001,ok,BNK-000012,
INV-000013,1,Ericsson AB,VG-SE1,2023-01-01,2023-01,3565888.67,monthly,MSA-0001,ok,BNK-000013,
INV-000014,1,Ericsson AB,VG-SE1,2023-02-01,2023-02,3566849.67,monthly,MSA-0001,ok,BNK-000014,
INV-000015,1,Ericsson AB,VG-SE1,2023-03-01,2023-03,3568983.67,monthly,MSA-0001,ok,BNK-000015,
