grant_id,recipient_org,program_area,board_approved_sek,ledger_recorded_sek,disbursement_date,acknowledgement_on_file,acknowledgement_date,board_minutes_ref
NG-2026-Q3-001,Rada Barnen Stockholm,child_welfare,180000,180000,2026-07-08,true,2026-07-22,SRC-19-p3
NG-2026-Q3-002,Stockholms Stadsmission,homelessness,220000,220000,2026-07-11,true,2026-07-25,SRC-19-p3
NG-2026-Q3-003,Musikhogskolan Stockholm,arts_education,140000,140000,2026-07-14,true,2026-07-28,SRC-19-p4
NG-2026-Q3-004,Naturskyddsforeningen,environment,320000,320000,2026-07-15,true,2026-08-01,SRC-19-p4
NG-2026-Q3-005,Stiftelsen Blomsterfonden,elderly_care,210000,210000,2026-07-18,true,2026-08-04,SRC-19-p4
NG-2026-Q3-006,Bris,child_welfare,260000,260000,2026-07-21,true,2026-08-07,SRC-19-p5
NG-2026-Q3-007,Uppsala Universitet Medicinska Fakulteten,research,510000,510000,2026-07-24,true,2026-08-10,SRC-19-p5
NG-2026-Q3-008,Rada Kvinnojour,domestic_violence_support,190000,190000,2026-07-28,true,2026-08-13,SRC-19-p5
NG-2026-Q3-009,Stiftelsen Karolinska Institutet,research,720000,720000,2026-07-31,true,2026-08-17,SRC-19-p6
NG-2026-Q3-010,Stockholm Konsertforening,arts,150000,150000,2026-08-03,true,2026-08-19,SRC-19-p6
NG-2026-Q3-011,Amnesty International Sverige,human_rights,240000,240000,2026-08-05,true,2026-08-21,SRC-19-p6
NG-2026-Q3-012,Individuell Manniskohjalp,humanitarian,280000,280000,2026-08-07,true,2026-08-24,SRC-19-p7
NG-2026-Q3-013,Stiftelsen Radda Barnen,child_welfare,340000,340000,2026-08-10,true,2026-08-26,SRC-19-p7
NG-2026-Q3-014,Cancerfonden,medical_research,610000,610000,2026-08-13,true,2026-08-29,SRC-19-p7
NG-2026-Q3-015,Barncancerfonden,medical_research,540000,540000,2026-08-15,true,2026-08-31,SRC-19-p8
NG-2026-Q3-016,Hjartlungfonden,medical_research,480000,480000,2026-08-17,true,2026-09-02,SRC-19-p8
NG-2026-Q3-017,Diabetesfonden,medical_research,270000,270000,2026-08-20,true,2026-09-04,SRC-19-p8
NG-2026-Q3-018,Stiftelsen Ny Skog,environment,450000,620000,2026-08-22,false,,SRC-19-p9
NG-2026-Q3-019,Save the Children Sverige,child_welfare,310000,310000,2026-08-24,true,2026-09-08,SRC-19-p9
NG-2026-Q3-020,Svenska Kyrkans Diakoni,social_welfare,220000,220000,2026-08-27,true,2026-09-10,SRC-19-p9
NG-2026-Q3-021,Stiftelsen Norrland Forskning,research,390000,390000,2026-08-29,true,2026-09-12,SRC-19-p10
NG-2026-Q3-022,Goteborgs Symfoniker,arts,180000,180000,2026-09-01,true,2026-09-15,SRC-19-p10
NG-2026-Q3-023,Kungliga Operan,arts,260000,260000,2026-09-04,true,2026-09-18,SRC-19-p10
NG-2026-Q3-024,Nordkalottens Kulturstiftelse,arts_regional,290000,290000,2026-09-07,false,,SRC-19-p11
NG-2026-Q3-025,Stiftelsen Malmo Live,arts,170000,170000,2026-09-10,true,2026-09-24,SRC-19-p11
NG-2026-Q3-026,Musikhjalpen Insamlingsstiftelse,humanitarian,410000,410000,2026-09-12,true,2026-09-26,SRC-19-p11
NG-2026-Q3-027,Radio Hjalpen,humanitarian,380000,380000,2026-09-15,true,2026-09-29,SRC-19-p12
NG-2026-Q3-028,Rikskomiten for Barn i Behov,child_welfare,220000,220000,2026-09-17,true,2026-10-01,SRC-19-p12
NG-2026-Q3-029,Stiftelsen Fryshuset,youth,290000,290000,2026-09-19,true,2026-10-03,SRC-19-p12
NG-2026-Q3-030,Kvinnors Ratt Stockholm,womens_rights,200000,200000,2026-09-22,true,2026-10-06,SRC-19-p13
NG-2026-Q3-031,Stiftelsen for Klimatforskning,environment,180000,182800,2026-09-24,true,2026-10-08,SRC-19-p13
NG-2026-Q3-032,Naturhistoriska Riksmuseet,science_education,250000,250000,2026-09-26,true,2026-10-10,SRC-19-p13
NG-2026-Q3-033,Vetenskap and Allmanhet,science_communication,140000,140000,2026-09-28,true,2026-10-12,SRC-19-p14
NG-2026-Q3-034,Stiftelsen Konstnarernas Kollektivverkstad,arts,110000,110000,2026-09-29,true,2026-10-14,SRC-19-p14
NG-2026-Q3-035,Stiftelsen Sverige Amerika,cultural_exchange,220000,220000,2026-09-30,true,2026-10-16,SRC-19-p14
