price_date,asset,price_sek_settlement,price_eur_settlement,source,retrieved_at
2022-11-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-02-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-05-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-05-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-08-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-08-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-11-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2023-11-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-02-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-02-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-03-14,BTC,412000.0,36492.4712,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-05-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-05-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-06-11,BTC,441000.0,39061.116,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-08-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-08-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-09-04,ETH,32100.0,2843.2241,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-11-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2024-11-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-02-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-02-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-02-18,BTC,438000.0,38795.3942,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-04-22,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-05-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-05-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-08-05,BTC,448000.0,39681.1337,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-08-15,ETH,31000,2745.7927,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-08-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-10-02,ETH,29800.0,2639.504,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-11-14,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-11-15,BTC,430000,38086.8025,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
2025-11-15,USDC,10.94,0.969,ECB euro reference rate + Kraken OHLC daily settlement close,2026-10-22T09:00:00+02:00
