je_id,posting_date,entity_code,account_code,account_name,debit_sek,credit_sek,memo,source_ref
JE-000001,2022-01-01,VG-SE1,6550,Consulting & services,3570428.67,0,AP Ericsson AB,INV-000001
JE-000002,2022-01-01,VG-SE1,1930,Bank,0,3570428.67,Payment Ericsson AB,BNK-000001
JE-000003,2022-02-01,VG-SE1,6550,Consulting & services,3570418.67,0,AP Ericsson AB,INV-000002
JE-000004,2022-02-01,VG-SE1,1930,Bank,0,3570418.67,Payment Ericsson AB,BNK-000002
JE-000005,2022-03-01,VG-SE1,6550,Consulting & services,3562957.67,0,AP Ericsson AB,INV-000003
JE-000006,2022-03-01,VG-SE1,1930,Bank,0,3562957.67,Payment Ericsson AB,BNK-000003
JE-000007,2022-04-01,VG-SE1,6550,Consulting & services,3569201.67,0,AP Ericsson AB,INV-000004
JE-000008,2022-04-01,VG-SE1,1930,Bank,0,3569201.67,Payment Ericsson AB,BNK-000004
JE-000009,2022-05-01,VG-SE1,6550,Consulting & services,3568709.67,0,AP Ericsson AB,INV-000005
JE-000010,2022-05-01,VG-SE1,1930,Bank,0,3568709.67,Payment Ericsson AB,BNK-000005
JE-000011,2022-06-01,VG-SE1,6550,Consulting & services,3564941.67,0,AP Ericsson AB,INV-000006
JE-000012,2022-06-01,VG-SE1,1930,Bank,0,3564941.67,Payment Ericsson AB,BNK-000006
JE-000013,2022-07-01,VG-SE1,6550,Consulting & services,3563998.67,0,AP Ericsson AB,INV-000007
JE-000014,2022-07-01,VG-SE1,1930,Bank,0,3563998.67,Payment Ericsson AB,BNK-000007
JE-000015,2022-08-01,VG-SE1,6550,Consulting & services,3568574.67,0,AP Ericsson AB,INV-000008
JE-000016,2022-08-01,VG-SE1,1930,Bank,0,3568574.67,Payment Ericsson AB,BNK-000008
JE-000017,2022-09-01,VG-SE1,6550,Consulting & services,3563048.67,0,AP Ericsson AB,INV-000009
JE-000018,2022-09-01,VG-SE1,1930,Bank,0,3563048.67,Payment Ericsson AB,BNK-000009
JE-000019,2022-10-01,VG-SE1,6550,Consulting & services,3566906.67,0,AP Ericsson AB,INV-000010
JE-000020,2022-10-01,VG-SE1,1930,Bank,0,3566906.67,Payment Ericsson AB,BNK-000010
JE-000021,2022-11-01,VG-SE1,6550,Consulting & services,3569589.67,0,AP Ericsson AB,INV-000011
JE-000022,2022-11-01,VG-SE1,1930,Bank,0,3569589.67,Payment Ericsson AB,BNK-000011
JE-000023,2022-12-01,VG-SE1,6550,Consulting & services,3563763.67,0,AP Ericsson AB,INV-000012
JE-000024,2022-12-01,VG-SE1,1930,Bank,0,3563763.67,Payment Ericsson AB,BNK-000012
JE-000025,2023-01-01,VG-SE1,6550,Consulting & services,3565888.67,0,AP Ericsson AB,INV-000013
JE-000026,2023-01-01,VG-SE1,1930,Bank,0,3565888.67,Payment Ericsson AB,BNK-000013
JE-000027,2023-02-01,VG-SE1,6550,Consulting & services,3566849.67,0,AP Ericsson AB,INV-000014
JE-000028,2023-02-01,VG-SE1,1930,Bank,0,3566849.67,Payment Ericsson AB,BNK-000014
JE-000029,2023-03-01,VG-SE1,6550,Consulting & services,3568983.67,0,AP Ericsson AB,INV-000015
JE-000030,2023-03-01,VG-SE1,1930,Bank,0,3568983.67,Payment Ericsson AB,BNK-000015
JE-000031,2023-04-01,VG-SE1,6550,Consulting & services,3566986.67,0,AP Ericsson AB,INV-000016
