ledger_id,exchange,account_type,asset,quantity,settlement_date,reporting_date,counterparty_wallet,linked_diversion_ref,sek_settlement_basis,sek_reporting_basis,eur_settlement_basis,notes
CXL-2024-0011,Kraken,operational,BTC,42.10,2024-03-14,2024-03-31,bc1qanchor2024a,,17345200.0,17345200.0,1536333.04,reproduced from operational exchange export
CXL-2024-0012,Kraken,operational,BTC,38.60,2024-06-11,2024-06-30,bc1qanchor2024b,,17022600.0,17022600.0,1507759.08,reproduced from operational exchange export
CXL-2024-0013,Kraken,operational,ETH,412.30,2024-09-04,2024-09-30,0xanchor2024a,,13234830.0,13234830.0,1172261.29,reproduced from operational exchange export
CXL-2024-0014,Binance,operational,BTC,42.10,2024-03-14,2024-03-31,bnbanchor2024a,,17345200.0,17345200.0,1536333.04,reproduced from operational exchange export
CXL-2024-0015,Binance,operational,BTC,38.60,2024-06-11,2024-06-30,bnbanchor2024b,,17022600.0,17022600.0,1507759.08,reproduced from operational exchange export
CXL-2024-0016,Binance,operational,ETH,412.30,2024-09-04,2024-09-30,bnbanchor2024c,,13234830.0,13234830.0,1172261.29,reproduced from operational exchange export
CXL-2025-0021,Kraken,operational,BTC,44.80,2025-02-18,2025-02-28,bc1qanchor2025a,,19622400.0,19622400.0,1738033.66,reproduced from operational exchange export
CXL-2025-0022,Binance,operational,BTC,44.80,2025-02-18,2025-02-28,bnbanchor2025a,,19622400.0,19622400.0,1738033.66,reproduced from operational exchange export
CXL-2025-0023,Coinbase,counterparty_only,USDC,780000,2025-04-22,2025-04-30,cbanchor2025a,,8533200.0,8533200.0,755819.31,reproduced from operational exchange export
CXL-2025-0024,Kraken,operational,BTC,20.10,2025-08-05,2025-08-31,bc1qanchor2025b,,9004800.0,9004800.0,797590.79,reproduced from operational exchange export
CXL-2025-0025,Binance,operational,BTC,20.10,2025-08-05,2025-08-31,bnbanchor2025b,,9004800.0,9004800.0,797590.79,reproduced from operational exchange export
CXL-2025-0026,Kraken,operational,ETH,388.50,2025-10-02,2025-10-31,0xanchor2025a,,11577300.0,11577300.0,1025447.3,reproduced from operational exchange export
CXL-2025-0027,Binance,operational,ETH,388.50,2025-10-02,2025-10-31,bnbanchor2025c,,11577300.0,11577300.0,1025447.3,reproduced from operational exchange export
CXL-2025-0028,Coinbase,counterparty_only,USDC,-1600,2025-11-14,2025-11-30,cbanchor2025b,,-1600.0,-1600.0,-141.72,reproduced from operational exchange export
CXL-DIV-118-2022Q4,Coinbase,counterparty_only,BTC,3.6493,2022-11-15,2022-12-31,cbanchor2022a,DIV-118-2022Q4,1569200.0,1258700.0,138990.17,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2023Q1,Coinbase,counterparty_only,ETH,52.1097,2023-02-15,2023-03-31,cbanchor2023b,DIV-118-2023Q1,1615400.0,1295700.0,143082.43,counterparty-ledger only; not in operational exchange feed
