rank,vendor_name,entity_code,annual_sek_erp,invoice_cadence,contract_start_date,contract_end_date,beneficial_owner,bo_filing_status,address_of_record
1,Ericsson AB,VG-SE1,42800000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Torshamnsgatan 21 Kista
2,Tele2 Sverige AB,VG-SE1,31200000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Torshamnsgatan 17 Kista
3,SEB Kort AB,VG-SE2,27500000,quarterly,2023-01-01,2027-12-31,SEB Group,current_2025,Sergels torg 2 Stockholm
4,Handelsbanken IT Solutions,VG-SE1,24900000,monthly,2022-01-01,2026-12-31,Handelsbanken Group,current_2025,Kungstradgardsgatan 2 Stockholm
5,Bergqvist Advokatbyra,VG-SE1,22100000,monthly,2021-01-01,2026-12-31,partners_bergqvist_lundin,current_2025,Norrlandsgatan 21 Stockholm
6,Deloitte Sverige AB,VG-SE2,21600000,monthly,2022-01-01,2026-12-31,Deloitte Touche Tohmatsu,current_2025,Rasundavagen 12 Solna
7,PwC Sverige AB,VG-SE3,20400000,monthly,2022-01-01,2026-12-31,PricewaterhouseCoopers,current_2025,Torsgatan 21 Stockholm
8,EY Sverige AB,VG-SE4,19700000,monthly,2022-01-01,2026-12-31,Ernst and Young Global,current_2025,Hamngatan 26 Stockholm
9,KPMG AB,VG-SE5,18900000,monthly,2022-01-01,2026-12-31,KPMG International,current_2025,Vasagatan 16 Stockholm
10,Siemens Sverige AB,VG-SE6,18200000,monthly,2022-01-01,2026-12-31,Siemens AG,current_2025,Johanneslundsvagen 12 Upplands Vasby
11,ABB AB,VG-SE7,17500000,monthly,2022-01-01,2026-12-31,ABB Ltd,current_2025,Kopparbergsvagen 2 Vasteras
12,Volvo Trucks AB,VG-SE8,16800000,monthly,2022-01-01,2026-12-31,AB Volvo,current_2025,Gropegardsgatan Goteborg
13,Scania CV AB,VG-SE9,16200000,monthly,2022-01-01,2026-12-31,Traton SE,current_2025,Vagnmakarvagen 1 Sodertalje
14,Sandvik AB,VG-SE10,15900000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Kungsbron 1 Stockholm
15,Atlas Copco AB,VG-SE11,15400000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Sickla Industrivag 19 Nacka
16,Electrolux AB,VG-SE12,14800000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,S:t Goransgatan 143 Stockholm
17,H and M Hennes and Mauritz AB,VG-SE13,14300000,monthly,2022-01-01,2026-12-31,Persson family,current_2025,Master Samuelsgatan 46A Stockholm
18,Hexagon AB,VG-SE14,13800000,monthly,2022-01-01,2026-12-31,Melker Schorling holdings,current_2025,Delta 5 Bergshamra
19,Assa Abloy AB,VG-SE1,13200000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Klarabergsviadukten 90 Stockholm
20,Investor AB,VG-SE2,12700000,quarterly,2022-01-01,2026-12-31,Wallenberg family,current_2025,Arsenalsgatan 8C Stockholm
21,Handelsbanken AB,VG-SE1,12300000,monthly,2022-01-01,2026-12-31,Oktogonen Stiftelsen,current_2025,Kungstradgardsgatan 2 Stockholm
22,Nordea Bank Abp,VG-SE2,11900000,monthly,2022-01-01,2026-12-31,Sampo Group,current_2025,Smalandsgatan 17 Stockholm
23,Swedbank AB,VG-SE3,11500000,monthly,2022-01-01,2026-12-31,Sparbanksstiftelserna,current_2025,Landsvagen 40 Sundbyberg
24,Telia Company AB,VG-SE4,11100000,monthly,2022-01-01,2026-12-31,Solidium Oy,current_2025,Stjarntorget 1 Solna
25,Trelleborg AB,VG-SE5,10700000,monthly,2022-01-01,2026-12-31,Dunker Foundation,current_2025,Johan Kocksgatan 10 Trelleborg
26,Getinge AB,VG-SE6,10300000,monthly,2022-01-01,2026-12-31,Carl Bennet AB,current_2025,Lindholmspiren 7A Goteborg
27,Alfa Laval AB,VG-SE7,9900000,monthly,2022-01-01,2026-12-31,Tetra Laval Group,current_2025,Rudeboksvagen 1 Lund
28,Boliden AB,VG-SE8,9500000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Klarabergsviadukten 90 Stockholm
29,Skanska AB,VG-SE9,9200000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Warfvinges vag 25 Stockholm
30,NCC AB,VG-SE10,8900000,monthly,2022-01-01,2026-12-31,Nordstjernan AB,current_2025,Herrjarva Torg 4 Solna
31,Peab AB,VG-SE11,8600000,monthly,2022-01-01,2026-12-31,Paulsson family,current_2025,Margretetorpsvagen 84 Forslov
32,JM AB,VG-SE12,8300000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Gustav III Boulevard 64 Solna
33,SKF AB,VG-SE13,8000000,monthly,2022-01-01,2026-12-31,Wallenberg Foundations,current_2025,Hornsgatan 1 Goteborg
34,Autoliv Sverige AB,VG-SE14,7800000,monthly,2022-01-01,2026-12-31,Autoliv Inc,current_2025,Wallentinsvagen 22 Vargarda
35,SSAB AB,VG-SE1,7600000,monthly,2022-01-01,2026-12-31,Industrivarden AB,current_2025,Klarabergsviadukten 70 Stockholm
36,Holmen AB,VG-SE2,7400000,quarterly,2022-01-01,2026-12-31,Lundberg family,current_2025,Strandvagen 1 Stockholm
37,SCA AB,VG-SE3,7200000,monthly,2022-01-01,2026-12-31,Industrivarden AB,current_2025,Skepplandavagen 1 Sundsvall
38,Billerud AB,VG-SE4,7000000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Frosundaviks alle 15 Solna
39,Stora Enso AB,VG-SE5,6800000,monthly,2022-01-01,2026-12-31,Solidium Oy,current_2025,World Trade Center Stockholm
40,Millicom International,VG-SE6,6600000,monthly,2022-01-01,2026-12-31,Kinnevik AB,current_2025,Regeringsgatan 65 Stockholm
41,Kinnevik AB,VG-SE7,6400000,quarterly,2022-01-01,2026-12-31,Stenbeck family,current_2025,Skeppsbron 18 Stockholm
42,Modern Times Group,VG-SE8,6200000,monthly,2022-01-01,2026-12-31,Kinnevik AB,current_2025,Ringvagen 52 Stockholm
43,Betsson AB,VG-SE9,6000000,monthly,2022-01-01,2026-12-31,Berit Hamilton estate,current_2025,Regeringsgatan 28 Stockholm
44,NetEnt AB,VG-SE10,5800000,monthly,2022-01-01,2026-12-31,Evolution Gaming Group,current_2025,Vasagatan 16 Stockholm
45,Evolution Gaming Group,VG-SE11,5600000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Hamngatan 11 Stockholm
46,Klarna Bank AB,VG-SE12,5400000,monthly,2022-01-01,2026-12-31,Sequoia Sebastian Siemiatkowski,current_2025,Sveavagen 46 Stockholm
47,Spotify AB,VG-SE13,5200000,monthly,2022-01-01,2026-12-31,Daniel Ek Martin Lorentzon,current_2025,Regeringsgatan 19 Stockholm
48,IKEA AB,VG-SE14,5000000,monthly,2022-01-01,2026-12-31,INGKA Foundation,current_2025,Alvgatan 8 Almhult
49,H and M Home AB,VG-SE1,4800000,monthly,2022-01-01,2026-12-31,Persson family,current_2025,Master Samuelsgatan 46A Stockholm
50,Fabege AB,VG-SE2,4600000,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Pyramidvagen 7 Solna
51,NyGroup AB,VG-SE7,4442420,monthly,2023-01-01,2026-12-31,family_office,lapsed_2023,Folkungagatan 120 Goteborg
52,Fjall Invest HB,VG-SE10,4388595,quarterly,2022-01-01,2026-12-31,founder_held,lapsed_2023,Industrivagen 129 Stockholm
53,StjarnSolutions OU,VG-SE13,4373347,annual,2022-01-01,2026-12-31,family_office,current_2025,Folkungagatan 140 Sundbyberg
54,Corvid Support AB,VG-SE11,4313913,monthly,2023-01-01,2026-12-31,L Roos,current_2025,Ringvagen 145 Tallinn
55,CorvidTeknik OU,VG-EE1,4281127,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2024,Hamngatan 6 Sodertalje
56,Kron Bemanning AB,VG-SE9,4257133,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Birger Jarlsgatan 108 Malmo
57,SkogNordic AB,VG-SE2,4224943,monthly,2023-01-01,2026-12-31,founder_held,current_2025,Birger Jarlsgatan 128 Tallinn
58,AsterSolutions AB,VG-SE10,4195286,monthly,2022-01-01,2026-12-31,founder_held,current_2025,Drottninggatan 48 Solna
59,HalcyAdvisory AB,VG-SE6,4160977,monthly,2022-01-01,2026-12-31,family_office,lapsed_2023,Ringvagen 121 Vasteras
60,CorvidFastighet OU,VG-SE8,4115862,quarterly,2023-01-01,2026-12-31,H Sandberg,current_2025,Ringvagen 103 Sundbyberg
61,Ny Konsult HB,VG-SE12,4080616,monthly,2022-01-01,2026-12-31,K Lindqvist,none_on_file,Odengatan 32 Nacka
62,Ek Systems AB,VG-SE2,4065222,monthly,2022-01-01,2026-12-31,private_holding,lapsed_2023,Drottninggatan 90 Vasteras
63,HalcyNordic HB,VG-SE9,4008136,monthly,2023-01-01,2026-12-31,family_office,current_2025,Industrivagen 111 Tallinn
64,Fors Partners AB,VG-EE1,3966658,annual,2022-01-01,2026-12-31,private_holding,current_2025,Hamngatan 164 Malmo
