courseId,id,title,description,state,creationTime,updateTime,creatorUserId,topicId,alternateLink,materialType,materialUrl
course-ceu-0,mat-1,Syllabus,CEU syllabus.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/syllabus
course-ceu-0,mat-2,Material 0,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m0
course-ceu-1,mat-3,Material 1,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m1
course-ceu-2,mat-4,Material 2,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m2
course-ceu-3,mat-5,Material 3,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m3
course-ceu-4,mat-6,Material 4,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m4
course-ceu-5,mat-7,Material 5,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m5
course-ceu-6,mat-8,Material 6,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m6
course-ceu-7,mat-9,Material 7,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m7
course-ceu-8,mat-10,Material 8,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m8
course-ceu-9,mat-11,Material 9,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m9
course-ceu-0,mat-12,Material 10,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m10
course-ceu-1,mat-13,Material 11,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m11
course-ceu-2,mat-14,Material 12,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m12
course-ceu-3,mat-15,Material 13,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m13
course-ceu-4,mat-16,Material 14,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m14
course-ceu-5,mat-17,Material 15,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m15
course-ceu-6,mat-18,Material 16,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m16
course-ceu-7,mat-19,Material 17,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m17
course-ceu-8,mat-20,Material 18,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m18
course-ceu-9,mat-21,Material 19,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m19
course-ceu-0,mat-22,Material 20,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m20
course-ceu-1,mat-23,Material 21,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m21
course-ceu-2,mat-24,Material 22,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m22
course-ceu-3,mat-25,Material 23,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m23
course-ceu-4,mat-26,Material 24,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m24
course-ceu-5,mat-27,Material 25,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m25
course-ceu-6,mat-28,Material 26,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m26
course-ceu-7,mat-29,Material 27,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m27
course-ceu-8,mat-30,Material 28,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m28
course-ceu-9,mat-31,Material 29,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m29
course-ceu-0,mat-32,Material 30,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m30
course-ceu-1,mat-33,Material 31,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m31
course-ceu-2,mat-34,Material 32,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m32
course-ceu-3,mat-35,Material 33,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m33
course-ceu-4,mat-36,Material 34,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m34
course-ceu-5,mat-37,Material 35,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m35
course-ceu-6,mat-38,Material 36,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m36
course-ceu-7,mat-39,Material 37,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m37
course-ceu-8,mat-40,Material 38,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m38
course-ceu-9,mat-41,Material 39,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m39
course-ceu-0,mat-42,Material 40,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m40
course-ceu-1,mat-43,Material 41,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m41
course-ceu-2,mat-44,Material 42,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m42
course-ceu-3,mat-45,Material 43,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m43
course-ceu-4,mat-46,Material 44,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m44
course-ceu-5,mat-47,Material 45,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m45
course-ceu-6,mat-48,Material 46,Reading.,PUBLISHED,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,provider-ceu,topic-ceu,,link,https://ceu.example.com/m46
