courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course-ceu-0,cw-0,CEU Activity 0 (3.0 hours),Worth 3.0 contact hours.,PUBLISHED,3.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-1,cw-1,CEU Activity 1 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-2,cw-2,CEU Activity 2 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-3,cw-3,CEU Activity 3 (1.5 hours),Worth 1.5 contact hours.,PUBLISHED,1.5,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-4,cw-4,CEU Activity 4 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-5,cw-5,CEU Activity 5 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-6,cw-6,CEU Activity 6 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-7,cw-7,CEU Activity 7 (2.0 hours),Worth 2.0 contact hours.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-8,cw-8,CEU Activity 8 (pending),Pending completion.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-9,cw-9,CEU Activity 9 (pending),Pending completion.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-0,cw-10,CEU Activity 10 (pending),Pending completion.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-1,cw-11,CEU Activity 11 (pending),Pending completion.,PUBLISHED,2.0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-1,cw-extra-0,Reference Reading 0,"Optional, not for credit.",PUBLISHED,0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-2,cw-extra-1,Reference Reading 1,"Optional, not for credit.",PUBLISHED,0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-3,cw-extra-2,Reference Reading 2,"Optional, not for credit.",PUBLISHED,0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
course-ceu-4,cw-extra-3,Reference Reading 3,"Optional, not for credit.",PUBLISHED,0,ASSIGNMENT,topic-ceu,2026-01-05T00:00:00Z,2026-11-01T00:00:00Z,2027,1,31,23,59,
