id,name,section,descriptionHeading,description,room,ownerId,courseState,creationTime,updateTime,enrollmentCode,alternateLink,guardiansEnabled,calendarId
course-ceu-0,CEU Module 0,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU0,,False,
course-ceu-1,CEU Module 1,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU1,,False,
course-ceu-2,CEU Module 2,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU2,,False,
course-ceu-3,CEU Module 3,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU3,,False,
course-ceu-4,CEU Module 4,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU4,,False,
course-ceu-5,CEU Module 5,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU5,,False,
course-ceu-6,CEU Module 6,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU6,,False,
course-ceu-7,CEU Module 7,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU7,,False,
course-ceu-8,CEU Module 8,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU8,,False,
course-ceu-9,CEU Module 9,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ACTIVE,2026-01-01T00:00:00Z,2026-11-01T00:00:00Z,CEU9,,False,
course-ceu-10,CEU Module 10,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU10,,False,
course-ceu-11,CEU Module 11,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU11,,False,
course-ceu-12,CEU Module 12,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU12,,False,
course-ceu-13,CEU Module 13,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU13,,False,
course-ceu-14,CEU Module 14,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU14,,False,
course-ceu-15,CEU Module 15,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU15,,False,
course-ceu-16,CEU Module 16,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU16,,False,
course-ceu-17,CEU Module 17,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU17,,False,
course-ceu-18,CEU Module 18,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU18,,False,
course-ceu-19,CEU Module 19,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU19,,False,
course-ceu-20,CEU Module 20,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU20,,False,
course-ceu-21,CEU Module 21,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU21,,False,
course-ceu-22,CEU Module 22,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU22,,False,
course-ceu-23,CEU Module 23,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU23,,False,
course-ceu-24,CEU Module 24,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU24,,False,
course-ceu-25,CEU Module 25,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU25,,False,
course-ceu-26,CEU Module 26,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU26,,False,
course-ceu-27,CEU Module 27,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU27,,False,
course-ceu-28,CEU Module 28,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU28,,False,
course-ceu-29,CEU Module 29,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU29,,False,
course-ceu-30,CEU Module 30,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU30,,False,
course-ceu-31,CEU Module 31,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU31,,False,
course-ceu-32,CEU Module 32,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU32,,False,
