"id","title","overview","release_date","vote_average","vote_count","genre_ids","popularity","original_language"
"10001","Movie Golf Market","hotel market juliet forest delta bravo delta stone juliet valley river echo","2023-07-30","4.7","3547","2|15","86.389","fr"
"10002","Movie Golf Cloud","india juliet valley delta hotel charlie mountain bravo india forest foxtrot bridge","2023-08-14","6.0","3326","13","85.112","ko"
"10003","Movie Golf Bravo","alpha juliet market forest bridge echo forest india bridge tower delta bridge","2019-08-25","8.2","2662","10","84.914","ko"
"10004","Movie Cloud Tower","alpha cloud alpha market forest stone hotel river tower cloud echo forest","2026-04-13","8.2","9979","18|6","32.744","es"
"10005","Movie Golf Foxtrot","alpha bravo valley india river delta stone tower bravo mountain charlie stone","2024-09-20","7.4","2972","6|7|9","74.932","de"
"10006","Movie Bravo Hotel","cloud alpha river charlie valley juliet foxtrot river bridge river forest charlie","2018-11-06","3.1","12431","13","83.789","es"
"10007","Movie Market Bridge","bravo forest juliet charlie forest market juliet forest india stone stone river","2025-06-25","7.9","10186","6|12|17","3.265","es"
"10008","Movie Juliet Golf","india india juliet alpha valley mountain river valley echo alpha market ocean","2024-05-27","7.6","13395","1|10|6","6.044","ja"
"10009","Movie Tower Juliet","echo juliet bridge bridge stone river juliet valley juliet charlie juliet hotel","2024-12-26","6.0","10967","16|12|11","78.591","fr"
"10010","Movie Tower Valley","delta bridge forest bravo bridge tower forest bridge valley bravo valley cloud","2022-07-14","4.1","3463","11|9|10","35.784","de"
"10011","Movie Bravo Foxtrot","echo delta ocean market bravo market echo golf echo ocean india golf","2022-10-27","3.1","2156","16","52.142","ja"
"10012","Movie Delta Market","forest bravo charlie golf alpha valley india valley market bridge alpha forest","2024-07-20","4.8","7515","2|3","95.524","fr"
"10013","Movie Stone Hotel","juliet market market charlie echo golf bridge alpha mountain cloud stone river","2020-07-19","4.3","14834","16","85.964","en"
"10014","Movie Bravo Alpha","mountain market delta delta ocean valley tower forest golf delta forest charlie","2022-12-30","5.9","7067","5|14|16","93.056","ko"
"10015","Movie Echo Stone","golf forest cloud river bridge tower tower juliet tower bravo bridge hotel","2021-06-12","5.8","8346","1","8.67","ja"
"10016","Movie Bridge Hotel","market india delta foxtrot delta delta bravo golf alpha mountain bridge ocean","2026-02-05","8.7","5166","3|6","52.201","ja"
"10017","Movie Delta Ocean","mountain mountain delta forest echo india valley charlie alpha cloud stone cloud","2025-06-06","8.5","9569","12|3","99.548","ko"
"10018","Movie Foxtrot Foxtrot","ocean forest ocean golf market ocean mountain charlie delta forest alpha river","2025-11-03","5.6","2442","2|19","63.419","de"
"10019","Movie Hotel Bridge","cloud juliet market alpha bridge river hotel valley bravo foxtrot forest golf","2021-09-09","3.7","4644","1|12","22.555","ja"
"10020","Movie River Ocean","market ocean bravo forest juliet hotel hotel golf juliet hotel alpha bridge","2023-04-21","3.1","1639","16|15","98.882","de"
