order_id,product_id,quantity,unit_price,line_total,replacement_for
ord_001,prd_001,2,3.99,7.98,
ord_001,prd_002,1,5.49,5.49,
ord_001,prd_003,3,2.99,8.97,
ord_001,prd_0012,1,11.79,11.70,
ord_002,prd_0008,3,1.72,21.99,
ord_001,prd_0017,2,6.81,4.98,
ord_001,prd_0014,4,7.93,13.13,
ord_001,prd_0015,3,11.26,15.65,
ord_001,prd_0015,2,4.80,22.03,
ord_002,prd_0001,2,9.51,1.02,
ord_002,prd_0006,3,2.73,2.09,
ord_002,prd_0010,5,1.28,3.98,
ord_001,prd_0002,4,3.49,29.70,
ord_002,prd_0004,2,2.73,3.29,
ord_002,prd_0013,1,7.23,27.45,
ord_003,prd_0004,5,1.32,14.59,
ord_002,prd_0011,3,2.78,14.34,
ord_002,prd_0011,2,3.25,15.97,
ord_002,prd_0010,1,3.63,26.32,
ord_002,prd_0019,2,8.62,7.65,
ord_003,prd_0004,2,2.32,20.56,
ord_001,prd_0005,1,11.95,4.85,
ord_001,prd_0014,3,1.48,18.11,
ord_002,prd_0011,4,1.13,5.91,
ord_003,prd_0011,5,7.01,3.11,
ord_003,prd_0015,1,11.83,28.57,
ord_002,prd_0018,1,2.57,17.54,
ord_003,prd_0020,4,8.63,11.80,
ord_002,prd_0019,2,11.69,2.27,
ord_003,prd_0002,2,10.60,22.68,
ord_00038,prd_00054,2,1.96,18.48,
ord_00022,prd_00058,5,8.50,1.15,
ord_00026,prd_00033,5,1.42,11.19,
ord_00131,prd_00032,2,4.96,33.26,
ord_00156,prd_00065,3,11.01,2.48,
ord_00144,prd_00046,2,1.76,22.90,
ord_00113,prd_00014,4,13.82,1.79,
ord_00052,prd_00017,2,1.17,10.87,
ord_00023,prd_00087,3,1.33,23.91,
ord_00010,prd_00090,4,1.24,6.22,
ord_00082,prd_00040,3,2.74,17.90,
ord_00044,prd_00016,1,4.02,23.99,
ord_00055,prd_00038,2,14.57,25.56,
ord_00131,prd_00021,5,8.42,39.51,
ord_00071,prd_00070,2,8.70,14.98,
ord_00140,prd_00006,5,11.94,3.38,
ord_00026,prd_00077,3,3.98,23.73,
ord_00080,prd_00093,5,3.20,16.33,
ord_00165,prd_00046,3,12.74,36.33,
ord_00052,prd_00006,4,1.56,21.80,
ord_00004,prd_00019,1,8.29,32.50,
ord_00010,prd_00079,1,7.95,13.67,
ord_00021,prd_00041,3,8.99,16.94,
ord_00159,prd_00033,1,1.63,22.21,
ord_00144,prd_00097,4,1.19,16.68,
ord_00015,prd_00029,2,14.48,20.85,
ord_00145,prd_00083,4,8.33,35.78,
ord_00032,prd_00096,5,2.58,35.31,
ord_00142,prd_00009,4,9.21,32.44,
ord_00113,prd_00090,5,11.84,32.61,
ord_00072,prd_00068,2,14.72,5.11,
ord_00165,prd_00087,1,3.52,20.91,
ord_00149,prd_00058,3,4.24,13.10,
ord_00042,prd_00002,3,11.63,31.62,
ord_00070,prd_00087,4,8.95,6.28,
ord_00138,prd_00091,2,3.08,8.58,
ord_00020,prd_00064,1,5.91,20.13,
ord_00170,prd_00008,4,12.61,35.07,
ord_00061,prd_00031,2,14.05,1.78,
ord_00144,prd_00079,2,5.14,16.88,
ord_00166,prd_00035,1,12.69,19.52,
ord_00031,prd_00049,2,3.54,6.47,
ord_00004,prd_00035,1,10.58,17.52,
ord_00103,prd_00099,3,9.81,6.41,
ord_00021,prd_00009,2,5.75,4.85,
ord_00014,prd_00088,2,12.76,11.33,
ord_00120,prd_00072,3,10.57,27.22,
ord_00053,prd_00049,2,13.60,16.51,
ord_00128,prd_00073,4,3.79,12.75,
ord_00156,prd_00015,4,7.27,39.44,
ord_00008,prd_00008,3,12.19,20.59,
ord_00049,prd_00029,2,14.60,18.24,
ord_00133,prd_00088,5,2.10,5.99,
ord_00151,prd_00092,5,9.82,10.72,
ord_00074,prd_00084,3,14.42,34.35,
ord_00153,prd_00035,3,3.06,10.23,
ord_00086,prd_00004,2,10.39,35.85,
ord_00092,prd_00035,4,7.48,5.29,
ord_00140,prd_00033,5,14.35,35.89,
ord_00064,prd_00090,1,11.76,21.73,
ord_00037,prd_00022,3,3.64,25.25,
ord_00121,prd_00090,2,14.54,14.96,
ord_00098,prd_00067,3,5.88,25.58,
ord_00042,prd_00033,4,11.34,6.87,
ord_00136,prd_00076,4,3.08,14.13,
ord_00028,prd_00060,3,13.16,39.39,
ord_00121,prd_00034,5,13.45,16.54,
ord_00118,prd_00099,4,11.28,8.09,
ord_00021,prd_00089,1,1.24,29.31,
ord_00026,prd_00021,4,9.76,19.91,
ord_00144,prd_00048,4,8.73,39.84,
ord_00170,prd_00077,4,2.32,8.61,
ord_00077,prd_00080,3,3.21,2.21,
ord_00072,prd_00079,2,3.66,12.99,
ord_00032,prd_00045,4,5.50,1.41,
ord_00011,prd_00016,2,13.41,32.23,
ord_00046,prd_00001,4,14.62,23.95,
