place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
plc-1,4820 Grand River Ave,formatted_address 0,0,0,,0,premise,active,0
plc-2,Dunn & Sons Auto Service,formatted_address 1,0,0,4.7,0,car_repair,active,0
place_id_noise_500,name 500,formatted_address 500,0,0,0,0,types 500,active,0
place_id_noise_501,name 501,formatted_address 501,0,0,0,0,types 501,active,0
place_id_noise_502,name 502,formatted_address 502,0,0,0,0,types 502,active,0
place_id_noise_503,name 503,formatted_address 503,0,0,0,0,types 503,active,0
place_id_noise_504,name 504,formatted_address 504,0,0,0,0,types 504,active,0
place_id_noise_505,name 505,formatted_address 505,0,0,0,0,types 505,active,0
place_id_noise_506,name 506,formatted_address 506,0,0,0,0,types 506,active,0
place_id_noise_507,name 507,formatted_address 507,0,0,0,0,types 507,active,0
place_id_noise_508,name 508,formatted_address 508,0,0,0,0,types 508,active,0
place_id_noise_509,name 509,formatted_address 509,0,0,0,0,types 509,active,0
place_id_noise_510,name 510,formatted_address 510,0,0,0,0,types 510,active,0
place_id_noise_511,name 511,formatted_address 511,0,0,0,0,types 511,active,0
place_id_noise_512,name 512,formatted_address 512,0,0,0,0,types 512,active,0
