query,formatted_address,lat,lng,place_id,location_type
4820 Grand River Ave,"4820 Grand River Ave, Detroit, MI 48208",42.3548,-83.0996,plc-1,location_type 0
Dunn & Sons Auto Service,"Grandmont-Rosedale, Detroit, MI",42.3961,-83.2216,plc-2,location_type 1
query_noise_500,formatted_address 500,0,0,place_id_1500,location_type 500
query_noise_501,formatted_address 501,0,0,place_id_1501,location_type 501
query_noise_502,formatted_address 502,0,0,place_id_1502,location_type 502
query_noise_503,formatted_address 503,0,0,place_id_1503,location_type 503
query_noise_504,formatted_address 504,0,0,place_id_1504,location_type 504
query_noise_505,formatted_address 505,0,0,place_id_1505,location_type 505
query_noise_506,formatted_address 506,0,0,place_id_1506,location_type 506
query_noise_507,formatted_address 507,0,0,place_id_1507,location_type 507
query_noise_508,formatted_address 508,0,0,place_id_1508,location_type 508
query_noise_509,formatted_address 509,0,0,place_id_1509,location_type 509
