record_id,rsvp_date,tier_code,tier_name,source_channel,rsvp_count,capacity,tier_cumulative,tier_capacity,notes
EF-0001,2026-09-04,GEN,General Admission,organic-eventbrite,6,700,6,700,
EF-0002,2026-09-04,GEN,General Admission,council-newsletter,4,700,10,700,
EF-0003,2026-09-04,GEN,General Admission,social-facebook,4,700,14,700,
EF-0004,2026-09-05,GEN,General Admission,organic-eventbrite,6,700,20,700,
EF-0005,2026-09-05,GEN,General Admission,council-newsletter,4,700,24,700,
EF-0006,2026-09-05,GEN,General Admission,social-facebook,5,700,29,700,
EF-0007,2026-09-06,GEN,General Admission,organic-eventbrite,5,700,34,700,
EF-0008,2026-09-06,GEN,General Admission,council-newsletter,5,700,39,700,
EF-0009,2026-09-06,GEN,General Admission,social-facebook,4,700,43,700,
EF-0010,2026-09-07,GEN,General Admission,organic-eventbrite,5,700,48,700,
EF-0011,2026-09-07,GEN,General Admission,council-newsletter,4,700,52,700,
EF-0012,2026-09-07,GEN,General Admission,social-facebook,4,700,56,700,
EF-0013,2026-09-08,GEN,General Admission,organic-eventbrite,5,700,61,700,
EF-0014,2026-09-08,GEN,General Admission,council-newsletter,4,700,65,700,
EF-0015,2026-09-08,GEN,General Admission,social-facebook,4,700,69,700,
EF-0016,2026-09-09,GEN,General Admission,organic-eventbrite,6,700,75,700,
EF-0017,2026-09-09,GEN,General Admission,council-newsletter,4,700,79,700,
EF-0018,2026-09-09,GEN,General Admission,social-facebook,3,700,82,700,
EF-0019,2026-09-10,GEN,General Admission,organic-eventbrite,4,700,86,700,
EF-0020,2026-09-10,GEN,General Admission,council-newsletter,6,700,92,700,
EF-0021,2026-09-10,GEN,General Admission,social-facebook,5,700,97,700,
EF-0022,2026-09-11,GEN,General Admission,organic-eventbrite,4,700,101,700,
EF-0023,2026-09-11,GEN,General Admission,council-newsletter,6,700,107,700,
EF-0024,2026-09-11,GEN,General Admission,social-facebook,4,700,111,700,
EF-0025,2026-09-12,GEN,General Admission,organic-eventbrite,5,700,116,700,
EF-0026,2026-09-12,GEN,General Admission,council-newsletter,5,700,121,700,
EF-0027,2026-09-12,GEN,General Admission,social-facebook,4,700,125,700,
EF-0028,2026-09-13,GEN,General Admission,organic-eventbrite,5,700,130,700,
EF-0029,2026-09-13,GEN,General Admission,council-newsletter,6,700,136,700,
EF-0030,2026-09-13,GEN,General Admission,social-facebook,5,700,141,700,
EF-0031,2026-09-14,GEN,General Admission,organic-eventbrite,5,700,146,700,
EF-0032,2026-09-14,GEN,General Admission,council-newsletter,4,700,150,700,
EF-0033,2026-09-14,GEN,General Admission,social-facebook,4,700,154,700,
EF-0034,2026-09-15,GEN,General Admission,organic-eventbrite,6,700,160,700,
EF-0035,2026-09-15,GEN,General Admission,council-newsletter,6,700,166,700,
EF-0036,2026-09-15,GEN,General Admission,social-facebook,4,700,170,700,
EF-0037,2026-09-16,GEN,General Admission,organic-eventbrite,5,700,175,700,
EF-0038,2026-09-16,GEN,General Admission,council-newsletter,6,700,181,700,
EF-0039,2026-09-16,GEN,General Admission,social-facebook,4,700,185,700,
EF-0040,2026-09-17,GEN,General Admission,organic-eventbrite,5,700,190,700,
EF-0041,2026-09-17,GEN,General Admission,council-newsletter,4,700,194,700,
EF-0042,2026-09-17,GEN,General Admission,social-facebook,4,700,198,700,
EF-0043,2026-09-18,GEN,General Admission,organic-eventbrite,5,700,203,700,
EF-0044,2026-09-18,GEN,General Admission,council-newsletter,4,700,207,700,
EF-0045,2026-09-18,GEN,General Admission,social-facebook,2,700,209,700,
EF-0046,2026-09-19,GEN,General Admission,organic-eventbrite,5,700,214,700,
EF-0047,2026-09-19,GEN,General Admission,council-newsletter,3,700,217,700,
EF-0048,2026-09-19,GEN,General Admission,social-facebook,3,700,220,700,
EF-0049,2026-09-20,GEN,General Admission,organic-eventbrite,4,700,224,700,
EF-0050,2026-09-20,GEN,General Admission,council-newsletter,5,700,229,700,
EF-0051,2026-09-20,GEN,General Admission,social-facebook,3,700,232,700,
EF-0052,2026-09-21,GEN,General Admission,organic-eventbrite,5,700,237,700,
EF-0053,2026-09-21,GEN,General Admission,council-newsletter,5,700,242,700,
EF-0054,2026-09-21,GEN,General Admission,social-facebook,2,700,244,700,
EF-0055,2026-09-22,GEN,General Admission,organic-eventbrite,3,700,247,700,
EF-0056,2026-09-22,GEN,General Admission,council-newsletter,3,700,250,700,
EF-0057,2026-09-22,GEN,General Admission,social-facebook,4,700,254,700,
EF-0058,2026-09-23,GEN,General Admission,organic-eventbrite,5,700,259,700,
EF-0059,2026-09-23,GEN,General Admission,council-newsletter,3,700,262,700,
EF-0060,2026-09-23,GEN,General Admission,social-facebook,3,700,265,700,
EF-0061,2026-09-24,GEN,General Admission,organic-eventbrite,6,700,271,700,
EF-0062,2026-09-24,GEN,General Admission,council-newsletter,3,700,274,700,
EF-0063,2026-09-24,GEN,General Admission,social-facebook,2,700,276,700,
EF-0064,2026-09-25,GEN,General Admission,organic-eventbrite,4,700,280,700,
EF-0065,2026-09-25,GEN,General Admission,council-newsletter,6,700,286,700,
EF-0066,2026-09-25,GEN,General Admission,social-facebook,4,700,290,700,
EF-0067,2026-09-26,GEN,General Admission,organic-eventbrite,5,700,295,700,
EF-0068,2026-09-26,GEN,General Admission,council-newsletter,4,700,299,700,
EF-0069,2026-09-26,GEN,General Admission,social-facebook,4,700,303,700,
EF-0070,2026-09-27,GEN,General Admission,organic-eventbrite,5,700,308,700,
EF-0071,2026-09-27,GEN,General Admission,council-newsletter,5,700,313,700,
EF-0072,2026-09-27,GEN,General Admission,social-facebook,5,700,318,700,
EF-0073,2026-09-28,GEN,General Admission,organic-eventbrite,6,700,324,700,
EF-0074,2026-09-28,GEN,General Admission,council-newsletter,5,700,329,700,
EF-0075,2026-09-28,GEN,General Admission,social-facebook,4,700,333,700,
EF-0076,2026-09-29,GEN,General Admission,organic-eventbrite,5,700,338,700,
EF-0077,2026-09-29,GEN,General Admission,council-newsletter,6,700,344,700,
EF-0078,2026-09-29,GEN,General Admission,social-facebook,4,700,348,700,
EF-0079,2026-09-30,GEN,General Admission,organic-eventbrite,5,700,353,700,
EF-0080,2026-09-30,GEN,General Admission,council-newsletter,6,700,359,700,
EF-0081,2026-09-30,GEN,General Admission,social-facebook,6,700,365,700,
EF-0082,2026-10-01,GEN,General Admission,organic-eventbrite,5,700,370,700,
EF-0083,2026-10-01,GEN,General Admission,council-newsletter,6,700,376,700,
EF-0084,2026-10-01,GEN,General Admission,social-facebook,4,700,380,700,
EF-0085,2026-10-02,GEN,General Admission,organic-eventbrite,6,700,386,700,
EF-0086,2026-10-02,GEN,General Admission,council-newsletter,5,700,391,700,
EF-0087,2026-10-02,GEN,General Admission,social-facebook,4,700,395,700,
EF-0088,2026-10-03,GEN,General Admission,organic-eventbrite,7,700,402,700,
EF-0089,2026-10-03,GEN,General Admission,council-newsletter,7,700,409,700,
EF-0090,2026-10-03,GEN,General Admission,social-facebook,3,700,412,700,
EF-0091,2026-09-04,VOL,Volunteer,organic-eventbrite,1,80,1,80,
EF-0092,2026-09-05,VOL,Volunteer,council-newsletter,1,80,2,80,
EF-0093,2026-09-05,VOL,Volunteer,social-facebook,1,80,3,80,
EF-0094,2026-09-06,VOL,Volunteer,council-newsletter,1,80,4,80,
EF-0095,2026-09-06,VOL,Volunteer,social-facebook,1,80,5,80,
EF-0096,2026-09-07,VOL,Volunteer,council-newsletter,1,80,6,80,
EF-0097,2026-09-07,VOL,Volunteer,social-facebook,1,80,7,80,
EF-0098,2026-09-08,VOL,Volunteer,council-newsletter,1,80,8,80,
EF-0099,2026-09-08,VOL,Volunteer,social-facebook,1,80,9,80,
EF-0100,2026-09-09,VOL,Volunteer,organic-eventbrite,1,80,10,80,
EF-0101,2026-09-09,VOL,Volunteer,council-newsletter,1,80,11,80,
EF-0102,2026-09-09,VOL,Volunteer,social-facebook,1,80,12,80,
EF-0103,2026-09-10,VOL,Volunteer,organic-eventbrite,1,80,13,80,
EF-0104,2026-09-10,VOL,Volunteer,council-newsletter,1,80,14,80,
EF-0105,2026-09-11,VOL,Volunteer,council-newsletter,1,80,15,80,
EF-0106,2026-09-11,VOL,Volunteer,social-facebook,1,80,16,80,
EF-0107,2026-09-12,VOL,Volunteer,council-newsletter,1,80,17,80,
EF-0108,2026-09-12,VOL,Volunteer,social-facebook,1,80,18,80,
EF-0109,2026-09-13,VOL,Volunteer,council-newsletter,1,80,19,80,
EF-0110,2026-09-13,VOL,Volunteer,social-facebook,1,80,20,80,
EF-0111,2026-09-14,VOL,Volunteer,organic-eventbrite,1,80,21,80,
EF-0112,2026-09-14,VOL,Volunteer,council-newsletter,1,80,22,80,
EF-0113,2026-09-14,VOL,Volunteer,social-facebook,1,80,23,80,
