batch_id,batch_date,location,location_code,gross_charges_usd,refunds_usd,adjustments_usd,processor_fees_usd,interchange_pct,batch_status,notes
SP-0001,2026-07-01,Greenfield Fuel & Market,GF,18195.55,29.67,25.55,449.43,2.437,Settled,
SP-0002,2026-07-01,Schaefer Quick Stop,SF,9640.08,41.10,-11.33,238.11,2.485,Settled,
SP-0003,2026-07-01,Warren Road Express,WR,12243.72,24.70,22.05,302.42,2.410,Settled,
SP-0004,2026-07-02,Greenfield Fuel & Market,GF,21165.59,140.15,9.14,522.79,2.423,Settled,
SP-0005,2026-07-02,Schaefer Quick Stop,SF,9128.74,35.37,15.36,225.48,2.490,Settled,
SP-0006,2026-07-02,Warren Road Express,WR,10414.17,35.45,10.99,257.23,2.575,Settled,
SP-0007,2026-07-03,Greenfield Fuel & Market,GF,18056.28,25.91,-6.24,445.99,2.516,Settled,
SP-0008,2026-07-03,Schaefer Quick Stop,SF,11367.21,31.33,-10.24,280.77,2.613,Settled,
SP-0009,2026-07-03,Warren Road Express,WR,10345.34,42.48,-0.61,255.53,2.613,Settled,
SP-0010,2026-07-04,Greenfield Fuel & Market,GF,20941.70,125.68,-28.73,517.26,2.511,Settled,
SP-0011,2026-07-04,Schaefer Quick Stop,SF,11619.84,38.75,5.02,287.01,2.584,Settled,
SP-0012,2026-07-04,Warren Road Express,WR,10035.63,25.79,2.14,247.88,2.583,Settled,
SP-0013,2026-07-05,Greenfield Fuel & Market,GF,19531.98,85.66,24.69,482.44,2.435,Settled,
SP-0014,2026-07-05,Schaefer Quick Stop,SF,9135.63,51.11,0.14,225.65,2.462,Settled,
SP-0015,2026-07-05,Warren Road Express,WR,11914.17,81.12,2.59,294.28,2.562,Settled,
SP-0016,2026-07-06,Greenfield Fuel & Market,GF,21902.02,165.73,12.88,540.98,2.466,Settled,
SP-0017,2026-07-06,Schaefer Quick Stop,SF,8893.12,57.25,15.95,219.66,2.496,Settled,
SP-0018,2026-07-06,Warren Road Express,WR,11447.37,67.32,-8.35,282.75,2.445,Settled,
SP-0019,2026-07-07,Greenfield Fuel & Market,GF,17250.20,126.90,-11.88,426.08,2.557,Settled,
SP-0020,2026-07-07,Schaefer Quick Stop,SF,9004.05,9.72,-1.81,222.40,2.428,Settled,
SP-0021,2026-07-07,Warren Road Express,WR,10207.69,19.07,-4.83,252.13,2.561,Settled,
SP-0022,2026-07-08,Greenfield Fuel & Market,GF,16740.08,99.74,17.30,413.48,2.434,Settled,
SP-0023,2026-07-08,Schaefer Quick Stop,SF,10022.67,36.94,1.71,247.56,2.464,Settled,
SP-0024,2026-07-08,Warren Road Express,WR,11525.91,45.20,18.43,284.69,2.592,Settled,
SP-0025,2026-07-09,Greenfield Fuel & Market,GF,17293.52,85.64,34.05,427.15,2.357,Settled,
SP-0026,2026-07-09,Schaefer Quick Stop,SF,11745.34,42.36,11.69,290.11,2.487,Settled,
SP-0027,2026-07-09,Warren Road Express,WR,13388.66,92.75,25.95,330.70,2.381,Settled,
SP-0028,2026-07-10,Greenfield Fuel & Market,GF,21542.91,67.85,25.28,532.11,2.409,Settled,
SP-0029,2026-07-10,Schaefer Quick Stop,SF,9097.17,17.76,12.74,224.70,2.420,Settled,
SP-0030,2026-07-10,Warren Road Express,WR,11122.27,55.32,8.06,274.72,2.415,Settled,
SP-0031,2026-07-11,Greenfield Fuel & Market,GF,18570.85,139.35,20.85,458.70,2.390,Settled,
SP-0032,2026-07-11,Schaefer Quick Stop,SF,10650.61,37.96,-16.31,263.07,2.400,Settled,
SP-0033,2026-07-11,Warren Road Express,WR,12548.99,36.16,-1.21,309.96,2.400,Settled,
SP-0034,2026-07-12,Greenfield Fuel & Market,GF,21217.81,48.82,9.57,524.08,2.488,Settled,
SP-0035,2026-07-12,Schaefer Quick Stop,SF,11401.21,63.35,-5.70,281.61,2.485,Settled,
SP-0036,2026-07-12,Warren Road Express,WR,11152.63,43.65,-1.97,275.47,2.549,Settled,
SP-0037,2026-07-13,Greenfield Fuel & Market,GF,19399.60,133.29,-20.72,479.17,2.369,Settled,
SP-0038,2026-07-13,Schaefer Quick Stop,SF,8883.40,35.67,6.48,219.42,2.509,Settled,
SP-0039,2026-07-13,Warren Road Express,WR,10265.99,34.38,-7.61,253.57,2.384,Settled,
SP-0040,2026-07-14,Greenfield Fuel & Market,GF,21702.43,165.43,27.83,536.05,2.417,Settled,
SP-0041,2026-07-14,Schaefer Quick Stop,SF,10461.94,22.72,-14.01,258.41,2.362,Settled,
SP-0042,2026-07-14,Warren Road Express,WR,10588.66,69.98,4.33,261.54,2.441,Settled,
SP-0043,2026-07-15,Greenfield Fuel & Market,GF,20974.90,126.68,29.01,518.08,2.546,Settled,
SP-0044,2026-07-15,Schaefer Quick Stop,SF,11151.42,67.93,-6.00,275.44,2.570,Settled,
SP-0045,2026-07-15,Warren Road Express,WR,12354.25,32.63,-19.67,305.15,2.619,Settled,
SP-0046,2026-07-16,Greenfield Fuel & Market,GF,19706.48,133.19,-24.20,486.75,2.578,Settled,
SP-0047,2026-07-16,Schaefer Quick Stop,SF,10367.61,35.71,-7.05,256.08,2.407,Settled,
SP-0048,2026-07-16,Warren Road Express,WR,10647.37,32.46,12.88,262.99,2.419,Settled,
SP-0049,2026-07-17,Greenfield Fuel & Market,GF,17676.52,112.53,13.47,436.61,2.427,Settled,
SP-0050,2026-07-17,Schaefer Quick Stop,SF,11136.44,76.86,-3.98,275.07,2.507,Settled,
SP-0051,2026-07-17,Warren Road Express,WR,12785.43,56.18,9.14,315.80,2.562,Settled,
SP-0052,2026-07-18,Greenfield Fuel & Market,GF,17822.67,29.43,-7.22,440.22,2.486,Settled,
SP-0053,2026-07-18,Schaefer Quick Stop,SF,10230.77,46.67,-5.30,252.70,2.421,Settled,
SP-0054,2026-07-18,Warren Road Express,WR,11595.14,82.51,-4.71,286.40,2.517,Settled,
SP-0055,2026-07-19,Greenfield Fuel & Market,GF,19312.55,81.48,-11.96,477.02,2.399,Settled,
SP-0056,2026-07-19,Schaefer Quick Stop,SF,9228.34,56.74,6.55,227.94,2.469,Settled,
SP-0057,2026-07-19,Warren Road Express,WR,11110.12,43.51,-5.25,274.42,2.460,Settled,
SP-0058,2026-07-20,Greenfield Fuel & Market,GF,20447.37,155.17,12.97,505.05,2.487,Settled,
SP-0059,2026-07-20,Schaefer Quick Stop,SF,10538.87,29.32,-7.75,260.31,2.382,Settled,
SP-0060,2026-07-20,Warren Road Express,WR,10515.38,74.44,11.64,259.73,2.550,Settled,
SP-0061,2026-07-21,Greenfield Fuel & Market,GF,17448.18,38.86,-20.51,430.97,2.417,Settled,
SP-0062,2026-07-21,Schaefer Quick Stop,SF,10323.08,76.18,3.07,254.98,2.419,Settled,
SP-0063,2026-07-21,Warren Road Express,WR,10989.07,13.10,17.74,271.43,2.527,Settled,
SP-0064,2026-07-22,Greenfield Fuel & Market,GF,21642.11,165.17,19.72,534.56,2.450,Settled,
SP-0065,2026-07-22,Schaefer Quick Stop,SF,9219.03,25.74,-8.38,227.71,2.553,Settled,
SP-0066,2026-07-22,Warren Road Express,WR,11755.06,50.25,2.37,290.35,2.360,Settled,
SP-0067,2026-07-23,Greenfield Fuel & Market,GF,19699.19,142.88,-15.72,486.57,2.586,Settled,
SP-0068,2026-07-23,Schaefer Quick Stop,SF,8972.47,64.12,-4.35,221.62,2.574,Settled,
SP-0069,2026-07-23,Warren Road Express,WR,12934.01,69.23,7.54,319.47,2.440,Settled,
SP-0070,2026-07-24,Greenfield Fuel & Market,GF,18780.97,102.28,23.59,463.89,2.550,Settled,
SP-0071,2026-07-24,Schaefer Quick Stop,SF,9438.46,21.43,1.00,233.13,2.426,Settled,
SP-0072,2026-07-24,Warren Road Express,WR,12736.03,91.91,0.39,314.58,2.367,Settled,
SP-0073,2026-07-25,Greenfield Fuel & Market,GF,18110.53,126.92,-16.03,447.33,2.372,Settled,
SP-0074,2026-07-25,Schaefer Quick Stop,SF,10580.57,22.74,11.16,261.34,2.395,Settled,
SP-0075,2026-07-25,Warren Road Express,WR,11158.70,34.55,-8.34,275.62,2.393,Settled,
SP-0076,2026-07-26,Greenfield Fuel & Market,GF,21458.30,121.73,16.55,530.02,2.604,Settled,
SP-0077,2026-07-26,Schaefer Quick Stop,SF,10589.07,76.46,19.11,261.55,2.422,Settled,
SP-0078,2026-07-26,Warren Road Express,WR,11997.98,29.68,-4.50,296.35,2.565,Settled,
SP-0079,2026-07-27,Greenfield Fuel & Market,GF,19764.78,127.84,-14.29,488.19,2.456,Settled,
SP-0080,2026-07-27,Schaefer Quick Stop,SF,10666.40,71.52,-15.22,263.46,2.418,Settled,
SP-0081,2026-07-27,Warren Road Express,WR,11045.75,26.35,-7.07,272.83,2.442,Settled,
SP-0082,2026-07-28,Greenfield Fuel & Market,GF,18070.04,110.22,5.68,446.33,2.475,Settled,
SP-0083,2026-07-28,Schaefer Quick Stop,SF,11081.38,75.23,17.63,273.71,2.536,Settled,
SP-0084,2026-07-28,Warren Road Express,WR,10497.98,68.08,-14.76,259.30,2.503,Settled,
SP-0085,2026-07-29,Greenfield Fuel & Market,GF,16866.80,76.68,16.32,416.61,2.534,Settled,
SP-0086,2026-07-29,Schaefer Quick Stop,SF,11202.43,15.30,19.65,276.70,2.581,Settled,
SP-0087,2026-07-29,Warren Road Express,WR,13028.74,38.27,-12.37,321.81,2.566,Settled,
SP-0088,2026-07-30,Greenfield Fuel & Market,GF,20976.11,37.52,7.49,518.11,2.463,Settled,
SP-0089,2026-07-30,Schaefer Quick Stop,SF,10845.34,36.50,-11.06,267.88,2.500,Settled,
SP-0090,2026-07-30,Warren Road Express,WR,10963.16,54.40,7.14,270.79,2.439,Settled,
SP-0091,2026-07-31,Greenfield Fuel & Market,GF,20292.71,39.82,-0.75,501.23,2.398,Settled,
SP-0092,2026-07-31,Schaefer Quick Stop,SF,11467.61,48.41,20.95,283.25,2.356,Settled,
SP-0093,2026-07-31,Warren Road Express,WR,11685.02,73.67,-14.59,288.62,2.546,Settled,
SP-0094,2026-08-01,Greenfield Fuel & Market,GF,19836.44,64.86,37.09,489.96,2.357,Settled,
SP-0095,2026-08-01,Schaefer Quick Stop,SF,10694.74,45.11,21.22,264.16,2.423,Settled,
SP-0096,2026-08-01,Warren Road Express,WR,13397.98,81.63,-6.43,330.93,2.457,Settled,
SP-0097,2026-08-02,Greenfield Fuel & Market,GF,19487.45,141.72,32.27,481.34,2.598,Settled,
SP-0098,2026-08-02,Schaefer Quick Stop,SF,9715.79,33.79,16.17,239.98,2.404,Settled,
SP-0099,2026-08-02,Warren Road Express,WR,11338.06,36.83,-3.89,280.05,2.437,Settled,
SP-0100,2026-08-03,Greenfield Fuel & Market,GF,17895.55,46.16,35.31,442.02,2.492,Settled,
SP-0101,2026-08-03,Schaefer Quick Stop,SF,9047.77,52.64,17.09,223.48,2.448,Settled,
SP-0102,2026-08-03,Warren Road Express,WR,12980.97,87.09,-3.19,320.63,2.560,Settled,
SP-0103,2026-08-04,Greenfield Fuel & Market,GF,19965.18,30.47,33.93,493.14,2.353,Settled,
SP-0104,2026-08-04,Schaefer Quick Stop,SF,10620.65,38.86,-5.67,262.33,2.516,Settled,
SP-0105,2026-08-04,Warren Road Express,WR,12603.64,54.61,19.30,311.31,2.481,Settled,
SP-0106,2026-08-05,Greenfield Fuel & Market,GF,20185.43,77.72,18.16,498.58,2.598,Settled,
SP-0107,2026-08-05,Schaefer Quick Stop,SF,11846.56,75.93,0.85,292.61,2.442,Settled,
SP-0108,2026-08-05,Warren Road Express,WR,13315.79,88.54,-9.79,328.90,2.471,Settled,
SP-0109,2026-08-06,Greenfield Fuel & Market,GF,16595.55,31.87,-26.24,409.91,2.511,Settled,
SP-0110,2026-08-06,Schaefer Quick Stop,SF,9258.70,60.95,-1.01,228.69,2.541,Settled,
SP-0111,2026-08-06,Warren Road Express,WR,12432.39,79.47,24.29,307.08,2.530,Settled,
SP-0112,2026-08-07,Greenfield Fuel & Market,GF,19353.04,152.64,-4.23,478.02,2.364,Settled,
SP-0113,2026-08-07,Schaefer Quick Stop,SF,11394.33,73.02,21.59,281.44,2.467,Settled,
SP-0114,2026-08-07,Warren Road Express,WR,13394.74,42.11,-17.52,330.85,2.393,Settled,
SP-0115,2026-08-08,Greenfield Fuel & Market,GF,19168.83,146.20,-3.36,473.47,2.455,Settled,
SP-0116,2026-08-08,Schaefer Quick Stop,SF,10335.22,64.20,5.65,255.28,2.494,Settled,
SP-0117,2026-08-08,Warren Road Express,WR,10031.58,28.54,-18.89,247.78,2.536,Settled,
SP-0118,2026-08-09,Greenfield Fuel & Market,GF,19585.83,25.64,0.90,483.77,2.519,Settled,
