quote_id,quote_week,vendor_code,vendor_name,origin,grade,price_per_gal_usd,delivery_terms,min_load_gallons,payment_terms,stockout_flag,q_score,notes
F-0001,2026-07-06,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.161,48-hr scheduled,6500,Net-15,0,84.9,lowest per-gallon this week
F-0002,2026-07-06,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.315,48-hr scheduled,6500,Net-15,0,91.7,
F-0003,2026-07-06,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.500,48-hr scheduled,6500,Net-15,0,90.4,
F-0004,2026-07-06,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.820,48-hr scheduled,6500,Net-15,0,85.1,
F-0005,2026-07-06,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.941,48-hr scheduled,6500,Net-15,0,91.2,
F-0006,2026-07-06,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.230,24-hr scheduled,7500,Net-15,0,88.0,reliable second-lowest
F-0007,2026-07-06,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.371,24-hr scheduled,7500,Net-15,0,93.1,
F-0008,2026-07-06,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.611,24-hr scheduled,7500,Net-15,0,92.0,
F-0009,2026-07-06,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.922,24-hr scheduled,7500,Net-15,0,92.6,
F-0010,2026-07-06,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.015,24-hr scheduled,7500,Net-15,0,86.9,
F-0011,2026-07-06,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.305,72-hr scheduled,8500,Net-30,0,84.9,
F-0012,2026-07-06,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.470,72-hr scheduled,8500,Net-30,0,85.2,
F-0013,2026-07-06,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.695,72-hr scheduled,8500,Net-30,0,81.1,
F-0014,2026-07-06,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.980,72-hr scheduled,8500,Net-30,0,90.5,
F-0015,2026-07-06,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.103,72-hr scheduled,8500,Net-30,0,86.9,
F-0016,2026-07-13,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.188,48-hr scheduled,6500,Net-15,0,91.4,lowest per-gallon this week
F-0017,2026-07-13,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.335,48-hr scheduled,6500,Net-15,0,85.0,
F-0018,2026-07-13,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.498,48-hr scheduled,6500,Net-15,0,90.5,
F-0019,2026-07-13,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.829,48-hr scheduled,6500,Net-15,0,85.7,
F-0020,2026-07-13,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.975,48-hr scheduled,6500,Net-15,0,89.5,
F-0021,2026-07-13,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.214,24-hr scheduled,7500,Net-15,0,88.6,reliable second-lowest
F-0022,2026-07-13,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.393,24-hr scheduled,7500,Net-15,0,86.5,
F-0023,2026-07-13,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.618,24-hr scheduled,7500,Net-15,0,91.1,
F-0024,2026-07-13,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.888,24-hr scheduled,7500,Net-15,0,93.5,
F-0025,2026-07-13,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.002,24-hr scheduled,7500,Net-15,0,93.3,
F-0026,2026-07-13,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.272,72-hr scheduled,8500,Net-30,0,79.4,
F-0027,2026-07-13,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.462,72-hr scheduled,8500,Net-30,0,83.9,
F-0028,2026-07-13,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.653,72-hr scheduled,8500,Net-30,0,83.4,
F-0029,2026-07-13,GL-01,Great Lakes Distribution,Toledo OH,diesel,4.011,72-hr scheduled,8500,Net-30,0,88.6,
F-0030,2026-07-13,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.118,72-hr scheduled,8500,Net-30,0,87.8,
F-0031,2026-07-20,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.172,48-hr scheduled,6500,Net-15,0,87.9,lowest per-gallon this week
F-0032,2026-07-20,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.334,48-hr scheduled,6500,Net-15,0,86.9,
F-0033,2026-07-20,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.540,48-hr scheduled,6500,Net-15,0,85.4,
F-0034,2026-07-20,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.851,48-hr scheduled,6500,Net-15,0,87.0,
F-0035,2026-07-20,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.971,48-hr scheduled,6500,Net-15,0,84.5,
F-0036,2026-07-20,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.248,24-hr scheduled,7500,Net-15,0,94.4,reliable second-lowest
F-0037,2026-07-20,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.358,24-hr scheduled,7500,Net-15,0,93.9,
F-0038,2026-07-20,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.599,24-hr scheduled,7500,Net-15,0,93.0,
F-0039,2026-07-20,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.910,24-hr scheduled,7500,Net-15,0,95.7,
F-0040,2026-07-20,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.045,24-hr scheduled,7500,Net-15,0,94.8,
F-0041,2026-07-20,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.292,72-hr scheduled,8500,Net-30,0,87.0,
F-0042,2026-07-20,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.462,72-hr scheduled,8500,Net-30,0,85.5,
F-0043,2026-07-20,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.650,72-hr scheduled,8500,Net-30,0,79.2,
F-0044,2026-07-20,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.959,72-hr scheduled,8500,Net-30,0,88.0,
F-0045,2026-07-20,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.109,72-hr scheduled,8500,Net-30,0,86.8,
F-0046,2026-07-27,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.213,48-hr scheduled,6500,Net-15,0,85.4,lowest per-gallon this week
F-0047,2026-07-27,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.332,48-hr scheduled,6500,Net-15,0,90.4,
F-0048,2026-07-27,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.513,48-hr scheduled,6500,Net-15,0,90.4,
F-0049,2026-07-27,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.835,48-hr scheduled,6500,Net-15,0,87.3,
F-0050,2026-07-27,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.929,48-hr scheduled,6500,Net-15,0,89.8,
F-0051,2026-07-27,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.220,24-hr scheduled,7500,Net-15,0,85.9,reliable second-lowest
F-0052,2026-07-27,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.369,24-hr scheduled,7500,Net-15,0,93.9,
F-0053,2026-07-27,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.591,24-hr scheduled,7500,Net-15,0,92.1,
F-0054,2026-07-27,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.887,24-hr scheduled,7500,Net-15,0,88.7,
F-0055,2026-07-27,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.003,24-hr scheduled,7500,Net-15,0,88.5,
F-0056,2026-07-27,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.271,72-hr scheduled,8500,Net-30,0,83.5,
F-0057,2026-07-27,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.463,72-hr scheduled,8500,Net-30,0,90.3,
F-0058,2026-07-27,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.692,72-hr scheduled,8500,Net-30,0,86.6,
F-0059,2026-07-27,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.957,72-hr scheduled,8500,Net-30,0,84.6,
F-0060,2026-07-27,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.120,72-hr scheduled,8500,Net-30,0,78.6,
F-0061,2026-08-03,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.188,48-hr scheduled,6500,Net-15,1,86.6,lowest per-gallon this week
F-0062,2026-08-03,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.313,48-hr scheduled,6500,Net-15,0,87.5,
F-0063,2026-08-03,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.532,48-hr scheduled,6500,Net-15,1,89.0,
F-0064,2026-08-03,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.856,48-hr scheduled,6500,Net-15,0,85.5,
F-0065,2026-08-03,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.941,48-hr scheduled,6500,Net-15,0,84.3,
F-0066,2026-08-03,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.263,24-hr scheduled,7500,Net-15,0,94.8,reliable second-lowest
F-0067,2026-08-03,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.394,24-hr scheduled,7500,Net-15,0,84.7,
F-0068,2026-08-03,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.587,24-hr scheduled,7500,Net-15,0,86.1,
F-0069,2026-08-03,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.940,24-hr scheduled,7500,Net-15,0,88.9,
F-0070,2026-08-03,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.044,24-hr scheduled,7500,Net-15,0,94.8,
F-0071,2026-08-03,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.288,72-hr scheduled,8500,Net-30,1,85.3,
F-0072,2026-08-03,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.433,72-hr scheduled,8500,Net-30,0,91.9,
F-0073,2026-08-03,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.681,72-hr scheduled,8500,Net-30,1,78.3,
F-0074,2026-08-03,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.996,72-hr scheduled,8500,Net-30,0,88.0,
F-0075,2026-08-03,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.115,72-hr scheduled,8500,Net-30,0,90.3,
F-0076,2026-08-10,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.205,48-hr scheduled,6500,Net-15,0,91.7,lowest per-gallon this week
F-0077,2026-08-10,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.319,48-hr scheduled,6500,Net-15,0,89.4,
F-0078,2026-08-10,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.510,48-hr scheduled,6500,Net-15,0,88.7,
F-0079,2026-08-10,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.833,48-hr scheduled,6500,Net-15,0,84.8,
F-0080,2026-08-10,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.923,48-hr scheduled,6500,Net-15,0,87.2,
F-0081,2026-08-10,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.232,24-hr scheduled,7500,Net-15,0,95.1,reliable second-lowest
F-0082,2026-08-10,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.377,24-hr scheduled,7500,Net-15,0,93.0,
F-0083,2026-08-10,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.607,24-hr scheduled,7500,Net-15,0,84.8,
F-0084,2026-08-10,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.887,24-hr scheduled,7500,Net-15,0,95.5,
F-0085,2026-08-10,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.026,24-hr scheduled,7500,Net-15,0,85.4,
F-0086,2026-08-10,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.282,72-hr scheduled,8500,Net-30,0,78.1,
F-0087,2026-08-10,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.429,72-hr scheduled,8500,Net-30,0,84.2,
F-0088,2026-08-10,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.697,72-hr scheduled,8500,Net-30,0,80.9,
F-0089,2026-08-10,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.994,72-hr scheduled,8500,Net-30,0,78.7,
