line_id,period_month,location,location_code,gl_account,gl_description,amount_usd,dr_cr,reconciled,notes
QB-0001,2026-07,Greenfield Fuel & Market,GF,4000,Fuel Revenue - Regular 87,239547,CR,Y,
QB-0002,2026-07,Greenfield Fuel & Market,GF,4010,Fuel Revenue - Mid 89,34221,CR,Y,
QB-0003,2026-07,Greenfield Fuel & Market,GF,4020,Fuel Revenue - Premium 93,45628,CR,Y,
QB-0004,2026-07,Greenfield Fuel & Market,GF,4030,Fuel Revenue - Diesel,22814,CR,Y,
QB-0005,2026-07,Greenfield Fuel & Market,GF,4100,Merchandise Sales - Beverage,62738,CR,Y,
QB-0006,2026-07,Greenfield Fuel & Market,GF,4110,Merchandise Sales - Snacks,51332,CR,Y,
QB-0007,2026-07,Greenfield Fuel & Market,GF,4120,Merchandise Sales - Deli/Prep,34221,CR,Y,
QB-0008,2026-07,Greenfield Fuel & Market,GF,4130,Merchandise Sales - Grocery,22814,CR,Y,
QB-0009,2026-07,Greenfield Fuel & Market,GF,4200,Tobacco Sales,28518,CR,Y,
QB-0010,2026-07,Greenfield Fuel & Market,GF,4210,Lottery Sales - Retail,17110,CR,Y,
QB-0011,2026-07,Greenfield Fuel & Market,GF,4300,Other Sales - Ice/Auto,11407,CR,Y,
QB-0012,2026-07,Schaefer Quick Stop,SF,4000,Fuel Revenue - Regular 87,126460,CR,Y,
QB-0013,2026-07,Schaefer Quick Stop,SF,4010,Fuel Revenue - Mid 89,18066,CR,Y,
QB-0014,2026-07,Schaefer Quick Stop,SF,4020,Fuel Revenue - Premium 93,24088,CR,Y,
QB-0015,2026-07,Schaefer Quick Stop,SF,4030,Fuel Revenue - Diesel,12044,CR,Y,
QB-0016,2026-07,Schaefer Quick Stop,SF,4100,Merchandise Sales - Beverage,33121,CR,Y,
QB-0017,2026-07,Schaefer Quick Stop,SF,4110,Merchandise Sales - Snacks,27099,CR,Y,
QB-0018,2026-07,Schaefer Quick Stop,SF,4120,Merchandise Sales - Deli/Prep,18066,CR,Y,
QB-0019,2026-07,Schaefer Quick Stop,SF,4130,Merchandise Sales - Grocery,12044,CR,Y,
QB-0020,2026-07,Schaefer Quick Stop,SF,4200,Tobacco Sales,15055,CR,Y,
QB-0021,2026-07,Schaefer Quick Stop,SF,4210,Lottery Sales - Retail,9033,CR,Y,
QB-0022,2026-07,Schaefer Quick Stop,SF,4300,Other Sales - Ice/Auto,6020,CR,Y,
QB-0023,2026-07,Warren Road Express,WR,4000,Fuel Revenue - Regular 87,146393,CR,Y,
QB-0024,2026-07,Warren Road Express,WR,4010,Fuel Revenue - Mid 89,20913,CR,Y,
QB-0025,2026-07,Warren Road Express,WR,4020,Fuel Revenue - Premium 93,27884,CR,Y,
QB-0026,2026-07,Warren Road Express,WR,4030,Fuel Revenue - Diesel,13942,CR,Y,
QB-0027,2026-07,Warren Road Express,WR,4100,Merchandise Sales - Beverage,38341,CR,Y,
QB-0028,2026-07,Warren Road Express,WR,4110,Merchandise Sales - Snacks,31370,CR,Y,
QB-0029,2026-07,Warren Road Express,WR,4120,Merchandise Sales - Deli/Prep,20913,CR,Y,
QB-0030,2026-07,Warren Road Express,WR,4130,Merchandise Sales - Grocery,13942,CR,Y,
QB-0031,2026-07,Warren Road Express,WR,4200,Tobacco Sales,17428,CR,Y,
QB-0032,2026-07,Warren Road Express,WR,4210,Lottery Sales - Retail,10457,CR,Y,
QB-0033,2026-07,Warren Road Express,WR,4300,Other Sales - Ice/Auto,6971,CR,Y,
