Track_Title	Artist	Genre	Date_Added	Mood_Tag	Day_Slot
Money Trees	Kendrick Lamar	Hip-Hop	2025-11-03	Opening energy	Tuesday to Saturday
HUMBLE.	Kendrick Lamar	Hip-Hop	2025-11-03	Midday groove	Saturday
Not Like Us	Kendrick Lamar	Hip-Hop	2025-12-10	Saturday heat	Saturday
No Role Modelz	J. Cole	Hip-Hop	2025-11-05	Afternoon flow	Any day
Middle Child	J. Cole	Hip-Hop	2025-11-05	Opening energy	Friday
Yonaguni	Bad Bunny	Reggaeton	2025-11-08	Late afternoon wind down	Friday
Titi Me Pregunto	Bad Bunny	Reggaeton	2025-11-08	Midday groove	Saturday
Ella Baila Sola	Peso Pluma, Eslabon Armado	Regional Mexican	2025-11-12	Afternoon flow	Any day
Vivir Mi Vida	Marc Anthony	Latin Pop	2025-11-15	Opening energy	Sunday
Tu Amor Me Hace Bien	Marc Anthony	Salsa	2025-11-15	Midday groove	Tuesday to Thursday
Propuesta Indecente	Romeo Santos	Bachata	2025-11-20	Late afternoon wind down	Any day
Eres Mia	Romeo Santos	Bachata	2025-11-20	Afternoon flow	Friday
Bidi Bidi Bom Bom	Selena	Tejano	2025-12-01	Midday groove	Saturday
Como La Flor	Selena	Tejano	2025-12-01	Afternoon flow	Any day
La Jaula de Oro	Los Tigres del Norte	Norteno	2025-12-05	Late afternoon wind down	Tuesday to Thursday
Come Down	Anderson .Paak	R&B, Hip-Hop	2025-12-08	Opening energy	Saturday
Kill Bill	SZA	R&B	2025-12-12	Late afternoon wind down	Friday
Bad Habit	Steve Lacy	R&B, Pop	2025-12-15	Midday groove	Any day
Ya Superame	Grupo Firme	Regional Mexican	2026-01-05	Afternoon flow	Saturday
Prometi	Intocable	Tejano	2026-01-05	Late afternoon wind down	Tuesday to Thursday
See You Again	Tyler, The Creator	Hip-Hop	2026-01-10	Midday groove	Any day
luther	Kendrick Lamar ft. SZA	Hip-Hop, R&B	2026-01-15	Late afternoon wind down	Friday
Ojitos Lindos	Bad Bunny ft. Bomba Estereo	Reggaeton	2026-01-20	Midday groove	Saturday
La Bebe	Yng Lvcas, Peso Pluma	Regional Mexican	2026-02-01	Saturday heat	Saturday
All The Stars	Kendrick Lamar, SZA	Hip-Hop	2026-02-10	Opening energy	Tuesday to Saturday
