Date	Mileage	Service	Provider	Cost_USD	Notes
2022-02-18	42150	Oil change and filter	Local Auto Service, Livernois Ave	49.99	Synthetic blend, 5W-30
2022-06-04	47380	Tire rotation and balance	Local Auto Service, Livernois Ave	39.99	All four tires in good shape
2022-09-10	52100	Oil change and filter	Local Auto Service, Livernois Ave	49.99	
2022-09-10	52100	Brake inspection	Local Auto Service, Livernois Ave	0.00	Free with oil change, pads at 60%
2022-12-03	55870	Oil change and filter	Local Auto Service, Livernois Ave	49.99	Winter check, all fluids topped off
2023-03-22	59400	Tire rotation and alignment	Local Auto Service, Livernois Ave	89.99	Front end pulling slightly left, corrected
2023-06-15	63200	Oil change and filter	Local Auto Service, Livernois Ave	54.99	Price increase, switched to full synthetic
2023-06-15	63200	Air filter replacement	Local Auto Service, Livernois Ave	24.99	Cabin and engine filters
2023-10-07	67500	Oil change and filter	Local Auto Service, Livernois Ave	54.99	
2023-10-07	67500	Battery replacement	auto parts store, Grand River Ave	189.99	Original battery died, replacement battery installed
2024-02-14	71200	Oil change and filter	Local Auto Service, Livernois Ave	54.99	Valentine's Day, Tasha had the CR-V
2024-05-30	74800	Tire rotation and balance	Local Auto Service, Livernois Ave	39.99	Rear tires getting low, replace by fall
2024-05-30	74800	Transmission fluid flush	Local Auto Service, Livernois Ave	179.99	Recommended at 75K, went ahead early
2024-09-12	78400	Oil change and filter	Local Auto Service, Livernois Ave	54.99	
2024-09-12	78400	New tires (set of 4)	Local Auto Service, Livernois Ave	612.00	all-season tires, good tread rating
2025-01-18	81900	Oil change and filter	Local Auto Service, Livernois Ave	54.99	Winter check, battery good
2025-01-18	81900	Serpentine belt replacement	Local Auto Service, Livernois Ave	145.00	Starting to crack, replaced preventively
2025-05-24	85300	Oil change and filter	Local Auto Service, Livernois Ave	54.99	
2025-05-24	85300	Brake pads (front)	Local Auto Service, Livernois Ave	249.99	Fronts at 15%, replaced with ceramic
2025-10-04	89100	Oil change and filter	Local Auto Service, Livernois Ave	59.99	Price went up again
2025-10-04	89100	Tire rotation	Local Auto Service, Livernois Ave	29.99	Tires still solid from last year
2026-01-24	92400	Oil change and filter	Local Auto Service, Livernois Ave	59.99	Winter inspection, everything looks good
2026-01-24	92400	Coolant flush	Local Auto Service, Livernois Ave	129.99	Recommended at 90K
