Menu_Item	Category	Per_Plate_USD	Min_Order	Description	Dietary_Notes
Street Taco Plate	Main	9.00	20 plates	Three corn tortillas with choice of al pastor, carnitas, or chicken, served with cilantro rice and refried beans	Gluten-free
Carnitas Burrito Plate	Main	11.00	20 plates	Large flour tortilla stuffed with slow-cooked carnitas, rice, beans, pico, and cheese, served with chips and salsa	Contains dairy
Chicken Enchilada Plate	Main	10.00	20 plates	Three rolled corn enchiladas with red sauce, topped with queso fresco, served with rice and beans	Contains dairy, gluten-free
Tamale Combo	Main	10.00	20 plates	Two handmade tamales (pork or chicken) with rice, beans, and salsa verde on the side	Gluten-free
Carne Asada Plate	Main	14.00	20 plates	Grilled skirt steak sliced thin, served with grilled onions, rice, beans, and warm tortillas	Gluten-free
Vegetarian Quesadilla Plate	Main	8.50	20 plates	Grilled flour tortilla with peppers, onions, mushrooms, and melted cheese, served with rice and beans	Vegetarian, contains dairy
Kids Taco Plate	Kids	6.00	10 plates	Two small flour tortillas with seasoned chicken or ground beef, rice, and a side of applesauce	Nut-free
Elote Cups	Side	3.50	25 cups	Roasted corn off the cob with mayo, cotija, chili powder, and lime	Vegetarian, contains dairy
Chips and Guacamole (large tray)	Side	35.00	1 tray	House-made tortilla chips with fresh guacamole, serves 10 to 12 people per tray	Vegan, gluten-free
Rice and Beans Tray	Side	40.00	1 tray	Cilantro rice and refried beans, serves 15 to 20 people per tray	Vegetarian, gluten-free
Agua Fresca, Horchata (per gallon)	Beverage	15.00	1 gallon	Traditional horchata made with rice, cinnamon, and vanilla, serves approximately 16 cups	Dairy-free, nut-free
Agua Fresca, Jamaica (per gallon)	Beverage	15.00	1 gallon	Hibiscus flower tea sweetened with cane sugar and lime, serves approximately 16 cups	Vegan
Churros (per dozen)	Dessert	18.00	1 dozen	Fried dough rolled in cinnamon sugar, served with chocolate dipping sauce	Contains dairy
Tres Leches Cake (half sheet)	Dessert	45.00	1 cake	Sponge cake soaked in three milks, topped with whipped cream and fresh strawberries, serves 20 to 24	Contains dairy, contains eggs
