id,createdTime,record_id,Sponsor,Tier,Status,2026 closed won,2026 settled,Renewal target,Contact email,Notes
rec886d7bffe5b34f,2026-10-01T12:00:00.000Z,rec0623bedc-0096-,Elastic,small,renewal_target,4200,4200,4410.0,sponsorships@elastic.co,
rec0498c1a7f27a43,2026-10-01T12:00:00.000Z,rec6717f57e-f0c1-,Sumo Logic,mid,renewal_target,3800,3800,3990.0,partners@sumologic.com,
reca073746062c446,2026-10-01T12:00:00.000Z,rec25682c57-651c-,Detectify,mid,renewal_target,2200,2200,2310.0,growth@detectify.com,
rec18c3ca027b5d42,2026-10-01T12:00:00.000Z,rec64bb8de0-3d48-,Corelight,mid,hold_reconcile,3500,2800,0,partners@corelight.com,
rec17648c2684a141,2026-10-01T12:00:00.000Z,recf9b1a564-74b6-,Rapid7,small,renewal_target,5000,5000,5250.0,sponsorships@rapid7.com,
recf726dbdcd8a84d,2026-10-01T12:00:00.000Z,rec75527668-27ef-,Tenable,small,renewal_target,4000,4000,4200.0,partners@tenable.com,
rec8f50d710bb3045,2026-10-01T12:00:00.000Z,rec56e4397c-bd0d-,Vectra AI,mid,hold_receivable,5000,2500,0,partnerships@vectra.ai,
recc8c2360107074d,2026-10-01T12:00:00.000Z,recc3aa6577-e390-,Snyk,mid,paused_do_not_contact,0,0,0,partners@snyk.io,
rec8c27a9086c614f,2026-10-01T12:00:00.000Z,reca91339ce-a9a0-,CrowdStrike,primary,hold_return_june_2027,6500,6500,0,sponsorships@crowdstrike.com,
rec527f910982ff46,2026-10-01T12:00:00.000Z,rec4a81ccb4-e593-,Splunk,primary,hold_return_june_2027,6000,6000,0,partners@splunk.com,
rec6b7c22d355bf43,2026-10-01T12:00:00.000Z,rec8ba135fb-e89b-,Sysdig,small,renewal_target,3200,3000,3150.0,partnerships@sysdig.com,
rec0e32f49ce19148,2026-10-01T12:00:00.000Z,reccf3cf0d5-3c5b-,Cybereason,mid,renewal_target,3500,3500,3675.0,growth@cybereason.com,
rec64356616827448,2026-10-01T12:00:00.000Z,rec6deb353e-5fba-,Chronicle,mid,renewal_target,4000,4000,4200.0,partners@chronicle.security,
rec491df264755144,2026-10-01T12:00:00.000Z,recef339150-95ad-,Wiz,mid,renewal_target,4200,4200,4410.0,sponsorships@wiz.io,
rec265e562c5da545,2026-10-01T12:00:00.000Z,rec4ddcc146-cc2e-,Recorded Future,mid,opted_out_do_not_contact,0,0,0,partners@recordedfuture.com,
recfb5285f9efac47,2026-10-01T12:00:00.000Z,recb02ee71d-c907-,Norris Ltd,mid,declined,0,0,0,rebecca31@example.com,
recfc2f0f01f9504d,2026-10-01T12:00:00.000Z,rec3e46c273-257f-,"Clark, Garcia and Vasquez",mid,renewal_target,0,0,0,joyce73@example.org,
rec43d19592ee8f4c,2026-10-01T12:00:00.000Z,rec32864c66-d303-,Crawford-Johnson,mid,declined,0,0,0,santiagoscott@example.org,
rec21cdcdf1151548,2026-10-01T12:00:00.000Z,rec8941a964-6521-,"Sosa, Ferrell and Clay",small,declined,0,0,0,roberto98@example.org,
rec7326ef05076f4a,2026-10-01T12:00:00.000Z,recf6c79b76-def0-,Keller-Peterson,small,renewal_target,0,0,0,randyle@example.org,
rec25aa32516e2740,2026-10-01T12:00:00.000Z,rec29389184-89c8-,"Martinez, Friedman and Lee",small,renewal_target,0,0,0,monica23@example.com,
recec1fe9a74e954d,2026-10-01T12:00:00.000Z,recfaa0f40b-f272-,"Francis, Manning and Hill",small,prospect,0,0,0,kelseymartinez@example.com,
rece341db424c0c4d,2026-10-01T12:00:00.000Z,recffec2e74-e7d0-,Carter Ltd,mid,prospect,0,0,0,gerald43@example.org,
rec7faeb22fc9fe44,2026-10-01T12:00:00.000Z,rec92cedb6f-be0f-,Alexander-Martinez,mid,cold,0,0,0,raymond11@example.com,
rec5ebaa19d173b45,2026-10-01T12:00:00.000Z,rec23e07134-4499-,Santos and Sons,mid,declined,0,0,0,nathanroberts@example.net,
rec5acbdc0b2d9141,2026-10-01T12:00:00.000Z,recffb0b4ff-cfd0-,Salinas and Sons,small,declined,0,0,0,bpeters@example.org,
reca71ddb30bdec41,2026-10-01T12:00:00.000Z,recf535000a-b6e1-,Pruitt-Jackson,small,renewal_target,0,0,0,savagenatasha@example.org,
rec96ef4bb6c78e44,2026-10-01T12:00:00.000Z,rec6bdffa48-572f-,"Griffin, Banks and Beck",mid,declined,0,0,0,lopezamy@example.net,
rec6dea96eb855843,2026-10-01T12:00:00.000Z,rec64f9f84d-534e-,Stone and Sons,mid,cold,0,0,0,jonathan24@example.org,
rec7cdcb1ee3e904e,2026-10-01T12:00:00.000Z,rec036d5898-a668-,Wilson Group,small,cold,0,0,0,erikahayes@example.org,
rec3289940817ad43,2026-10-01T12:00:00.000Z,rec4ce5f5bc-245a-,Williams Ltd,mid,renewal_target,0,0,0,anna88@example.com,
rec5b8f3a1b58b442,2026-10-01T12:00:00.000Z,rec95e98cad-8d61-,Wong and Sons,mid,renewal_target,0,0,0,matthew02@example.com,
recd4760d40293f43,2026-10-01T12:00:00.000Z,rec274d0624-7a6d-,Martinez Ltd,mid,declined,0,0,0,markcortez@example.org,
rec89fc0ccfb91443,2026-10-01T12:00:00.000Z,rec2935895c-62df-,Pearson-Smith,small,cold,0,0,0,leeryan@example.net,
rec65b4530f81684c,2026-10-01T12:00:00.000Z,rec8abe04c6-500f-,"Phelps, Garcia and Sullivan",mid,renewal_target,0,0,0,matthew80@example.net,
reca5cdc870f3104e,2026-10-01T12:00:00.000Z,rec36885a34-7c52-,"Zhang, Anderson and Ramirez",mid,declined,0,0,0,osalas@example.com,
rec78d0de38d7b34b,2026-10-01T12:00:00.000Z,reca01e4634-ceec-,Boyd Group,small,renewal_target,0,0,0,ryanwhitney@example.com,
recd10c31c67c504b,2026-10-01T12:00:00.000Z,rec492512d9-5a98-,Roach-George,small,declined,0,0,0,maria63@example.com,
rec053c9855ddde4d,2026-10-01T12:00:00.000Z,rec82d250d6-f539-,"Wright, Collins and Underwood",mid,declined,0,0,0,robin57@example.net,
rec84d7646553fa4a,2026-10-01T12:00:00.000Z,rec09bd1f36-269f-,Lawrence-Chandler,mid,renewal_target,0,0,0,qsmith@example.org,
rec58243bcef15442,2026-10-01T12:00:00.000Z,rec62a24790-ee3d-,Cardenas and Sons,mid,cold,0,0,0,gwood@example.net,
