campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
camp-spring-harvest-2025,24,31,19,0.79,6,5,0.21,0,0
camp-this-sat-briarwood-jun,21,24,15,0.71,4,3,0.14,0,1
camp-late-summer-harvest-25,24,35,20,0.83,7,6,0.25,1,0
camp-briarwood-aug-23-25,21,21,14,0.67,3,2,0.10,0,0
camp-last-jars-season-25,24,41,21,0.88,9,7,0.29,0,0
camp-spring-harvest-2024,19,22,14,0.74,4,3,0.16,0,0
camp-briarwood-jun-14-24,18,18,11,0.61,3,2,0.11,0,1
camp-late-summer-harvest-24,20,28,16,0.80,5,4,0.20,1,0
camp-briarwood-aug-30-24,18,19,12,0.67,3,2,0.11,0,0
camp-fall-wrapup-2024,19,26,15,0.79,5,4,0.21,0,0
camp-comb-honey-oct-25,24,44,22,0.92,10,8,0.33,0,0
camp-holiday-jars-25,24,47,22,0.92,12,9,0.38,0,0
camp-winter-market-note-25,21,17,13,0.62,1,1,0.05,1,1
camp-creamed-honey-jan-26,24,33,20,0.83,7,6,0.25,0,0
camp-stock-check-feb-26,24,29,18,0.75,5,4,0.17,0,0
camp-market-opens-apr-26,21,27,16,0.76,5,4,0.19,0,0
camp-beeswax-blocks-oct-25,24,30,19,0.79,6,5,0.21,0,0
camp-pickup-reminder-nov-25,21,22,14,0.67,3,2,0.10,0,0
camp-presale-spring-26,21,28,17,0.81,7,5,0.24,0,0
camp-thanks-buyers-25,24,38,21,0.88,8,7,0.29,0,0
