pair,time,open,high,low,close,vwap,volume,count
XXBTZCAD,1796063400,30512.99,31123.25,29902.73,30665.56,30512.99,19.2773,190
XXBTZCAD,1796067000,7781.03,7936.65,7625.41,7819.94,7781.03,83.9302,184
XXBTZCAD,1796070600,72938.00,74396.76,71479.24,73302.69,72938.00,56.8747,20
XXBTZCAD,1796074200,80588.23,82199.99,78976.47,80991.17,80588.23,58.3836,20
XXBTZCAD,1796077800,70045.42,71446.33,68644.51,70395.64,70045.42,9.5677,127
XXBTZCAD,1796081400,69359.28,70746.47,67972.09,69706.08,69359.28,47.9791,53
XXBTZCAD,1796085000,6439.78,6568.57,6310.98,6471.98,6439.78,11.2345,74
XXBTZCAD,1796088600,67609.12,68961.30,66256.94,67947.17,67609.12,52.4782,65
XXBTZCAD,1796092200,61224.49,62448.98,60000.00,61530.61,61224.49,78.1558,85
XXBTZCAD,1796095800,63810.25,65086.46,62534.05,64129.31,63810.25,94.0329,87
XXBTZCAD,1796099400,86491.65,88221.49,84761.82,86924.11,86491.65,2.2171,170
XXBTZCAD,1796103000,61742.21,62977.05,60507.37,62050.92,61742.21,54.1656,45
XXBTZCAD,1796106600,30185.63,30789.34,29581.92,30336.56,30185.63,21.9181,149
XXBTZCAD,1796110200,34734.78,35429.48,34040.08,34908.45,34734.78,15.9104,113
XXBTZCAD,1796113800,82112.65,83754.90,80470.40,82523.21,82112.65,20.1563,178
XXBTZCAD,1796117400,10318.47,10524.84,10112.10,10370.06,10318.47,19.2894,18
XXBTZCAD,1796121000,30930.71,31549.32,30312.09,31085.36,30930.71,79.6595,93
XXBTZCAD,1796124600,10098.86,10300.84,9896.88,10149.35,10098.86,41.1522,77
XXBTZCAD,1796128200,57051.96,58193.00,55910.92,57337.22,57051.96,26.0362,200
XXBTZCAD,1796131800,69919.35,71317.74,68520.97,70268.95,69919.35,28.7731,72
XXBTZCAD,1796135400,69846.89,71243.83,68449.95,70196.13,69846.89,64.9732,39
XXBTZCAD,1796139000,88637.02,90409.76,86864.28,89080.21,88637.02,29.2403,98
XXBTZCAD,1796142600,69180.03,70563.63,67796.43,69525.93,69180.03,92.4095,168
XXBTZCAD,1796146200,82252.93,83897.99,80607.88,82664.20,82252.93,66.0763,198
XXBTZCAD,1796149800,15328.78,15635.36,15022.21,15405.42,15328.78,75.4127,11
XXBTZCAD,1796153400,86098.60,87820.58,84376.63,86529.10,86098.60,39.8831,85
