asset,altname,aclass,decimals,display_decimals
XXBT,BTC,currency,10,5
XETH,ETH,currency,10,5
SOL,SOL,currency,10,5
ADA,ADA,currency,10,5
DOT4,DOT4,currency,8,4
MATIC5,MATIC5,currency,8,4
AVAX6,AVAX6,currency,8,5
LINK7,LINK7,currency,8,4
UNI8,UNI8,currency,8,5
ATOM9,ATOM9,currency,8,2
XRP10,XRP10,currency,8,2
LTC11,LTC11,currency,8,4
BCH12,BCH12,currency,8,4
ALGO13,ALGO13,currency,8,4
XLM14,XLM14,currency,8,2
FIL15,FIL15,currency,8,4
NEAR16,NEAR16,currency,8,4
APT17,APT17,currency,8,4
ARB18,ARB18,currency,8,4
OP19,OP19,currency,8,2
BTC20,BTC20,currency,8,4
ETH21,ETH21,currency,8,4
SOL22,SOL22,currency,8,4
ADA23,ADA23,currency,8,5
DOT24,DOT24,currency,8,4
MATIC25,MATIC25,currency,8,5
AVAX26,AVAX26,currency,8,5
LINK27,LINK27,currency,8,5
UNI28,UNI28,currency,8,2
ATOM29,ATOM29,currency,8,4
XRP30,XRP30,currency,8,4
LTC31,LTC31,currency,8,5
BCH32,BCH32,currency,8,2
ALGO33,ALGO33,currency,8,2
XLM34,XLM34,currency,8,5
FIL35,FIL35,currency,8,2
NEAR36,NEAR36,currency,8,2
APT37,APT37,currency,8,4
ARB38,ARB38,currency,8,2
OP39,OP39,currency,8,2
BTC40,BTC40,currency,8,4
ETH41,ETH41,currency,8,4
SOL42,SOL42,currency,8,4
ADA43,ADA43,currency,8,2
DOT44,DOT44,currency,8,2
MATIC45,MATIC45,currency,8,2
AVAX46,AVAX46,currency,8,4
LINK47,LINK47,currency,8,4
UNI48,UNI48,currency,8,2
ATOM49,ATOM49,currency,8,4
XRP50,XRP50,currency,8,4
LTC51,LTC51,currency,8,2
BCH52,BCH52,currency,8,4
ALGO53,ALGO53,currency,8,4
XLM54,XLM54,currency,8,2
FIL55,FIL55,currency,8,4
NEAR56,NEAR56,currency,8,4
APT57,APT57,currency,8,4
ARB58,ARB58,currency,8,5
OP59,OP59,currency,8,4
BTC60,BTC60,currency,8,4
ETH61,ETH61,currency,8,2
SOL62,SOL62,currency,8,2
ADA63,ADA63,currency,8,2
DOT64,DOT64,currency,8,2
MATIC65,MATIC65,currency,8,5
AVAX66,AVAX66,currency,8,2
LINK67,LINK67,currency,8,4
UNI68,UNI68,currency,8,4
ATOM69,ATOM69,currency,8,4
XRP70,XRP70,currency,8,5
LTC71,LTC71,currency,8,5
BCH72,BCH72,currency,8,5
ALGO73,ALGO73,currency,8,4
XLM74,XLM74,currency,8,4
FIL75,FIL75,currency,8,5
NEAR76,NEAR76,currency,8,2
APT77,APT77,currency,8,5
ARB78,ARB78,currency,8,4
OP79,OP79,currency,8,2
BTC80,BTC80,currency,8,5
ETH81,ETH81,currency,8,5
SOL82,SOL82,currency,8,2
ADA83,ADA83,currency,8,4
DOT84,DOT84,currency,8,4
MATIC85,MATIC85,currency,8,4
AVAX86,AVAX86,currency,8,4
LINK87,LINK87,currency,8,4
UNI88,UNI88,currency,8,2
ATOM89,ATOM89,currency,8,5
XRP90,XRP90,currency,8,4
LTC91,LTC91,currency,8,4
BCH92,BCH92,currency,8,4
ALGO93,ALGO93,currency,8,4
XLM94,XLM94,currency,8,2
FIL95,FIL95,currency,8,2
NEAR96,NEAR96,currency,8,5
APT97,APT97,currency,8,2
ARB98,ARB98,currency,8,5
OP99,OP99,currency,8,2
BTC100,BTC100,currency,8,2
ETH101,ETH101,currency,8,5
SOL102,SOL102,currency,8,2
ADA103,ADA103,currency,8,5
DOT104,DOT104,currency,8,4
