asset,balance
XXBT,0.58756151
XETH,1.56482831
SOL,2.76070808
ADA,1.22101551
DOT4,4.39551018
MATIC5,65.78080459
AVAX6,3.24727454
LINK7,47.17640849
UNI8,7.6377813
ATOM9,68.16856815
XRP10,93.55452642
LTC11,14.87052601
BCH12,85.97836986
ALGO13,4.60167202
XLM14,78.84522477
FIL15,36.90995448
NEAR16,31.95985018
APT17,25.41702684
ARB18,35.582974
OP19,4.26767512
BTC20,41.7342183
ETH21,46.61940866
SOL22,68.51845893
ADA23,39.45847142
DOT24,87.52476981
MATIC25,29.18829536
AVAX26,54.04073132
LINK27,22.31597152
UNI28,21.3088319
ATOM29,86.43597131
XRP30,81.87021347
LTC31,4.28024728
BCH32,79.68786262
ALGO33,35.25180483
XLM34,9.85297963
FIL35,9.73631092
NEAR36,6.44500407
APT37,66.80524262
ARB38,78.80011584
OP39,49.73970641
BTC40,54.96996222
ETH41,23.53779793
SOL42,2.97117635
ADA43,86.42517801
DOT44,49.45341553
MATIC45,31.24824956
AVAX46,99.94518862
LINK47,88.60155943
UNI48,58.429243
ATOM49,78.8598091
XRP50,94.71616245
LTC51,89.6130062
BCH52,60.98190703
ALGO53,30.16500087
XLM54,48.61190764
FIL55,83.53591913
NEAR56,63.80736168
APT57,40.6432809
ARB58,58.87135463
OP59,80.44112143
BTC60,62.05840257
ETH61,63.9867611
SOL62,81.1245317
ADA63,24.10384491
DOT64,89.1630972
MATIC65,24.13714193
AVAX66,96.3676845
LINK67,42.95284882
UNI68,9.70917376
ATOM69,73.2394795
XRP70,62.44299221
LTC71,4.61730569
BCH72,61.952844
ALGO73,14.80781721
XLM74,64.67393266
FIL75,29.22042029
NEAR76,8.90185818
APT77,97.10855449
ARB78,57.30680962
OP79,26.23689934
BTC80,73.68671655
ETH81,81.01568291
SOL82,39.01674351
ADA83,43.05870391
DOT84,37.61408413
MATIC85,39.82539614
AVAX86,69.82140057
LINK87,69.81773287
UNI88,81.54204736
ATOM89,12.88015466
XRP90,46.78373503
LTC91,53.90520263
BCH92,79.81901057
ALGO93,93.21729793
XLM94,12.71125888
FIL95,76.03155027
NEAR96,5.36716156
APT97,57.62148364
ARB98,12.1784488
OP99,93.86643764
BTC100,68.98639057
ETH101,27.4835434
SOL102,0.3578384
ADA103,8.23775467
DOT104,86.42852242
