pair,altname,ask,bid,last,volume,high,low,open
XXBTZCAD,BTCCAD,10963.58,59394.44,50613.42,5242.20,64701.91,86515.13,38461.09
XETHZCAD,ETHCAD,16539.41,1253.47,4474.77,944.72,53575.98,68684.68,71354.23
SOLZCAD,SOLCAD,49055.88,39940.00,20953.02,1151.52,63605.48,46078.68,43145.31
ADAZCAD,ADACAD,52285.57,52072.45,60494.01,3689.73,86542.43,14989.85,27287.82
DOT4CAD,DOT4CAD,12029.38,24241.0,59500.1,3542.0,27298.2,11892.12,38914.96
MATIC5CAD,MATIC5CAD,19249.76,30987.27,37211.38,2843.6,60348.52,12297.09,58985.11
AVAX6CAD,AVAX6CAD,28793.79,45256.07,30029.92,1894.79,16394.17,26661.43,4155.07
LINK7CAD,LINK7CAD,7279.35,19542.86,48423.51,2842.9,3765.08,21351.24,33433.72
UNI8CAD,UNI8CAD,18031.67,43336.79,23288.88,3184.02,45563.73,39703.68,37008.46
ATOM9CAD,ATOM9CAD,46806.6,15766.45,14815.07,67.5,16932.87,46585.68,26735.05
XRP10CAD,XRP10CAD,33342.93,57866.73,47677.52,4945.94,16126.93,6681.4,4663.44
LTC11CAD,LTC11CAD,6779.67,49781.16,13853.42,1939.59,19212.65,45240.79,26498.19
BCH12CAD,BCH12CAD,27077.21,36300.7,5841.89,1190.73,6668.78,50565.99,35151.25
ALGO13CAD,ALGO13CAD,43431.7,54992.77,41376.61,618.18,23709.81,20091.71,50494.38
XLM14CAD,XLM14CAD,47000.34,43350.27,7396.65,2985.23,8637.53,55254.09,49938.48
FIL15CAD,FIL15CAD,51150.77,11458.31,44450.05,3290.47,40079.97,19261.43,55349.61
NEAR16CAD,NEAR16CAD,46419.54,50709.17,40925.34,1799.32,45728.4,15734.05,55064.14
APT17CAD,APT17CAD,25691.28,32235.8,11793.82,4226.74,14848.33,37849.31,47007.73
ARB18CAD,ARB18CAD,58657.89,15024.17,8005.84,255.19,17459.58,56503.56,17247.38
OP19CAD,OP19CAD,44161.77,9513.39,52286.06,2515.59,24241.76,6478.1,24618.1
BTC20CAD,BTC20CAD,29458.37,2717.01,46447.45,4310.41,29485.26,44629.86,1810.97
ETH21CAD,ETH21CAD,56239.39,28728.74,2198.1,319.55,42071.85,32929.36,5125.26
SOL22CAD,SOL22CAD,13043.94,20891.9,29870.58,4630.62,19481.08,9289.89,14585.82
ADA23CAD,ADA23CAD,52684.05,34115.63,25759.61,4724.89,49873.53,36115.29,15417.87
DOT24CAD,DOT24CAD,31474.83,3156.39,54818.26,42.25,52384.04,16499.48,43134.03
MATIC25CAD,MATIC25CAD,56566.91,41519.75,18622.62,1944.88,8188.23,31653.47,27101.67
AVAX26CAD,AVAX26CAD,56819.56,36449.27,27230.47,4277.54,29069.36,48959.47,5108.33
LINK27CAD,LINK27CAD,34660.14,3979.92,24167.49,3912.65,19077.84,56473.43,14624.09
UNI28CAD,UNI28CAD,38130.42,177.98,22266.71,4169.49,7102.79,34131.92,2205.43
ATOM29CAD,ATOM29CAD,47069.56,26745.01,55058.92,2871.09,34927.22,38968.48,52705.06
XRP30CAD,XRP30CAD,17761.94,23206.62,2564.28,629.71,26620.89,30883.67,25297.68
LTC31CAD,LTC31CAD,20828.78,23006.62,28835.76,1191.31,2384.03,24807.6,23189.26
BCH32CAD,BCH32CAD,40623.03,39151.82,36618.97,3606.4,2896.67,19578.99,32803.68
ALGO33CAD,ALGO33CAD,27988.9,2684.37,30284.04,3289.96,9369.71,49529.07,3323.41
XLM34CAD,XLM34CAD,5211.97,12343.47,15740.96,4291.96,16569.87,21449.72,34150.12
FIL35CAD,FIL35CAD,12885.12,39791.94,55767.95,880.61,25618.97,20831.47,9932.35
NEAR36CAD,NEAR36CAD,49007.28,18894.95,13549.94,824.61,8123.71,38780.35,19146.5
APT37CAD,APT37CAD,41251.66,1963.03,5980.03,363.21,5936.99,7669.03,222.02
ARB38CAD,ARB38CAD,58365.89,40245.99,18570.27,197.57,34219.02,20609.98,52680.94
OP39CAD,OP39CAD,30083.83,32144.32,21148.03,1360.22,54938.35,2059.17,6570.54
BTC40CAD,BTC40CAD,24444.83,36234.69,9150.65,531.95,25650.21,14366.09,6122.72
