title,author,category,source,status,price
The Snowy Day,Ezra Jack Keats,picture book,Etsy,in stock,8.5
Goodnight Moon,Margaret Wise Brown,picture book,Etsy,in stock,7.99
Where the Wild Things Are,Maurice Sendak,picture book,Etsy,in stock,9.99
Corduroy,Don Freeman,picture book,Etsy,in stock,7.99
Blueberries for Sal,Robert McCloskey,picture book,Etsy,in stock,8.5
Bread and Jam for Frances,Russell Hoban,picture book,Etsy,in stock,8.99
Frog and Toad Are Friends,Arnold Lobel,early reader,Etsy,in stock,9.5
Amelia Bedelia,Peggy Parish,early reader,Etsy,in stock,7.99
The Very Hungry Caterpillar,Eric Carle,picture book,Amazon,in stock,8.99
Chicka Chicka Boom Boom,Bill Martin Jr,picture book,Amazon,in stock,7.99
Brown Bear Brown Bear,Bill Martin Jr,picture book,Amazon,in stock,7.99
Guess How Much I Love You,Sam McBratney,picture book,Amazon,in stock,8.5
