id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
5512004001,Zoetis Animal Health,zoetis.com,Veterinary Pharmaceuticals,Parsippany,NJ,11500,8100000000,2019-06-12T17:00:00Z
5512004002,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,4,620000,2021-03-04T16:00:00Z
5512004003,Watson Ranch,,Cattle Ranching,Powell Butte,OR,3,410000,2020-11-08T18:00:00Z
5512004004,Krasicki Ranch,,Cattle Ranching,Prineville,OR,5,740000,2020-04-22T15:00:00Z
5512004005,Boehringer Ingelheim Animal Health,boehringer-ingelheim.com,Veterinary Pharmaceuticals,Duluth,GA,8400,6200000000,2019-09-18T17:00:00Z
5512004006,Merck Animal Health,merck-animal-health.com,Veterinary Pharmaceuticals,Rahway,NJ,9200,7400000000,2019-07-22T17:00:00Z
5512004007,Blackwood Cattle Co,blackwoodcattle.example,Cattle Ranching,Redmond,OR,8,1250000,2022-01-15T16:00:00Z
5512004008,Mercer Family Ranch,,Cattle Ranching,Bend,OR,3,380000,2021-08-30T18:00:00Z
5512004009,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,6,910000,2020-09-12T15:00:00Z
5512004010,Holbrook Ranch,,Cattle Ranching,Terrebonne,OR,4,470000,2021-05-19T16:00:00Z
5512004011,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,5,680000,2023-02-08T17:00:00Z
5512004012,Prieto Heifers LLC,,Cattle Ranching,Culver,OR,2,290000,2022-11-03T18:00:00Z
5512004013,Vogel Cattle,,Cattle Ranching,Powell Butte,OR,4,540000,2021-06-27T15:00:00Z
5512004014,Ortega Ranch,ortegaranch.example,Cattle Ranching,Tumalo,OR,3,420000,2023-04-14T16:00:00Z
5512004015,Nichols Dairy,nicholsdairy.example,Dairy Farming,Redmond,OR,14,2100000,2019-12-01T17:00:00Z
5512004016,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,7,620000,2020-03-18T18:00:00.000Z
5512004017,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2021-12-03T15:00:00.000Z
5512004018,Krasicki Ranch,krasickiranch.example,Cattle Ranching,Prineville,OR,8,740000,2020-02-23T18:00:00.000Z
5512004019,Blackwood Cattle Co,,Cattle Ranching,Redmond,OR,9,1250000,2022-05-28T17:00:00.000Z
5512004020,Mercer Family Ranch,,Cattle Ranching,Bend,OR,6,380000,2022-10-23T15:00:00.000Z
5512004021,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,10,910000,2023-11-08T16:00:00.000Z
5512004022,Holbrook Ranch,holbrookranch.example,Cattle Ranching,Terrebonne,OR,6,470000,2020-08-16T17:00:00.000Z
5512004023,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2021-02-18T15:00:00.000Z
5512004024,Prieto Heifers LLC,prietoheifers.example,Cattle Ranching,Culver,OR,4,290000,2020-06-17T17:00:00.000Z
5512004025,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2023-01-29T15:00:00.000Z
5512004026,Ortega Ranch,,Cattle Ranching,Tumalo,OR,6,420000,2021-12-13T16:00:00.000Z
5512004027,Nichols Dairy,nicholsdairy.example,Dairy Farming,Redmond,OR,14,2100000,2020-09-16T17:00:00.000Z
5512004028,Blain Bros Cattle Co,blainbros.example,Cattle Ranching,Sisters,OR,8,710000,2022-11-26T18:00:00.000Z
5512004029,Crooked River Cattle,,Cattle Ranching,Prineville,OR,9,830000,2021-11-28T15:00:00.000Z
