pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
vendor_orders,Vendor Orders,draft,Draft,1,0.1,False
vendor_orders,Vendor Orders,submitted,Submitted to Vendor,2,0.3,False
vendor_orders,Vendor Orders,deposit_paid_awaiting_delivery,Deposit Paid - Awaiting Delivery,3,0.7,False
vendor_orders,Vendor Orders,shipped_in_transit,Shipped - In Transit,4,0.85,False
vendor_orders,Vendor Orders,delivered_invoice_pending,Delivered - Invoice Pending,5,0.95,False
vendor_orders,Vendor Orders,delivered_invoice_paid,Delivered - Invoice Paid,6,1.0,True
vendor_orders,Vendor Orders,cancelled,Cancelled,7,0.0,True
vendor_orders,Vendor Orders,draft,Draft,1,0.1,False
vendor_orders,Vendor Orders,submitted,Submitted to Vendor,2,0.3,False
vendor_orders,Vendor Orders,deposit_paid_awaiting_delivery,Deposit Paid - Awaiting Delivery,3,0.7,False
vendor_orders,Vendor Orders,shipped_in_transit,Shipped - In Transit,4,0.85,False
vendor_orders,Vendor Orders,delivered_invoice_pending,Delivered - Invoice Pending,5,0.95,False
vendor_orders,Vendor Orders,delivered_invoice_paid,Delivered - Invoice Paid,6,1.0,True
vendor_orders,Vendor Orders,cancelled,Cancelled,7,0.0,True
herd_health_1,Herd Health Jobs,scheduled_1,Scheduled,1,0.15,False
herd_health_1,Herd Health Jobs,in_progress_1,In Progress,2,0.3,False
herd_health_1,Herd Health Jobs,completed_1,Completed,3,0.45,False
herd_health_1,Herd Health Jobs,invoiced_1,Invoiced,4,0.6,False
herd_health_1,Herd Health Jobs,paid_1,Paid,5,0.75,True
herd_health_1,Herd Health Jobs,cancelled_1,Cancelled,6,0.9,True
farm_calls_2,Farm Call Queue,requested_2,Requested,1,0.15,False
farm_calls_2,Farm Call Queue,confirmed_2,Confirmed,2,0.3,False
farm_calls_2,Farm Call Queue,en_route_2,En Route,3,0.45,False
farm_calls_2,Farm Call Queue,on_site_2,On Site,4,0.6,False
farm_calls_2,Farm Call Queue,closed_2,Closed,5,0.75,True
herd_health_3,Herd Health Jobs,scheduled_3,Scheduled,1,0.15,False
herd_health_3,Herd Health Jobs,in_progress_3,In Progress,2,0.3,False
herd_health_3,Herd Health Jobs,completed_3,Completed,3,0.45,False
herd_health_3,Herd Health Jobs,invoiced_3,Invoiced,4,0.6,False
herd_health_3,Herd Health Jobs,paid_3,Paid,5,0.75,True
herd_health_3,Herd Health Jobs,cancelled_3,Cancelled,6,0.9,True
farm_calls_4,Farm Call Queue,requested_4,Requested,1,0.15,False
farm_calls_4,Farm Call Queue,confirmed_4,Confirmed,2,0.3,False
farm_calls_4,Farm Call Queue,en_route_4,En Route,3,0.45,False
farm_calls_4,Farm Call Queue,on_site_4,On Site,4,0.6,False
farm_calls_4,Farm Call Queue,closed_4,Closed,5,0.75,True
herd_health_5,Herd Health Jobs,scheduled_5,Scheduled,1,0.15,False
herd_health_5,Herd Health Jobs,in_progress_5,In Progress,2,0.3,False
herd_health_5,Herd Health Jobs,completed_5,Completed,3,0.45,False
herd_health_5,Herd Health Jobs,invoiced_5,Invoiced,4,0.6,False
herd_health_5,Herd Health Jobs,paid_5,Paid,5,0.75,True
herd_health_5,Herd Health Jobs,cancelled_5,Cancelled,6,0.9,True
farm_calls_6,Farm Call Queue,requested_6,Requested,1,0.15,False
farm_calls_6,Farm Call Queue,confirmed_6,Confirmed,2,0.3,False
farm_calls_6,Farm Call Queue,en_route_6,En Route,3,0.45,False
farm_calls_6,Farm Call Queue,on_site_6,On Site,4,0.6,False
farm_calls_6,Farm Call Queue,closed_6,Closed,5,0.75,True
herd_health_7,Herd Health Jobs,scheduled_7,Scheduled,1,0.15,False
herd_health_7,Herd Health Jobs,in_progress_7,In Progress,2,0.3,False
herd_health_7,Herd Health Jobs,completed_7,Completed,3,0.45,False
herd_health_7,Herd Health Jobs,invoiced_7,Invoiced,4,0.6,False
herd_health_7,Herd Health Jobs,paid_7,Paid,5,0.75,True
herd_health_7,Herd Health Jobs,cancelled_7,Cancelled,6,0.9,True
farm_calls_8,Farm Call Queue,requested_8,Requested,1,0.15,False
farm_calls_8,Farm Call Queue,confirmed_8,Confirmed,2,0.3,False
farm_calls_8,Farm Call Queue,en_route_8,En Route,3,0.45,False
farm_calls_8,Farm Call Queue,on_site_8,On Site,4,0.6,False
farm_calls_8,Farm Call Queue,closed_8,Closed,5,0.75,True
herd_health_9,Herd Health Jobs,scheduled_9,Scheduled,1,0.15,False
herd_health_9,Herd Health Jobs,in_progress_9,In Progress,2,0.3,False
herd_health_9,Herd Health Jobs,completed_9,Completed,3,0.45,False
herd_health_9,Herd Health Jobs,invoiced_9,Invoiced,4,0.6,False
herd_health_9,Herd Health Jobs,paid_9,Paid,5,0.75,True
herd_health_9,Herd Health Jobs,cancelled_9,Cancelled,6,0.9,True
farm_calls_10,Farm Call Queue,requested_10,Requested,1,0.15,False
farm_calls_10,Farm Call Queue,confirmed_10,Confirmed,2,0.3,False
farm_calls_10,Farm Call Queue,en_route_10,En Route,3,0.45,False
farm_calls_10,Farm Call Queue,on_site_10,On Site,4,0.6,False
farm_calls_10,Farm Call Queue,closed_10,Closed,5,0.75,True
herd_health_11,Herd Health Jobs,scheduled_11,Scheduled,1,0.15,False
herd_health_11,Herd Health Jobs,in_progress_11,In Progress,2,0.3,False
herd_health_11,Herd Health Jobs,completed_11,Completed,3,0.45,False
herd_health_11,Herd Health Jobs,invoiced_11,Invoiced,4,0.6,False
herd_health_11,Herd Health Jobs,paid_11,Paid,5,0.75,True
herd_health_11,Herd Health Jobs,cancelled_11,Cancelled,6,0.9,True
farm_calls_12,Farm Call Queue,requested_12,Requested,1,0.15,False
farm_calls_12,Farm Call Queue,confirmed_12,Confirmed,2,0.3,False
farm_calls_12,Farm Call Queue,en_route_12,En Route,3,0.45,False
farm_calls_12,Farm Call Queue,on_site_12,On Site,4,0.6,False
farm_calls_12,Farm Call Queue,closed_12,Closed,5,0.75,True
herd_health_13,Herd Health Jobs,scheduled_13,Scheduled,1,0.15,False
herd_health_13,Herd Health Jobs,in_progress_13,In Progress,2,0.3,False
herd_health_13,Herd Health Jobs,completed_13,Completed,3,0.45,False
herd_health_13,Herd Health Jobs,invoiced_13,Invoiced,4,0.6,False
herd_health_13,Herd Health Jobs,paid_13,Paid,5,0.75,True
herd_health_13,Herd Health Jobs,cancelled_13,Cancelled,6,0.9,True
farm_calls_14,Farm Call Queue,requested_14,Requested,1,0.15,False
farm_calls_14,Farm Call Queue,confirmed_14,Confirmed,2,0.3,False
farm_calls_14,Farm Call Queue,en_route_14,En Route,3,0.45,False
farm_calls_14,Farm Call Queue,on_site_14,On Site,4,0.6,False
farm_calls_14,Farm Call Queue,closed_14,Closed,5,0.75,True
