service_id,name,description,status,escalation_policy_id,auto_resolve_timeout
svc_001,Opera PMS,Opera PMS service,active,esc_it,3600
svc_002,POS Restaurant,POS Restaurant service,active,esc_it,3600
svc_003,POS Bar,POS Bar service,active,esc_it,3600
svc_004,Wi-Fi Guest Network,Wi-Fi Guest Network service,active,esc_it,3600
svc_005,Wi-Fi Staff Network,Wi-Fi Staff Network service,active,esc_it,3600
svc_006,Key Encoder System,Key Encoder System service,active,esc_it,3600
svc_007,CCTV NVR Cluster,CCTV NVR Cluster service,active,esc_it,3600
svc_008,Fire Alarm Panel,Fire Alarm Panel service,active,esc_it,3600
svc_009,HVAC North,HVAC North service,active,esc_it,3600
svc_010,HVAC South,HVAC South service,active,esc_it,3600
svc_011,Elevator Bank East,Elevator Bank East service,active,esc_it,3600
svc_012,Elevator Bank West,Elevator Bank West service,active,esc_it,3600
svc_013,Reservations Website,Reservations Website service,active,esc_it,3600
svc_014,Concierge Desk PC,Concierge Desk PC service,active,esc_it,3600
