media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
17900001029,28500,23000,3562,340,175,230,55
17900001030,11600,9400,1453,98,45,78,15
17900001031,8600,7000,1083,42,18,35,5
17900001032,28800,23200,3584,348,180,235,57
17900001033,11400,9200,1430,95,42,75,14
17900001034,8800,7100,1105,44,20,37,6
17900001035,28200,22800,3540,335,170,225,53
17900001036,11800,9500,1475,100,48,80,16
17900001037,8400,6800,1070,40,16,33,4
17900000000000100,562,450,239,61,12,69,23
17900000000000101,2874,2299,124,33,17,94,21
17900000000000102,1725,1380,210,57,33,18,29
17900000000000103,4197,3358,107,24,16,17,17
17900000000000104,4775,3820,181,78,2,97,15
17900000000000105,3081,2465,231,46,5,71,18
17900000000000106,3635,2908,312,55,34,59,29
17900000000000107,3818,3054,380,30,19,63,18
17900000000000108,1252,1002,200,17,1,13,2
17900000000000109,866,693,269,32,7,36,7
17900000000000110,3979,3183,205,25,36,82,11
17900000000000111,806,645,79,64,4,12,12
17900000000000112,1588,1270,392,52,13,65,6
17900000000000113,1107,886,193,64,14,83,14
17900000000000114,1599,1279,227,35,19,99,1
17900000000000115,1158,926,211,32,17,6,2
17900000000000116,3332,2666,339,10,0,35,13
17900000000000117,4109,3287,52,29,32,75,4
17900000000000118,2319,1855,326,0,7,0,26
17900000000000119,2344,1875,173,53,33,61,7
17900000000000120,4701,3761,261,14,30,91,18
17900000000000121,233,186,340,73,22,67,24
17900000000000122,682,546,82,9,13,55,21
17900000000000123,761,609,199,64,11,3,5
17900000000000124,386,309,15,40,20,99,19
17900000000000125,2273,1818,326,18,34,6,21
17900000000000126,1527,1222,34,15,30,79,27
17900000000000127,1319,1055,353,11,7,8,24
17900000000000128,3955,3164,48,69,37,72,3
17900000000000129,2408,1926,263,48,39,71,26
17900000000000130,666,533,203,68,10,12,25
17900000000000131,3018,2414,104,9,16,7,14
17900000000000132,2756,2205,149,55,36,5,4
17900000000000133,436,349,338,74,27,72,26
17900000000000134,3951,3161,204,6,3,39,12
17900000000000135,701,561,120,27,12,66,9
17900000000000136,455,364,385,60,10,61,25
17900000000000137,3584,2867,157,2,14,40,10
17900000000000138,2320,1856,227,47,17,94,26
17900000000000139,4832,3866,170,61,38,48,18
17900000000000140,3937,3150,202,67,28,29,23
17900000000000141,881,705,100,55,15,84,2
17900000000000142,2144,1715,312,18,3,98,10
17900000000000143,4386,3509,169,7,28,65,25
17900000000000144,4135,3308,266,27,19,33,7
17900000000000145,2744,2195,48,37,4,49,3
17900000000000146,4999,3999,10,6,9,23,5
17900000000000147,3407,2726,30,56,20,4,5
17900000000000148,3275,2620,351,34,16,8,2
17900000000000149,2749,2199,33,67,0,88,19
17900000000000150,2343,1874,268,71,17,85,22
17900000000000151,3176,2541,119,22,4,8,29
17900000000000152,1498,1198,257,14,37,5,17
17900000000000153,825,660,133,49,6,83,13
17900000000000154,4125,3300,52,1,15,59,13
17900000000000155,1521,1217,399,9,17,79,16
17900000000000156,1500,1200,95,15,38,88,22
17900000000000157,4467,3574,215,62,18,15,13
17900000000000158,4530,3624,244,0,9,87,17
17900000000000159,342,274,116,66,17,63,22
17900000000000160,3717,2974,99,55,33,83,2
17900000000000161,4321,3457,335,67,24,65,24
17900000000000162,2152,1722,76,34,34,28,9
17900000000000163,3422,2738,152,76,22,48,29
17900000000000164,2250,1800,22,10,22,40,15
17900000000000165,3752,3002,334,47,17,22,19
17900000000000166,548,438,28,55,27,59,9
17900000000000167,3094,2475,123,75,7,83,21
17900000000000168,845,676,79,79,20,76,7
17900000000000169,3998,3198,73,59,27,41,24
17900000000000170,4831,3865,129,34,13,87,24
17900000000000171,1363,1090,386,75,31,77,7
17900000000000172,3188,2550,390,61,25,96,5
17900000000000173,435,348,107,15,16,41,6
17900000000000174,2736,2189,97,5,12,65,1
17900000000000175,4594,3675,156,50,35,73,8
17900000000000176,4451,3561,117,33,4,93,26
17900000000000177,3850,3080,149,31,30,89,23
17900000000000178,2585,2068,67,15,21,64,4
17900000000000179,3114,2491,220,71,8,79,19
17900000000000180,3855,3084,368,25,35,86,12
17900000000000181,3114,2491,298,19,19,75,20
17900000000000182,3944,3155,374,25,13,66,1
17900000000000183,4179,3343,313,26,10,82,15
17900000000000184,4368,3494,156,58,18,27,5
17900000000000185,2126,1701,276,38,30,35,0
17900000000000186,2878,2302,354,39,39,14,4
17900000000000187,2835,2268,16,31,20,76,21
17900000000000188,4291,3433,119,70,33,37,0
17900000000000189,1721,1377,200,7,32,0,14
17900000000000190,3456,2765,65,37,2,7,2
17900000000000191,1219,975,13,46,11,76,23
17900000000000192,2913,2330,335,50,7,72,24
17900000000000193,745,596,151,49,0,61,29
17900000000000194,1703,1362,234,24,18,45,25
17900000000000195,4613,3690,302,70,0,31,0
17900000000000196,3506,2805,203,74,12,29,22
17900000000000197,848,678,225,40,3,26,16
17900000000000198,2059,1647,64,61,11,69,19
17900000000000199,4392,3514,270,42,18,73,15
