id,user_id,caption,media_type,media_url,permalink,thumbnail_url,timestamp,like_count,comments_count,is_comment_enabled
17900000000000000,17841400445123456,Sox blew that one in the 9th last night. Three-run lead. Just remarkable.,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/17900000000000000_1.jpg,https://www.instagram.com/p/BhKj3nP2mX/,,2025-12-13T03:40:34+00:00,108,6,true
17900000000000001,17841400445123456,Don't start. I watched every inning.,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/17900000000000001_1.jpg,https://www.instagram.com/p/CdL9fRt7wQ/,,2025-12-14T03:06:23+00:00,110,6,true
17900000000000002,17841400445123456,Sarah turned it off in the 8th. Had the right instinct.,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/17900000000000002_1.jpg,https://www.instagram.com/p/DmN4vYs1pZ/,,2025-12-13T19:50:41+00:00,169,12,true
17900000000000003,17841400445123456,She's smarter than both of us.,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/17900000000000003_1.jpg,https://www.instagram.com/p/EnP6xUk8hW/,,2025-12-13T09:11:13+00:00,34,12,true
17900000000000100,17841400445123456,"Coffee and code.",IMAGE,https://scontent.cdninstagram.com/faeb7c5704a9.jpg,https://www.instagram.com/p/65d56eb4/,https://scontent.cdninstagram.com/faeb7c5704a9_t.jpg,2026-06-19T08:07:00+0000,321,48,true
17900000000000101,17841400445123456,"Weekend hike in the White Mountains.",VIDEO,https://scontent.cdninstagram.com/c55933be8b2c.jpg,https://www.instagram.com/p/98ae3f92/,https://scontent.cdninstagram.com/c55933be8b2c_t.jpg,2026-10-04T09:28:00+0000,6,42,true
17900000000000102,17841400445123456,"Sunset in Cambridge.",CAROUSEL_ALBUM,https://scontent.cdninstagram.com/49d59eabe063.jpg,https://www.instagram.com/p/afcbcea2/,https://scontent.cdninstagram.com/49d59eabe063_t.jpg,2026-10-24T13:09:00+0000,90,31,true
17900000000000103,17841400445123456,"Reading list update.",IMAGE,https://scontent.cdninstagram.com/8ca5b99edd3b.jpg,https://www.instagram.com/p/def29680/,https://scontent.cdninstagram.com/8ca5b99edd3b_t.jpg,2026-06-03T13:03:00+0000,466,5,true
17900000000000104,17841400445123456,"Morning run along the Charles.",CAROUSEL_ALBUM,https://scontent.cdninstagram.com/9ed76a316171.jpg,https://www.instagram.com/p/5ddeae44/,https://scontent.cdninstagram.com/9ed76a316171_t.jpg,2026-02-10T21:43:00+0000,269,51,true
17900000000000105,17841400445123456,"Morning run along the Charles.",VIDEO,https://scontent.cdninstagram.com/f9259e5e0c53.jpg,https://www.instagram.com/p/bdc8e7b1/,https://scontent.cdninstagram.com/f9259e5e0c53_t.jpg,2026-06-12T07:26:00+0000,122,55,true
