row_id,date,category_letter,category,supervised,minutes,note,audit_action,reason
AT-2023-09-01-A1,2023-09-01,A,peripheral_nerve,Y,60,graded exposure,keep,
AT-2023-09-01-A2,2023-09-01,A,peripheral_nerve,Y,45,graded exposure,keep,
AT-2023-09-01-C1,2023-09-01,C,fracture,Y,95,metacarpal ROM,keep,
AT-2023-09-01-C2,2023-09-01,C,fracture,N,60,PIP joint work,keep,
AT-2023-09-01-D1,2023-09-01,D,arthritis,Y,45,joint protection,keep,
AT-2023-09-01-E1,2023-09-01,E,wound,Y,65,silicone gel,keep,
AT-2023-09-01-F1,2023-09-01,F,splinting_orthotics,Y,45,dynamic outrigger,keep,
AT-2023-09-01-F2,2023-09-01,F,splinting_orthotics,N,45,dynamic outrigger,keep,
AT-2023-09-01-I1,2023-09-01,I,modality_supervision_only,Y,60,FES obs,keep,
AT-2023-09-04-C1,2023-09-04,C,fracture,Y,90,distal radius rehab,keep,
AT-2023-09-05-E1,2023-09-05,E,wound,N,30,scar management,keep,
AT-2023-09-06-B1,2023-09-06,B,tendon,N,45,extensor rehab,keep,
AT-2023-09-08-A1,2023-09-08,A,peripheral_nerve,N,60,sensory re-ed,keep,
AT-2023-09-08-A2,2023-09-08,A,peripheral_nerve,N,75,graded exposure,keep,
AT-2023-09-08-D1,2023-09-08,D,arthritis,N,45,thermoplastic thumb,keep,
AT-2023-09-11-D1,2023-09-11,D,arthritis,Y,60,energy conservation,keep,
AT-2023-09-11-E1,2023-09-11,E,wound,Y,60,wound care f/u,keep,
AT-2023-09-12-C1,2023-09-12,C,fracture,N,30,distal radius rehab,keep,
AT-2023-09-12-C2,2023-09-12,C,fracture,Y,35,distal radius rehab,keep,
AT-2023-09-12-F1,2023-09-12,F,splinting_orthotics,N,30,custom thermoplastic,keep,
AT-2023-09-12-F2,2023-09-12,F,splinting_orthotics,Y,60,buddy strap adj,keep,
AT-2023-09-13-F1,2023-09-13,F,splinting_orthotics,Y,90,PIP capener,keep,
AT-2023-09-14-C1,2023-09-14,C,fracture,Y,45,metacarpal ROM,keep,
AT-2023-09-15-B1,2023-09-15,B,tendon,Y,45,protective ROM,keep,
AT-2023-09-15-B2,2023-09-15,B,tendon,Y,90,protective ROM,keep,
AT-2023-09-15-C1,2023-09-15,C,fracture,N,75,PIP joint work,keep,
AT-2023-09-15-D1,2023-09-15,D,arthritis,Y,60,joint protection,keep,
AT-2023-09-15-E1,2023-09-15,E,wound,N,50,silicone gel,keep,
AT-2023-09-15-F1,2023-09-15,F,splinting_orthotics,Y,80,custom thermoplastic,keep,
AT-2023-09-15-F2,2023-09-15,F,splinting_orthotics,Y,35,PIP capener,keep,
