month,type,line_item,amount_usd,note
2026-11,inflow,salary_takehome_1,2100,biweekly paycheck deposit
2026-11,inflow,salary_takehome_2,2100,biweekly paycheck deposit
2026-11,outflow,fixed_living_expenses,3528,"rent, utilities, groceries, transport, insurance - persona baseline"
2026-11,outflow,cht_thyroid_copay_2026-11-12,30,PCP visit copay Dr. Akana
2026-11,outflow,cht_practice_exam_prep_materials,45,printed practice questions bundle
2026-11,outflow,cht_htcc_registration_jan9,645,HTCC registration payment for Jan 9 2027 sitting
2026-11,outflow,cht_review_materials_addl,75,additional textbook chapter reprints
2026-12,inflow,salary_takehome_1,2100,biweekly paycheck deposit
2026-12,inflow,salary_takehome_2,2100,biweekly paycheck deposit
2026-12,outflow,fixed_living_expenses,3528,persona baseline
2026-12,outflow,cht_final_review_session_2026-12-12,75,final CHT review session fee
2026-12,outflow,cht_celebratory_dinner_2026-12-12,50,post-review dinner
2027-01,inflow,salary_takehome_1,2100,biweekly paycheck deposit
2027-01,outflow,fixed_living_expenses_partial,1176,one third of monthly baseline through Jan 9
2027-01,outflow,cht_exam_day_incidentals,40,"parking, water, snacks, gas"
