domain,questions_answered,correct,accuracy_percent,exam_weight_percent,weighted_score,band
anatomy_kinesiology,60,47,78.3,8,6.26,solid
peripheral_nerve,68,56,82.4,14,11.54,solid
tendon,61,49,80.3,12,9.64,solid
fractures,65,50,76.9,12,9.23,solid
arthritis,54,40,74.1,8,5.93,soft
wounds,56,40,71.4,8,5.71,soft
splinting_orthotics,62,52,83.9,12,10.07,solid
pain_science,39,26,66.7,7,4.67,soft
burns,25,17,68.0,5,3.40,soft
ergonomics_rtw,26,17,65.4,6,3.92,soft
amputation,18,9,50.0,4,2.00,quietly_avoiding
pediatric,13,6,46.2,4,1.85,quietly_avoiding
