file_name,folder_path,status,action_type,note,last_updated,surface
Form-A_application_v2024.pdf,/HTCC-Application-2026-2027/forms/,stale,refresh_needed,swap to Form A v2026-07 published on Box,2024-08-11,Dropbox
Form-B_hour_log_summary_2026-06.pdf,/HTCC-Application-2026-2027/forms/,stale,refresh_needed,regenerate rollup with 2026-10-15 audited numbers,2026-06-30,Dropbox
Form-C_supervisor_attestation_signed.pdf,/HTCC-Application-2026-2027/forms/,ok,none,signed by Dr. Park 2026-08,2026-08-14,Dropbox
recommender_letter_1_Chen.pdf,/HTCC-Application-2026-2027/recommenders/,ok,none,Dr. Chen letter received,2026-07-22,Dropbox
recommender_letter_2_MISSING,/HTCC-Application-2026-2027/recommenders/,hard_blocker,acquire,"second recommender letter not received - candidate name in Notion scratch page, needs Meghan confirm",n/a,Dropbox
case_log_summary_2cases.pdf,/HTCC-Application-2026-2027/cases/,stale,refresh_needed,third case required - write up before Dec 12,2026-08-30,Dropbox
CEU_certificates_bundle_21of24.pdf,/HTCC-Application-2026-2027/ceu/,shortfall,auto_close,3 CEUs pending - closes on Dec 12 review session completion,2026-10-08,Dropbox
professional_license_OTR-L_current.pdf,/HTCC-Application-2026-2027/credentials/,ok,none,license active through 2027-06,2026-06-15,Dropbox
employment_verification_letter.pdf,/HTCC-Application-2026-2027/credentials/,ok,none,HR letter from Pacific Rehab,2026-09-02,Dropbox
registration_payment_$645_MISSING,/HTCC-Application-2026-2027/payment/,hard_blocker,pay,$645 registration for Jan 9 2027 sitting not submitted - deadline 2026-12-01,n/a,Dropbox
headshot_professional.jpg,/HTCC-Application-2026-2027/misc/,ok,none,professional headshot on file,2026-05-20,Dropbox
official_transcript_UH_Manoa.pdf,/HTCC-Application-2026-2027/credentials/,ok,none,sealed transcript on file,2026-04-10,Dropbox
HTCC_attestation_envelope_UNSIGNED.docusign,/HTCC-Application-2026-2027/attestation/,staged_unsigned,hold_for_meghan,"DocuSign envelope HTCC-ATTEST-MD-2026-11 staged, agent will NOT sign",2026-10-14,DocuSign
cover_sheet_2026.pdf,/HTCC-Application-2026-2027/forms/,ok,none,cover sheet complete,2026-10-05,Dropbox
submission_checklist.pdf,/HTCC-Application-2026-2027/,ok,none,"internal tracker, updated 2026-10-15",2026-10-15,Dropbox
