observation_id,date,location,species_common,species_scientific,count,notes,source
MRL-2026-0001,2026-01-04,Decatur Cemetery weekend walk,Northern Cardinal,Cardinalis cardinalis,3,pair plus one juvenile at the holly,Merlin
MRL-2026-0002,2026-01-04,Decatur Cemetery weekend walk,Carolina Wren,Thryothorus ludovicianus,2,active in the underbrush,Merlin
MRL-2026-0003,2026-01-11,Agnes Scott greenway pre-dawn extension,Great Horned Owl,Bubo virginianus,1,calling from the oak grove near the bridge,Merlin sound ID
MRL-2026-0004,2026-01-18,Piedmont Park with Carter,American Robin,Turdus migratorius,12,large winter flock on the lawn,Merlin
MRL-2026-0005,2026-01-25,Fernbank Forest walk with Ava in the carrier,Red-shouldered Hawk,Buteo lineatus,1,perched high in the pine,Merlin
MRL-2026-0006,2026-02-08,Decatur Square birding stroll,House Finch,Haemorhous mexicanus,4,at the feeder near the coffee shop,Merlin
MRL-2026-0007,2026-02-15,Emory Lullwater Preserve weekend hike,Yellow-rumped Warbler,Setophaga coronata,6,winter flock working the sweetgums,Merlin
MRL-2026-0008,2026-02-22,Decatur Cemetery weekend walk,Carolina Chickadee,Poecile carolinensis,5,mixed flock with titmice,Merlin
MRL-2026-0009,2026-03-01,Piedmont Park with Diane,Cedar Waxwing,Bombycilla cedrorum,15,flock in the hollies,Merlin
MRL-2026-0010,2026-03-08,Fernbank Museum grounds after Carter museum visit,Blue Jay,Cyanocitta cristata,3,noisy near the parking lot,Merlin
MRL-2026-0011,2026-03-15,Agnes Scott greenway pre-dawn extension,Barred Owl,Strix varia,1,duet with another owl east of trail,Merlin sound ID
MRL-2026-0012,2026-03-22,Decatur Square birding stroll,Ruby-crowned Kinglet,Corthylio calendula,2,active in the crape myrtles,Merlin
MRL-2026-0013,2026-04-05,Emory Lullwater Preserve weekend hike,Northern Parula,Setophaga americana,1,first-of-year migrant,Merlin sound ID
MRL-2026-0014,2026-04-12,Piedmont Park with Carter,Prothonotary Warbler,Protonotaria citrea,1,briefly at the pond edge,Merlin
MRL-2026-0015,2026-04-19,Decatur Cemetery weekend walk,Baltimore Oriole,Icterus galbula,2,spring migration wave,Merlin
MRL-2026-0016,2026-04-26,Sweetwater Creek State Park day trip with Diane and kids,Scarlet Tanager,Piranga olivacea,1,brilliant male,Merlin
MRL-2026-0017,2026-05-03,Agnes Scott greenway pre-dawn extension,Louisiana Waterthrush,Parkesia motacilla,1,calling near the creek,Merlin sound ID
MRL-2026-0018,2026-05-10,Fernbank Forest walk with Ava in the carrier,Wood Thrush,Hylocichla mustelina,1,singing from the understory,Merlin sound ID
MRL-2026-0019,2026-05-17,Piedmont Park with Diane,Painted Bunting,Passerina ciris,1,rare local sighting - great morning,Merlin
MRL-2026-0020,2026-05-24,Decatur Square birding stroll,Chimney Swift,Chaetura pelagica,20,summer aerial feeders,Merlin
MRL-2026-0021,2026-06-07,Decatur Cemetery weekend walk,Eastern Bluebird,Sialia sialis,4,two pairs at the nest boxes,Merlin
MRL-2026-0022,2026-06-14,Piedmont Park with Carter,Green Heron,Butorides virescens,1,at the pond,Merlin
MRL-2026-0023,2026-06-21,Emory Lullwater Preserve weekend hike,Yellow-billed Cuckoo,Coccyzus americanus,2,calling in the canopy,Merlin sound ID
MRL-2026-0024,2026-07-05,Family camping trip Tallulah Gorge,Pileated Woodpecker,Dryocopus pileatus,2,pair on a dead pine,Merlin
MRL-2026-0025,2026-07-12,Agnes Scott greenway pre-dawn extension,Common Yellowthroat,Geothlypis trichas,1,summer resident singing,Merlin sound ID
MRL-2026-0026,2026-08-02,Piedmont Park with Diane,Belted Kingfisher,Megaceryle alcyon,1,rattling call along the pond,Merlin
MRL-2026-0027,2026-08-16,Fernbank Forest walk with Carter,Great Crested Flycatcher,Myiarchus crinitus,1,calling from the high canopy,Merlin sound ID
MRL-2026-0028,2026-08-30,Decatur Cemetery weekend walk,Ruby-throated Hummingbird,Archilochus colubris,3,at the trumpet vine,Merlin
MRL-2026-0029,2026-09-06,Emory Lullwater Preserve weekend hike,Black-throated Blue Warbler,Setophaga caerulescens,2,fall migration wave,Merlin
MRL-2026-0030,2026-09-13,Piedmont Park with Diane,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,female at the feeder edge,Merlin
MRL-2026-0031,2026-09-20,Decatur Square birding stroll,Swainson's Thrush,Catharus ustulatus,1,silent migrant in the shrubs,Merlin
MRL-2026-0032,2026-09-27,Agnes Scott greenway pre-dawn extension,Nashville Warbler,Leiothlypis ruficapilla,2,late migration wave,Merlin
MRL-2026-0033,2026-10-04,Decatur Cemetery weekend walk before Goddard fall festival,White-throated Sparrow,Zonotrichia albicollis,3,first winter arrivals,Merlin sound ID
NOTE-EA-2020-a,2020-07,Nairobi Karura Forest during MPH fieldwork,Hartlaub's Turaco,Tauraco hartlaubi,1,life bird from the MPH field months - kept in the Merlin app as a reference,Merlin
NOTE-EA-2020-b,2020-08,Kakamega Forest during MPH fieldwork,African Grey Parrot,Psittacus erithacus,4,life bird from the MPH field months,Merlin
NOTE-EA-2020-c,2020-08,Nairobi National Park with the field team,Kori Bustard,Ardeotis kori,1,life bird from the MPH field months,Merlin
NOTE-EA-2020-d,2020-09,Nakuru Lake with the MPH cohort,Lesser Flamingo,Phoeniconaias minor,2400,estimated flock - the day that started the birding habit,Merlin
