Id,Name,Industry,AnnualRevenue,Phone,Website,BillingCity,BillingState,NumberOfEmployees
SF-LEG-0042,Marie Hollingsworth Estate [SF-LEG-0042] - trust id RMME-1968-TRUST-042,Foundation | SCHF;era-1968-1974;ruthie-circle;mitchell-trust-linked;rmme-1968-trust-042,0,+1-205-555-0901,https://hollingsworth-estate.legalfn.com,Birmingham,AL,1
SF-LEG-0073,Walter Pickens and Audrey Pickens Estate [SF-LEG-0073],Foundation | SCHF;era-1968-1974;ruthie-circle;voter-drive-1971;pickens-bessemer;audrey-pickens-surviving,0,+1-205-555-0932,,Bessemer,AL,1
SF-LEG-0108,First Bethel AME Church Board [SF-LEG-0108],Religious Organization | SCHF;era-1968-1974;ruthie-circle;board-member-1969-1974,0,+1-205-555-0967,https://firstbethelame-bham.org,Birmingham,AL,22
SF-LEG-0015,Hattie Coleman Estate [SF-LEG-0015],Foundation | SCHF;era-1955-1968;coleman-family,0,+1-205-555-0815,,Vestavia Hills,AL,1
SF-LEG-0029,Vernon Bradshaw [SF-LEG-0029],Individual | SCHF;era-1980-1990;late-modern-donor,0,+1-205-555-0829,,Mountain Brook,AL,1
SF-LEG-0051,Coleman & Sons Hardware [SF-LEG-0051],Retail | SCHF;era-1955-1968;coleman-family;corporate-sponsor,0,+1-205-555-0851,https://colemansons-hardware.com,Vestavia Hills,AL,14
SF-LEG-0064,Eunice Tatum-Greene [SF-LEG-0064],Individual | SCHF;era-1990-2005;late-donor,0,+1-205-555-0864,,Birmingham,AL,1
SF-LEG-0079,Hoover Civic Association [SF-LEG-0079],Civic Organization | SCHF;era-1985-2000;suburban-civic,0,+1-205-555-0879,https://hoover-civic.org,Hoover,AL,8
SF-LEG-0091,Marcellus Lawson Memorial Fund [SF-LEG-0091],Foundation | SCHF;era-1992-present;memorial-fund,0,+1-205-555-0891,,Birmingham,AL,2
SF-LEG-0103,Beulah Heights Improvement Club [SF-LEG-0103],Civic Organization | SCHF;era-1980-1995;neighborhood-improvement,0,+1-205-555-0903,,Birmingham,AL,6
SF-LEG-0115,Pickens-Riley Real Estate LLC [SF-LEG-0115],Real Estate | SCHF;era-2010-present;corporate-donor;pickens-namesake-only,0,+1-205-555-0915,https://pickens-riley-re.com,Bessemer,AL,12
SF-LEG-0119,Shelby Heritage Quarterly Subscription [SF-LEG-0119],Subscription | SCHF;era-2002-present;publication-subscriber,0,+1-205-555-0919,https://shelby-heritage-quarterly.org,Pelham,AL,1
001Ax0000000000002,Hueytown Iron Works,Foundation,1200000,+1-205-555-2935,,Alabaster,AL,110
001Ax0000000000003,Sloss Furnaces Preservation,Civic Organization,2400000,+1-205-555-5079,,Tuscaloosa,AL,110
001Ax0000000000004,Hamburg Insurance,Civic Organization,500000,+1-205-555-8511,,Bessemer,AL,60
001Ax0000000000005,Helena Lakeside Resort,Retail,2400000,+1-205-555-1133,,Hoover,AL,110
001Ax0000000000006,Ridgewood Educational Trust,Hospitality,0,+1-205-555-8749,,Tarrant,AL,1
001Ax0000000000007,Carbon Hill Real Estate,Finance,2400000,+1-205-555-5918,,Tarrant,AL,14
001Ax0000000000008,Cordova Family Trust,Media,1200000,+1-205-555-8471,,Trussville,AL,14
001Ax0000000000009,Boligee Real Estate,Manufacturing,1200000,+1-205-555-3447,,Bessemer,AL,8
001Ax0000000000010,Center Point Civic Trust,Civic Organization,9600000,+1-205-555-1594,,Birmingham,AL,8
001Ax0000000000011,Boligee Real Estate Holdings 4,Marketing,500000,+1-205-555-5745,,Center Point,AL,1
001Ax0000000000012,Brent Banking Group,Architecture,4800000,+1-205-555-5139,,Vestavia Hills,AL,4
001Ax0000000000013,Centreville Family Practice,Retail,2400000,+1-205-555-2964,,Pelham,AL,4
001Ax0000000000014,Robertsdale Logistics,Logistics,2400000,+1-205-555-6660,,Alabaster,AL,8
001Ax0000000000015,Helena Lakeside Resort Holdings 82,Construction,2400000,+1-205-555-4488,,Trussville,AL,4
001Ax0000000000016,Dora Insurance,Construction,9600000,+1-205-555-2873,,Vestavia Hills,AL,4
001Ax0000000000017,Citronelle Manufacturing,Logistics,2400000,+1-205-555-4312,,Vestavia Hills,AL,14
001Ax0000000000018,Sweet Water Heritage,Religious Organization,2400000,+1-205-555-7449,,Hoover,AL,60
001Ax0000000000019,Eufaula Heritage,Marketing,2400000,+1-205-555-9314,,Pelham,AL,4
001Ax0000000000020,Vernon Insurance,Hospitality,4800000,+1-205-555-3849,,Tarrant,AL,4
001Ax0000000000021,Wallace Logistics,Education,1200000,+1-205-555-8330,,Bessemer,AL,60
001Ax0000000000022,Akron Civic Society,Logistics,1200000,+1-205-555-8625,,Mountain Brook,AL,110
001Ax0000000000023,Dora Logistics,Logistics,1200000,+1-205-555-8685,,Vestavia Hills,AL,22
001Ax0000000000024,Demopolis Family Trust,Insurance,0,+1-205-555-9457,,Birmingham,AL,38
001Ax0000000000025,Dothan Hospitality,Retail,2400000,+1-205-555-3836,,Bessemer,AL,110
001Ax0000000000026,Dora Insurance Holdings 11,Retail,0,+1-205-555-8457,,Hoover,AL,1
001Ax0000000000027,Mobile Heritage Trust,Religious Organization,2400000,+1-205-555-2557,,Pelham,AL,1
001Ax0000000000028,Bermuda Educational,Education,0,+1-205-555-7919,,Hoover,AL,4
001Ax0000000000029,Carbon Hill Real Estate Group 43,Finance,1200000,+1-205-555-1832,,Bessemer,AL,110
001Ax0000000000030,Camden Civic Society,Finance,4800000,+1-205-555-9029,,Birmingham,AL,4
001Ax0000000000031,Frisco City Heritage,Architecture,2400000,+1-205-555-9314,,Trussville,AL,22
001Ax0000000000032,Akron Civic Society Trust 60,Manufacturing,9600000,+1-205-555-3870,,Mountain Brook,AL,14
001Ax0000000000033,Moundville Educational,Marketing,4800000,+1-205-555-3332,,Alabaster,AL,4
001Ax0000000000034,Phenix City Family Practice,Architecture,2400000,+1-205-555-9295,,Birmingham,AL,1
001Ax0000000000035,Montevallo Foundation,Foundation,0,+1-205-555-1818,,Pelham,AL,4
001Ax0000000000036,Crowley Investment Partners,Media,1200000,+1-205-555-3469,,Pelham,AL,22
001Ax0000000000037,Akron Civic Society Trust 21,Construction,1200000,+1-205-555-8375,,Bessemer,AL,38
001Ax0000000000038,Jasper Civic Society,Construction,9600000,+1-205-555-4766,,Tarrant,AL,60
001Ax0000000000039,Hueytown Insurance,Hospitality,1200000,+1-205-555-4387,,Bessemer,AL,1
001Ax0000000000040,Repton Banking Group,Hospitality,0,+1-205-555-6050,,Tuscaloosa,AL,8
001Ax0000000000041,Bermuda Educational Holdings 81,Media,2400000,+1-205-555-8634,,Mountain Brook,AL,110
001Ax0000000000042,Fairhope Educational Coalition,Insurance,500000,+1-205-555-6593,,Tarrant,AL,8
001Ax0000000000043,Brent Banking Group LLC 20,Foundation,9600000,+1-205-555-9794,,Trussville,AL,110
001Ax0000000000044,Hueytown Iron Works LLC 61,Media,0,+1-205-555-4615,,Birmingham,AL,110
001Ax0000000000045,Sumiton Holdings,Retail,0,+1-205-555-5311,,Mountain Brook,AL,8
001Ax0000000000046,Cottage Hill Education Coalition,Civic Organization,4800000,+1-205-555-5505,,Tuscaloosa,AL,38
001Ax0000000000047,Anniston Civic Society,Construction,0,+1-205-555-1188,,Mountain Brook,AL,110
001Ax0000000000048,Pine Hill Insurance,Hospitality,0,+1-205-555-2421,,Bessemer,AL,38
001Ax0000000000049,Dora Logistics Group 15,Real Estate,0,+1-205-555-6048,,Hoover,AL,60
001Ax0000000000050,Ridgewood Educational Trust LLC 93,Retail,500000,+1-205-555-5262,,Vestavia Hills,AL,8
001Ax0000000000051,Mobile Heritage Trust Trust 55,Legal,4800000,+1-205-555-2324,,Tarrant,AL,1
001Ax0000000000052,Awin Real Estate,Education,4800000,+1-205-555-6930,,Center Point,AL,14
001Ax0000000000053,Linden Real Estate,Foundation,9600000,+1-205-555-6554,,Alabaster,AL,8
001Ax0000000000054,Birmingham Civic Review,Retail,0,+1-205-555-4129,,Birmingham,AL,4
001Ax0000000000055,Cordova Family Trust Trust 92,Manufacturing,2400000,+1-205-555-4904,,Pelham,AL,60
001Ax0000000000056,Possum Bend Insurance,Manufacturing,4800000,+1-205-555-6887,,Tuscaloosa,AL,14
001Ax0000000000057,Pine Apple Foundation,Marketing,0,+1-205-555-3559,,Tuscaloosa,AL,22
001Ax0000000000058,Greensboro Insurance,Logistics,500000,+1-205-555-8951,,Pelham,AL,38
