file_key,project_id,name,thumbnail_url,last_modified,version,role,editor_type
fig-lk-001,proj-lantern-keeper,Lantern Keeper - Chamber 1 Sketches,https://s3-alpha.figma.com/thumbnails/fig-lk-001.png,2026-09-14T15:30:00-07:00,57706685927711,owner,figma
fig-lk-002,proj-lantern-keeper,Lantern Keeper - UI Mockups,https://s3-alpha.figma.com/thumbnails/fig-lk-002.png,2026-09-28T21:12:00-07:00,151386704476130,owner,figma
fig-lk-003,proj-lantern-keeper,Lantern Keeper - Chamber 2 Sketches,https://s3-alpha.figma.com/thumbnails/fig-lk-003.png,2026-10-05T19:44:00-07:00,15558173076235,owner,figma
fig-lk-0103,proj-personal,UI Mockups v3,https://s3-alpha.figma.com/thumbnails/fig-lk-0103.png,2024-10-01T13:46:00-07:00,274266093433057,owner,figma
fig-lk-0104,proj-personal,Concept Art v4,https://s3-alpha.figma.com/thumbnails/fig-lk-0104.png,2025-12-30T16:51:00-07:00,111394552525834,owner,figma
fig-lk-0105,proj-personal,Chapter Diagrams v5,https://s3-alpha.figma.com/thumbnails/fig-lk-0105.png,2025-08-07T15:49:00-07:00,223584116202351,owner,figma
fig-lk-0106,proj-personal,Character Poses v6,https://s3-alpha.figma.com/thumbnails/fig-lk-0106.png,2025-07-02T09:04:00-07:00,18284279663564,owner,figma
fig-lk-0107,proj-personal,Chapter Diagrams v7,https://s3-alpha.figma.com/thumbnails/fig-lk-0107.png,2025-07-21T17:33:00-07:00,277712662150439,owner,figma
fig-lk-0108,proj-personal,Character Poses v8,https://s3-alpha.figma.com/thumbnails/fig-lk-0108.png,2025-02-06T20:03:00-07:00,55743864940195,owner,figma
fig-lk-0109,proj-personal,Concept Art v9,https://s3-alpha.figma.com/thumbnails/fig-lk-0109.png,2026-10-02T18:44:00-07:00,147938307900863,owner,figma
fig-lk-0110,proj-personal,Menu Wireframes v10,https://s3-alpha.figma.com/thumbnails/fig-lk-0110.png,2025-12-26T13:00:00-07:00,229555007022355,owner,figma
fig-lk-0111,proj-personal,Concept Art v11,https://s3-alpha.figma.com/thumbnails/fig-lk-0111.png,2026-07-14T12:26:00-07:00,146401318785891,owner,figma
fig-lk-0112,proj-personal,Level Layouts v12,https://s3-alpha.figma.com/thumbnails/fig-lk-0112.png,2025-03-18T16:49:00-07:00,107899904177195,owner,figma
fig-lk-0113,proj-lantern-keeper,Chamber Sketches v13,https://s3-alpha.figma.com/thumbnails/fig-lk-0113.png,2025-09-14T12:34:00-07:00,207856800454767,owner,figma
fig-lk-0114,proj-lantern-keeper,Chamber Sketches v14,https://s3-alpha.figma.com/thumbnails/fig-lk-0114.png,2025-12-03T09:28:00-07:00,180070394832187,owner,figma
