id,meeting_id,recording_type,file_type,file_size,recording_start,recording_end,play_url,status
rec-8001112223,8001112223,shared_screen_with_speaker_view,MP4,471018273,2026-09-25T09:00:00Z,2026-09-25T09:00:00Z,https://zoom.us/rec/play/8001112223,completed
rec-8001112224,8001112224,shared_screen_with_speaker_view,MP4,145967604,2026-09-28T14:00:00Z,2026-09-28T14:00:00Z,https://zoom.us/rec/play/8001112224,completed
rec-8001112225,8001112225,shared_screen_with_speaker_view,MP4,117158435,2026-09-15T18:00:00Z,2026-09-15T18:00:00Z,https://zoom.us/rec/play/8001112225,completed
rec-ref-000,8001112226,shared_screen_with_speaker_view,M4A,434814578,2026-09-08T08:00:00Z,2026-01-26T17:30:00Z,https://zoom.us/rec/play/000,completed
rec-ref-001,8001112227,shared_screen_with_speaker_view,M4A,307353213,2026-07-02T15:00:00Z,2026-01-13T11:30:00Z,https://zoom.us/rec/play/001,completed
rec-ref-002,8001112228,shared_screen_with_speaker_view,M4A,86295575,2026-04-06T16:00:00Z,2026-08-28T08:30:00Z,https://zoom.us/rec/play/002,completed
rec-ref-003,8001112229,shared_screen_with_speaker_view,MP4,399573391,2026-07-25T14:00:00Z,2026-06-17T13:30:00Z,https://zoom.us/rec/play/003,completed
rec-ref-004,8001112230,shared_screen_with_speaker_view,MP4,429491220,2026-06-18T09:00:00Z,2026-02-06T12:30:00Z,https://zoom.us/rec/play/004,completed
rec-ref-005,8001112231,shared_screen_with_speaker_view,MP4,472331083,2026-03-01T13:00:00Z,2026-07-01T14:30:00Z,https://zoom.us/rec/play/005,completed
rec-ref-006,8001112232,shared_screen_with_speaker_view,M4A,357546507,2026-09-25T09:00:00Z,2026-02-15T10:30:00Z,https://zoom.us/rec/play/006,completed
rec-ref-007,8001112233,shared_screen_with_speaker_view,M4A,371384229,2026-01-01T15:00:00Z,2026-02-16T13:30:00Z,https://zoom.us/rec/play/007,completed
rec-ref-008,8001112234,shared_screen_with_speaker_view,MP4,107825816,2026-07-06T10:00:00Z,2026-01-21T14:30:00Z,https://zoom.us/rec/play/008,completed
rec-ref-009,8001112235,shared_screen_with_speaker_view,MP4,268997743,2026-01-19T09:00:00Z,2026-05-02T15:30:00Z,https://zoom.us/rec/play/009,completed
rec-ref-010,8001112236,shared_screen_with_speaker_view,M4A,55795921,2026-08-20T12:00:00Z,2026-04-02T15:30:00Z,https://zoom.us/rec/play/010,completed
