courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
courseId_1000,cw-1,Four Stroke Cycle Worksheet,description 0,PUBLISHED,0,workType 0,topicId_1000,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/0
courseId_1500,id_noise_500,title 500,description 500,active,0,workType 500,topicId_1500,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/500
courseId_1501,id_noise_501,title 501,description 501,active,0,workType 501,topicId_1501,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/501
courseId_1502,id_noise_502,title 502,description 502,active,0,workType 502,topicId_1502,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/502
courseId_1503,id_noise_503,title 503,description 503,active,0,workType 503,topicId_1503,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/503
courseId_1504,id_noise_504,title 504,description 504,active,0,workType 504,topicId_1504,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/504
courseId_1505,id_noise_505,title 505,description 505,active,0,workType 505,topicId_1505,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/505
courseId_1506,id_noise_506,title 506,description 506,active,0,workType 506,topicId_1506,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/506
courseId_1507,id_noise_507,title 507,description 507,active,0,workType 507,topicId_1507,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/507
courseId_1508,id_noise_508,title 508,description 508,active,0,workType 508,topicId_1508,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/508
courseId_1509,id_noise_509,title 509,description 509,active,0,workType 509,topicId_1509,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/509
courseId_1510,id_noise_510,title 510,description 510,active,0,workType 510,topicId_1510,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,https://example.com/510
