id,name,section,descriptionHeading,description,room,ownerId,courseState,creationTime,updateTime,enrollmentCode,alternateLink,guardiansEnabled,calendarId
crs-1,GearUp Detroit Engine Basics,Fall Cohort,descriptionHeading 0,description 0,room 0,ownerId_1000,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 0,https://example.com/0,false,calendarId_1000
id_noise_500,name 500,section 500,descriptionHeading 500,description 500,room 500,ownerId_1500,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 500,https://example.com/500,false,calendarId_1500
id_noise_501,name 501,section 501,descriptionHeading 501,description 501,room 501,ownerId_1501,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 501,https://example.com/501,false,calendarId_1501
id_noise_502,name 502,section 502,descriptionHeading 502,description 502,room 502,ownerId_1502,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 502,https://example.com/502,false,calendarId_1502
id_noise_503,name 503,section 503,descriptionHeading 503,description 503,room 503,ownerId_1503,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 503,https://example.com/503,false,calendarId_1503
id_noise_504,name 504,section 504,descriptionHeading 504,description 504,room 504,ownerId_1504,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 504,https://example.com/504,false,calendarId_1504
id_noise_505,name 505,section 505,descriptionHeading 505,description 505,room 505,ownerId_1505,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 505,https://example.com/505,false,calendarId_1505
id_noise_506,name 506,section 506,descriptionHeading 506,description 506,room 506,ownerId_1506,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 506,https://example.com/506,false,calendarId_1506
id_noise_507,name 507,section 507,descriptionHeading 507,description 507,room 507,ownerId_1507,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 507,https://example.com/507,false,calendarId_1507
id_noise_508,name 508,section 508,descriptionHeading 508,description 508,room 508,ownerId_1508,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 508,https://example.com/508,false,calendarId_1508
id_noise_509,name 509,section 509,descriptionHeading 509,description 509,room 509,ownerId_1509,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 509,https://example.com/509,false,calendarId_1509
id_noise_510,name 510,section 510,descriptionHeading 510,description 510,room 510,ownerId_1510,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,enrollmentCode 510,https://example.com/510,false,calendarId_1510
