tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z999986310,D,011,Delivered,UPS Ground,2024-11-16,2024-11-16,Delivered - REI Co-op gear,"Traverse City, MI",2024-11-16T15:40:00-05:00
1Z999506667,D,011,Delivered,UPS Ground,2024-11-20,2024-11-20,Delivered - Amazon package,"Traverse City, MI",2024-11-20T15:40:00-05:00
1Z999756869,D,011,Delivered,UPS Ground,2024-12-02,2024-12-02,Delivered - CE coursework mailer,"Traverse City, MI",2024-12-02T15:40:00-05:00
1Z999240652,D,011,Delivered,UPS Ground,2024-12-10,2024-12-10,Delivered - Return label - REI,"Traverse City, MI",2024-12-10T15:40:00-05:00
1Z999340637,D,011,Delivered,UPS Ground,2024-12-21,2024-12-21,Delivered - Gift to Sophie's kids,"Traverse City, MI",2024-12-21T15:40:00-05:00
1Z999776614,D,011,Delivered,UPS Ground,2024-12-21,2024-12-21,Delivered - REI Co-op gear,"Traverse City, MI",2024-12-21T15:40:00-05:00
1Z999512211,D,011,Delivered,UPS Ground,2024-12-27,2024-12-27,Delivered - Amazon package,"Traverse City, MI",2024-12-27T15:40:00-05:00
1Z999421353,D,011,Delivered,UPS Ground,2024-12-28,2024-12-28,Delivered - CE coursework mailer,"Traverse City, MI",2024-12-28T15:40:00-05:00
1Z999390487,D,011,Delivered,UPS Ground,2025-01-11,2025-01-11,Delivered - Return label - REI,"Traverse City, MI",2025-01-11T15:40:00-05:00
1Z999756741,D,011,Delivered,UPS Ground,2025-01-16,2025-01-16,Delivered - Gift to Sophie's kids,"Traverse City, MI",2025-01-16T15:40:00-05:00
1Z999643622,D,011,Delivered,UPS Ground,2025-01-21,2025-01-21,Delivered - REI Co-op gear,"Traverse City, MI",2025-01-21T15:40:00-05:00
1Z999557437,D,011,Delivered,UPS Ground,2025-02-06,2025-02-06,Delivered - Amazon package,"Traverse City, MI",2025-02-06T15:40:00-05:00
1Z999543014,D,011,Delivered,UPS Ground,2025-03-25,2025-03-25,Delivered - CE coursework mailer,"Traverse City, MI",2025-03-25T15:40:00-05:00
1Z999632901,D,011,Delivered,UPS Ground,2025-04-02,2025-04-02,Delivered - Return label - REI,"Traverse City, MI",2025-04-02T15:40:00-05:00
1Z999700379,D,011,Delivered,UPS Ground,2025-04-11,2025-04-11,Delivered - Gift to Sophie's kids,"Traverse City, MI",2025-04-11T15:40:00-05:00
1Z999270536,D,011,Delivered,UPS Ground,2025-04-19,2025-04-19,Delivered - REI Co-op gear,"Traverse City, MI",2025-04-19T15:40:00-05:00
1Z999284574,D,011,Delivered,UPS Ground,2025-05-13,2025-05-13,Delivered - Amazon package,"Traverse City, MI",2025-05-13T15:40:00-05:00
1Z999789938,D,011,Delivered,UPS Ground,2025-05-15,2025-05-15,Delivered - CE coursework mailer,"Traverse City, MI",2025-05-15T15:40:00-05:00
1Z999114865,D,011,Delivered,UPS Ground,2025-05-17,2025-05-17,Delivered - Return label - REI,"Traverse City, MI",2025-05-17T15:40:00-05:00
1Z999557454,D,011,Delivered,UPS Ground,2025-05-18,2025-05-18,Delivered - Gift to Sophie's kids,"Traverse City, MI",2025-05-18T15:40:00-05:00
1Z999644719,D,011,Delivered,UPS Ground,2025-05-23,2025-05-23,Delivered - REI Co-op gear,"Traverse City, MI",2025-05-23T15:40:00-05:00
1Z999978129,D,011,Delivered,UPS Ground,2025-05-24,2025-05-24,Delivered - Amazon package,"Traverse City, MI",2025-05-24T15:40:00-05:00
1Z999786788,D,011,Delivered,UPS Ground,2025-06-11,2025-06-11,Delivered - CE coursework mailer,"Traverse City, MI",2025-06-11T15:40:00-05:00
1Z999606181,D,011,Delivered,UPS Ground,2025-06-11,2025-06-11,Delivered - Return label - REI,"Traverse City, MI",2025-06-11T15:40:00-05:00
1Z999472555,D,011,Delivered,UPS Ground,2025-06-12,2025-06-12,Delivered - Gift to Sophie's kids,"Traverse City, MI",2025-06-12T15:40:00-05:00
1Z999213230,D,011,Delivered,UPS Ground,2025-06-19,2025-06-19,Delivered - REI Co-op gear,"Traverse City, MI",2025-06-19T15:40:00-05:00
1Z999475444,D,011,Delivered,UPS Ground,2025-07-02,2025-07-02,Delivered - Amazon package,"Traverse City, MI",2025-07-02T15:40:00-05:00
1Z999233391,D,011,Delivered,UPS Ground,2025-07-20,2025-07-20,Delivered - CE coursework mailer,"Traverse City, MI",2025-07-20T15:40:00-05:00
