id,meeting_id,recording_type,file_type,file_size,recording_start,recording_end,play_url,status
zr_0000,zm_0049,shared_screen_with_speaker_view,MP4,43089575,2026-07-09T21:15:41Z,2026-05-27T12:01:58Z,,completed
zr_0001,zm_0010,shared_screen_with_speaker_view,MP4,4090018,2026-09-14T18:10:20Z,2026-01-30T01:08:06Z,,completed
zr_0002,zm_0103,shared_screen_with_speaker_view,MP4,26472694,2026-06-07T20:15:57Z,2026-03-24T07:33:23Z,,completed
zr_0003,zm_0040,audio_only,MP4,47363112,2026-10-03T14:35:13Z,2026-05-24T23:41:27Z,,completed
zr_0004,zm_0117,shared_screen_with_speaker_view,MP4,16839583,2026-02-28T04:16:15Z,2026-03-05T20:33:05Z,,completed
zr_0005,zm_0081,shared_screen_with_speaker_view,MP4,28087639,2026-10-03T14:14:46Z,2026-07-13T04:58:32Z,,completed
zr_0006,zm_0065,audio_only,MP4,17341350,2026-01-22T09:59:48Z,2026-07-20T12:31:13Z,,completed
zr_0007,zm_0064,shared_screen_with_speaker_view,MP4,19176827,2026-03-04T11:44:22Z,2026-07-02T02:55:39Z,,completed
zr_0008,zm_0006,audio_only,MP4,17575881,2026-07-21T12:46:33Z,2026-01-04T02:25:50Z,,completed
zr_0009,zm_0083,audio_only,MP4,8781572,2026-09-05T00:06:39Z,2026-07-03T07:49:23Z,,completed
zr_0010,zm_0119,audio_only,MP4,17151750,2026-08-18T04:47:58Z,2026-08-04T11:17:59Z,,completed
zr_0011,zm_0093,audio_only,MP4,34022394,2026-10-01T23:38:09Z,2026-01-13T21:25:03Z,,completed
zr_0012,zm_0091,audio_only,MP4,7931590,2026-04-26T20:57:28Z,2026-09-28T20:22:02Z,,completed
zr_0013,zm_0104,audio_only,MP4,16913010,2026-06-15T08:05:03Z,2026-10-14T12:54:20Z,,completed
zr_0014,zm_0002,shared_screen_with_speaker_view,MP4,9663392,2026-10-08T11:44:03Z,2026-02-04T17:44:58Z,,completed
zr_0015,zm_0110,audio_only,MP4,22568049,2026-05-03T05:50:47Z,2026-09-14T15:41:15Z,,completed
zr_0016,zm_0116,shared_screen_with_speaker_view,MP4,38839596,2026-04-09T18:14:55Z,2026-10-07T11:11:57Z,,completed
