# Monthly budget for Joseph William Fields
# Take home about $4,100 after taxes, child support, and benefits
# Child support of $850 is withheld before paycheck, not listed here
# Every dollar allocated, balance checked twice a week
Category	Monthly	Type	Notes
Rent	1350.00	Fixed	Mohawk Street Properties
Utilities	230.00	Variable	Gas and electric
Groceries	380.00	Variable	Grocery stores
Gas	180.00	Variable	Commute and jobs
Car insurance	145.00	Fixed	Auto insurance policy
Car payment	275.00	Fixed	Buckeye Federal auto loan
Health insurance	160.00	Fixed	Payroll deduction, employer plan
Streaming	38.00	Fixed	Video and music services
Boys weekends	200.00	Variable	Food, outings, supplies
Tyler basketball fund	150.00	Fixed	Sacred, do not cut
Church tithe	80.00	Fixed	German Village Community Church
Fishing and social	60.00	Variable	Alum Creek, ballgames, beer with Scott
Personal and misc	100.00	Variable	Clothes, haircut, odds and ends
Savings	300.00	Fixed	Condo down payment fund
Unallocated buffer	452.00	Buffer	Cushion and overflow
TOTAL OUTFLOW	4100.00		Equals take home
