Vendor	Category	Contact	Phone	Email	Notes	Last Used
Bayside Marina Charters	Yacht charter	Captain Lou Briganti	(305) 555-0710	bookings@baysidemarina.com	62 ft motor yacht, crew of two, reliable for VIP day trips	Oct 2026
Blue Horizon Yachts	Yacht charter	Renee Tavares	(305) 555-0722	renee@bluehorizonyachts.com	Larger groups, sunset sails, books fast in season	Jan 2026
Bayfront Beach Club	Restaurant	Host desk, ask for Marco	(305) 555-0731	reservations@bayfrontbeachclub.com	Waterfront, holds tables for the desk with notice	Oct 2026
Fuego Parrilla	Restaurant	Reservations	(305) 555-0742	concierge@fuegoparrilla.com	Open fire chef counter, six seats max, allergy aware	Oct 2026
Habana Vieja	Restaurant	Front of house	(305) 555-0753		Little Havana classic, good for groups, no holds	Dec 2025
Lincoln Road Style	Personal shopping	Daniela Cruz	(305) 555-0764	daniela@lincolnroadstyle.com	Personal stylist, fast on short notice, knows sizes	Oct 2026
Petals South Beach	Florist	Order desk	(305) 555-0775	orders@petalssouthbeach.com	Suite arrangements and welcome amenities	Jan 2026
Hector Diaz Livery	Private car	Hector Diaz	(305) 555-0786		Black luxury SUV, airport and night service, discreet	Oct 2026
Palmetto Grand Spa	In house spa	Spa concierge	(305) 555-0408		Couples treatments, rooms 4 and 5 quietest	Oct 2026
Bay Breeze Helicopters	Air tours	Charter line	(305) 555-0797	fly@baybreezeheli.com	Scenic tours and Keys transfers, weather dependent	Nov 2025
Liberty Social	Nightlife	VIP host Andre	(305) 555-0808		Bottle service, table holds under guest name	Oct 2026
Coral Gables Florals	Florist	Marisol	(305) 555-0166		Backup florist, also Elizabeth's personal orchid shop	Feb 2026
