iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
BOS,Boston Logan International,Boston,BOS,United States,US,42.3656,-71.0096,-300
JFK,John F. Kennedy International,New York,NYC,United States,US,40.6413,-73.7781,-300
LAX,Los Angeles International,Los Angeles,LAX,United States,US,33.9416,-118.4085,-480
SFO,San Francisco International,San Francisco,SFO,United States,US,37.6213,-122.3790,-480
ORD,Chicago O'Hare International,Chicago,CHI,United States,US,41.9742,-87.9073,-360
ATL,Hartsfield-Jackson Atlanta International,Atlanta,ATL,United States,US,33.6407,-84.4277,-300
DEN,Denver International,Denver,DEN,United States,US,39.8561,-104.6737,-420
SEA,Seattle-Tacoma International,Seattle,SEA,United States,US,47.4502,-122.3088,-480
LHR,London Heathrow,London,LON,United Kingdom,GB,51.4700,-0.4543,0
CDG,Paris Charles de Gaulle,Paris,PAR,France,FR,49.0097,2.5479,60
HND,Tokyo Haneda,Tokyo,TYO,Japan,JP,35.5494,139.7798,540
AMS,Amsterdam Schiphol,Amsterdam,AMS,Netherlands,NL,52.3105,4.7683,60
EWR,Newark Liberty International,Newark,NYC,United States,US,40.6895,-74.1745,-300
LGA,LaGuardia,New York,NYC,United States,US,40.7769,-73.8740,-300
MIA,Miami International,Miami,MIA,United States,US,25.7959,-80.2870,-300
MCO,Orlando International,Orlando,ORL,United States,US,28.4312,-81.3081,-300
DFW,Dallas Fort Worth International,Dallas,DFW,United States,US,32.8998,-97.0403,-360
IAH,George Bush Intercontinental,Houston,HOU,United States,US,29.9902,-95.3368,-360
PHX,Phoenix Sky Harbor International,Phoenix,PHX,United States,US,33.4342,-112.0116,-420
LAS,Harry Reid International,Las Vegas,LAS,United States,US,36.0840,-115.1537,-480
MSP,Minneapolis-Saint Paul International,Minneapolis,MSP,United States,US,44.8848,-93.2223,-360
DTW,Detroit Metropolitan,Detroit,DTT,United States,US,42.2162,-83.3554,-300
PHL,Philadelphia International,Philadelphia,PHL,United States,US,39.8744,-75.2424,-300
CLT,Charlotte Douglas International,Charlotte,CLT,United States,US,35.2140,-80.9431,-300
DCA,Ronald Reagan Washington National,Washington,WAS,United States,US,38.8512,-77.0402,-300
IAD,Washington Dulles International,Washington,WAS,United States,US,38.9531,-77.4565,-300
BWI,Baltimore Washington International,Baltimore,BWI,United States,US,39.1754,-76.6683,-300
SAN,San Diego International,San Diego,SAN,United States,US,32.7338,-117.1933,-480
PDX,Portland International,Portland,PDX,United States,US,45.5898,-122.5951,-480
SLC,Salt Lake City International,Salt Lake City,SLC,United States,US,40.7899,-111.9791,-420
TPA,Tampa International,Tampa,TPA,United States,US,27.9755,-82.5332,-300
HNL,Daniel K. Inouye International,Honolulu,HNL,United States,US,21.3187,-157.9224,-600
AUS,Austin-Bergstrom International,Austin,AUS,United States,US,30.1975,-97.6664,-360
BNA,Nashville International,Nashville,BNA,United States,US,36.1263,-86.6774,-360
MSY,Louis Armstrong New Orleans International,New Orleans,MSY,United States,US,29.9934,-90.2580,-360
RDU,Raleigh-Durham International,Raleigh,RDU,United States,US,35.8801,-78.7880,-300
SMF,Sacramento International,Sacramento,SMF,United States,US,38.6954,-121.5908,-480
PVD,Rhode Island T. F. Green International,Providence,PVD,United States,US,41.7326,-71.4204,-300
BDL,Bradley International,Hartford,HFD,United States,US,41.9389,-72.6832,-300
MHT,Manchester-Boston Regional,Manchester,MHT,United States,US,42.9326,-71.4357,-300
BUF,Buffalo Niagara International,Buffalo,BUF,United States,US,42.9405,-78.7322,-300
ALB,Albany International,Albany,ALB,United States,US,42.7483,-73.8017,-300
YYZ,Toronto Pearson International,Toronto,YTO,Canada,CA,43.6777,-79.6248,-300
YVR,Vancouver International,Vancouver,YVR,Canada,CA,49.1967,-123.1815,-480
YUL,Montreal-Trudeau International,Montreal,YMQ,Canada,CA,45.4657,-73.7455,-300
YYC,Calgary International,Calgary,YYC,Canada,CA,51.1315,-114.0106,-420
MEX,Mexico City International,Mexico City,MEX,Mexico,MX,19.4363,-99.0721,-360
CUN,Cancun International,Cancun,CUN,Mexico,MX,21.0365,-86.8771,-300
GRU,Sao Paulo Guarulhos International,Sao Paulo,SAO,Brazil,BR,-23.4356,-46.4731,-180
GIG,Rio de Janeiro Galeao International,Rio de Janeiro,RIO,Brazil,BR,-22.8090,-43.2506,-180
EZE,Buenos Aires Ministro Pistarini,Buenos Aires,BUE,Argentina,AR,-34.8222,-58.5358,-180
BOG,El Dorado International,Bogota,BOG,Colombia,CO,4.7016,-74.1469,-300
LIM,Jorge Chavez International,Lima,LIM,Peru,PE,-12.0219,-77.1143,-300
SCL,Santiago International,Santiago,SCL,Chile,CL,-33.3930,-70.7858,-180
FRA,Frankfurt Airport,Frankfurt,FRA,Germany,DE,50.0379,8.5622,60
MUC,Munich Airport,Munich,MUC,Germany,DE,48.3538,11.7861,60
TXL,Berlin Brandenburg,Berlin,BER,Germany,DE,52.3667,13.5033,60
MAD,Adolfo Suarez Madrid-Barajas,Madrid,MAD,Spain,ES,40.4936,-3.5668,60
BCN,Barcelona-El Prat,Barcelona,BCN,Spain,ES,41.2974,2.0833,60
FCO,Rome Fiumicino,Rome,ROM,Italy,IT,41.8003,12.2389,60
MXP,Milan Malpensa,Milan,MIL,Italy,IT,45.6306,8.7281,60
ZRH,Zurich Airport,Zurich,ZRH,Switzerland,CH,47.4647,8.5492,60
VIE,Vienna International,Vienna,VIE,Austria,AT,48.1103,16.5697,60
BRU,Brussels Airport,Brussels,BRU,Belgium,BE,50.9014,4.4844,60
CPH,Copenhagen Airport,Copenhagen,CPH,Denmark,DK,55.6180,12.6508,60
ARN,Stockholm Arlanda,Stockholm,STO,Sweden,SE,59.6519,17.9186,60
OSL,Oslo Gardermoen,Oslo,OSL,Norway,NO,60.1976,11.1004,60
HEL,Helsinki-Vantaa,Helsinki,HEL,Finland,FI,60.3172,24.9633,120
DUB,Dublin Airport,Dublin,DUB,Ireland,IE,53.4213,-6.2701,0
LIS,Lisbon Portela,Lisbon,LIS,Portugal,PT,38.7742,-9.1342,0
ATH,Athens International,Athens,ATH,Greece,GR,37.9364,23.9445,120
WAW,Warsaw Chopin,Warsaw,WAW,Poland,PL,52.1657,20.9671,60
PRG,Prague Vaclav Havel,Prague,PRG,Czech Republic,CZ,50.1008,14.2600,60
IST,Istanbul Airport,Istanbul,IST,Turkey,TR,41.2753,28.7519,180
SVO,Moscow Sheremetyevo,Moscow,MOW,Russia,RU,55.9726,37.4146,180
DXB,Dubai International,Dubai,DXB,United Arab Emirates,AE,25.2532,55.3657,240
