iata_code,icao_code,business_name,common_name,country_code
DL,DAL,"Delta Air Lines, Inc.",Delta,US
AA,AAL,"American Airlines, Inc.",American,US
UA,UAL,"United Airlines, Inc.",United,US
B6,JBU,JetBlue Airways,JetBlue,US
AS,ASA,"Alaska Airlines, Inc.",Alaska,US
LH,DLH,Deutsche Lufthansa AG,Lufthansa,DE
BA,BAW,British Airways Plc,British Airways,GB
AF,AFR,Societe Air France,Air France,FR
WN,SWA,Southwest Airlines Co.,Southwest,US
NK,NKS,Spirit Airlines,Spirit,US
F9,FFT,Frontier Airlines,Frontier,US
HA,HAL,Hawaiian Airlines,Hawaiian,US
G4,AAY,Allegiant Air,Allegiant,US
AC,ACA,Air Canada,Air Canada,CA
WS,WJA,WestJet,WestJet,CA
AM,AMX,Aeromexico,Aeromexico,MX
AV,AVA,Avianca,Avianca,CO
LA,LAN,LATAM Airlines,LATAM,CL
JJ,TAM,LATAM Brasil,LATAM Brasil,BR
AR,ARG,Aerolineas Argentinas,Aerolineas,AR
AZ,ITY,ITA Airways,ITA,IT
IB,IBE,Iberia,Iberia,ES
UX,AEA,Air Europa,Air Europa,ES
TP,TAP,TAP Air Portugal,TAP,PT
KL,KLM,KLM Royal Dutch Airlines,KLM,NL
LX,SWR,Swiss International Air Lines,Swiss,CH
OS,AUA,Austrian Airlines,Austrian,AT
SN,BEL,Brussels Airlines,Brussels,BE
SK,SAS,Scandinavian Airlines,SAS,SE
AY,FIN,Finnair,Finnair,FI
EI,EIN,Aer Lingus,Aer Lingus,IE
FR,RYR,Ryanair,Ryanair,IE
U2,EZY,easyJet,easyJet,GB
VS,VIR,Virgin Atlantic,Virgin Atlantic,GB
TK,THY,Turkish Airlines,Turkish,TR
SU,AFL,Aeroflot,Aeroflot,RU
EK,UAE,Emirates,Emirates,AE
EY,ETD,Etihad Airways,Etihad,AE
QR,QTR,Qatar Airways,Qatar,QA
SV,SVA,Saudia,Saudia,SA
MS,MSR,EgyptAir,EgyptAir,EG
ET,ETH,Ethiopian Airlines,Ethiopian,ET
SA,SAA,South African Airways,South African,ZA
KQ,KQA,Kenya Airways,Kenya Airways,KE
AI,AIC,Air India,Air India,IN
6E,IGO,IndiGo,IndiGo,IN
SQ,SIA,Singapore Airlines,Singapore,SG
MH,MAS,Malaysia Airlines,Malaysia,MY
TG,THA,Thai Airways International,Thai,TH
CX,CPA,Cathay Pacific,Cathay Pacific,HK
CA,CCA,Air China,Air China,CN
MU,CES,China Eastern Airlines,China Eastern,CN
CZ,CSN,China Southern Airlines,China Southern,CN
KE,KAL,Korean Air,Korean Air,KR
OZ,AAR,Asiana Airlines,Asiana,KR
NH,ANA,All Nippon Airways,ANA,JP
JL,JAL,Japan Airlines,JAL,JP
QF,QFA,Qantas Airways,Qantas,AU
VA,VOZ,Virgin Australia,Virgin Australia,AU
NZ,ANZ,Air New Zealand,Air New Zealand,NZ
WK,EDW,Edelweiss Air,Edelweiss,CH
EW,EWG,Eurowings,Eurowings,DE
VY,VLG,Vueling,Vueling,ES
W6,WZZ,Wizz Air,Wizz Air,HU
DY,NAX,Norwegian Air Shuttle,Norwegian,NO
FI,ICE,Icelandair,Icelandair,IS
A3,AEE,Aegean Airlines,Aegean,GR
LO,LOT,LOT Polish Airlines,LOT,PL
OK,CSA,Czech Airlines,Czech Airlines,CZ
RO,ROT,Tarom,Tarom,RO
PS,AUI,Ukraine International,Ukraine International,UA
JQ,JST,Jetstar Airways,Jetstar,AU
FD,AIQ,Thai AirAsia,Thai AirAsia,TH
AK,AXM,AirAsia,AirAsia,MY
5J,CEB,Cebu Pacific,Cebu Pacific,PH
PR,PAL,Philippine Airlines,Philippine,PH
GA,GIA,Garuda Indonesia,Garuda,ID
VN,HVN,Vietnam Airlines,Vietnam Airlines,VN
BR,EVA,EVA Air,EVA Air,TW
CI,CAL,China Airlines,China Airlines,TW
WY,OMA,Oman Air,Oman Air,OM
GF,GFA,Gulf Air,Gulf Air,BH
KU,KAC,Kuwait Airways,Kuwait Airways,KW
RJ,RJA,Royal Jordanian,Royal Jordanian,JO
ME,MEA,Middle East Airlines,MEA,LB
AT,RAM,Royal Air Maroc,Royal Air Maroc,MA
TU,TAR,Tunisair,Tunisair,TN
DT,DTA,TAAG Angola Airlines,TAAG,AO
WB,RWD,RwandAir,RwandAir,RW
PW,PGT,Pegasus Airlines,Pegasus,TR
LY,ELY,El Al Israel Airlines,El Al,IL
HU,CHH,Hainan Airlines,Hainan,CN
3U,CSC,Sichuan Airlines,Sichuan,CN
MF,CXA,Xiamen Airlines,Xiamen,CN
SC,CDG,Shandong Airlines,Shandong,CN
9W,JAI,Jet Airways,Jet Airways,IN
UK,VTI,Vistara,Vistara,IN
SG,SEJ,SpiceJet,SpiceJet,IN
BG,BBC,Biman Bangladesh,Biman,BD
UL,ALK,SriLankan Airlines,SriLankan,LK
PK,PIA,Pakistan International,PIA,PK
GS,GCR,Tianjin Airlines,Tianjin,CN
ZH,CSZ,Shenzhen Airlines,Shenzhen,CN
OU,CTN,Croatia Airlines,Croatia,HR
JP,ADR,Adria Airways,Adria,SI
BT,BTI,airBaltic,airBaltic,LV
KM,AMC,Air Malta,Air Malta,MT
TS,TSC,Air Transat,Air Transat,CA
