number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
1,windbridge-partners/mrna4157-analysis,feat/mice-imputation,main,true,true,false,approved,149,79,4,success
2,windbridge-partners/mrna4157-analysis,feat/km-confidence-intervals,main,false,true,false,pending,62,0,3,success
3,windbridge-partners/nejm-manuscript,docs/supplementary-methods,main,true,true,false,approved,209,17,9,success
4,windbridge-partners/dataviz-pipeline,feat/svg-export,main,true,true,false,approved,110,9,2,success
5,windbridge-partners/dataviz-pipeline,fix/theme-font-size,main,false,true,false,pending,96,78,7,running
6,brianhenderson/ph206-materials,feat/lab-report-template,main,true,true,false,approved,152,68,4,success
7,brianhenderson/report-generator,feature/530f,main,true,true,false,approved,108,154,2,clean
8,windbridge-partners/clinical-reports,feature/1eb1,main,true,true,false,approved,229,111,2,clean
9,brianhenderson/viz-components,feature/0c24,main,false,true,false,approved,156,124,13,clean
10,windbridge-partners/clinical-reports,feature/ac75,main,true,true,false,approved,287,125,15,clean
11,brianhenderson/ivf-data-tracker,feature/b371,main,true,true,false,approved,308,17,1,clean
12,brianhenderson/report-generator,feature/9617,main,true,true,false,approved,27,177,9,clean
13,windbridge-partners/sample-tracker,feature/f0e6,main,true,true,false,approved,166,151,10,clean
14,windbridge-partners/grant-templates,feature/8b51,main,false,true,false,approved,180,86,2,clean
15,windbridge-partners/grant-templates,feature/2f21,main,true,true,false,approved,131,62,12,clean
16,windbridge-partners/nejm-manuscript,feature/22c9,main,true,true,false,approved,437,163,8,clean
17,brianhenderson/lab-inventory,feature/94db,main,false,true,false,approved,308,45,9,clean
18,brianhenderson/survival-models,feature/a80a,main,true,true,false,approved,218,130,15,clean
19,brianhenderson/stats-toolkit,feature/1ec9,main,false,true,false,approved,402,57,13,clean
20,brianhenderson/viz-components,feature/eed8,main,true,true,false,approved,348,113,9,clean
21,windbridge-partners/clinical-reports,feature/475e,main,true,true,false,approved,318,147,1,clean
22,windbridge-partners/ml-baselines,feature/07b1,main,false,true,false,approved,434,116,1,clean
23,brianhenderson/viz-components,feature/3079,main,false,true,false,approved,18,61,1,clean
24,brianhenderson/manuscript-tools,feature/62d7,main,false,true,false,approved,118,197,11,clean
25,windbridge-partners/clinical-reports,feature/7230,main,false,true,false,approved,261,170,15,clean
26,windbridge-partners/data-cleaning,feature/7c04,main,false,true,false,approved,264,75,13,clean
27,windbridge-partners/back-pain-analysis,feature/ab60,main,true,true,false,approved,443,11,3,clean
28,windbridge-partners/data-cleaning,feature/b94c,main,false,true,false,approved,285,81,15,clean
29,brianhenderson/survival-models,feature/a28a,main,true,true,false,approved,407,78,10,clean
30,windbridge-partners/power-calc,feature/9297,main,false,true,false,approved,407,2,11,clean
31,windbridge-partners/infra-terraform,feature/6742,main,false,true,false,approved,458,176,1,clean
32,windbridge-partners/nejm-manuscript,feature/8b3a,main,true,true,false,approved,262,2,5,clean
33,brianhenderson/report-generator,feature/e0e0,main,true,true,false,approved,265,66,5,clean
34,windbridge-partners/power-calc,feature/34c4,main,false,true,false,approved,93,136,13,clean
35,brianhenderson/viz-components,feature/d74a,main,true,true,false,approved,296,153,7,clean
36,windbridge-partners/ml-baselines,feature/9f99,main,false,true,false,approved,103,168,19,clean
37,windbridge-partners/qc-pipeline,feature/d5ef,main,false,true,false,approved,460,75,8,clean
38,brianhenderson/protocol-docs,feature/4488,main,false,true,false,approved,484,35,19,clean
39,windbridge-partners/grant-templates,feature/c462,main,true,true,false,approved,349,117,10,clean
40,windbridge-partners/qc-pipeline,feature/ea1e,main,false,true,false,approved,143,101,16,clean
41,brianhenderson/lab-inventory,feature/1e9e,main,false,true,false,approved,125,155,19,clean
42,brianhenderson/ivf-data-tracker,feature/50f6,main,false,true,false,approved,316,163,7,clean
43,windbridge-partners/dataviz-pipeline,feature/7ba5,main,true,true,false,approved,235,49,15,clean
44,windbridge-partners/biostat-notebooks,feature/b500,main,true,true,false,approved,357,33,4,clean
45,brianhenderson/protocol-docs,feature/ee0a,main,true,true,false,approved,69,132,18,clean
46,windbridge-partners/dataviz-pipeline,feature/97f3,main,false,true,false,approved,279,18,2,clean
47,brianhenderson/etl-jobs,feature/4c65,main,true,true,false,approved,53,151,12,clean
48,brianhenderson/stats-toolkit,feature/a45d,main,false,true,false,approved,113,158,7,clean
49,windbridge-partners/clinical-reports,feature/6c90,main,true,true,false,approved,201,60,13,clean
50,windbridge-partners/dataviz-pipeline,feature/37de,main,true,true,false,approved,462,69,2,clean
51,windbridge-partners/infra-terraform,feature/19c4,main,true,true,false,approved,30,171,19,clean
52,brianhenderson/viz-components,feature/4c33,main,false,true,false,approved,462,19,15,clean
53,windbridge-partners/dashboard-api,feature/7451,main,false,true,false,approved,347,185,14,clean
54,windbridge-partners/grant-templates,feature/db6f,main,false,true,false,approved,360,62,14,clean
55,windbridge-partners/analysis-utils,feature/82bb,main,false,true,false,approved,10,18,9,clean
56,brianhenderson/etl-jobs,feature/cf8b,main,true,true,false,approved,67,46,15,clean
57,brianhenderson/manuscript-tools,feature/bfed,main,false,true,false,approved,270,132,1,clean
58,brianhenderson/ph206-materials,feature/741e,main,false,true,false,approved,239,136,5,clean
59,windbridge-partners/analysis-utils,feature/db44,main,false,true,false,approved,340,66,11,clean
60,windbridge-partners/infra-terraform,feature/4292,main,true,true,false,approved,110,21,13,clean
61,brianhenderson/ivf-data-tracker,feature/fa91,main,true,true,false,approved,343,175,10,clean
62,windbridge-partners/ml-baselines,feature/4e8d,main,true,true,false,approved,250,174,13,clean
63,windbridge-partners/ml-baselines,feature/5648,main,false,true,false,approved,157,125,5,clean
64,brianhenderson/lab-inventory,feature/050f,main,true,true,false,approved,118,90,8,clean
65,windbridge-partners/back-pain-analysis,feature/fc06,main,false,true,false,approved,392,145,5,clean
66,windbridge-partners/back-pain-analysis,feature/e6ab,main,true,true,false,approved,234,54,5,clean
67,brianhenderson/viz-components,feature/075f,main,false,true,false,approved,407,181,17,clean
68,windbridge-partners/biostat-notebooks,feature/05a1,main,false,true,false,approved,231,56,6,clean
69,windbridge-partners/dashboard-api,feature/cfa8,main,true,true,false,approved,153,16,12,clean
