id,name,full_name,owner,private,description,default_branch,language,stars,forks,open_issues,created_at,updated_at
5000001,ivf-data-tracker,brianhenderson/ivf-data-tracker,brianhenderson,true,"Personal tracker for IVF cycle data — monitoring hormone levels, follicle counts, and protocol logs",main,Python,0,0,2,2024-02-15T14:00:00Z,2025-12-15T00:00:00Z
5000002,nejm-manuscript,windbridge-partners/nejm-manuscript,windbridge-partners,true,Analysis scripts and manuscript materials for NEJM submission on mRNA-4157 trial,main,R,0,1,4,2025-03-01T14:00:00Z,2025-12-15T00:00:00Z
5000003,mrna4157-analysis,windbridge-partners/mrna4157-analysis,windbridge-partners,true,Statistical analysis pipeline for Windbridge Partners mRNA-4157 clinical trial data,main,R,0,2,3,2024-12-10T14:00:00Z,2025-12-15T00:00:00Z
5000004,ph206-materials,brianhenderson/ph206-materials,brianhenderson,false,Course materials and datasets for PH 206 Introduction to Biostatistics for Public Health at Amberfield Institute,main,R,34,12,1,2025-02-20T14:00:00Z,2025-12-15T00:00:00Z
5000005,dataviz-pipeline,windbridge-partners/dataviz-pipeline,windbridge-partners,false,Reusable data visualization pipeline for clinical and epidemiological datasets,main,Python,18,5,2,2025-01-05T14:00:00Z,2025-12-15T00:00:00Z
5000006,back-pain-analysis,windbridge-partners/back-pain-analysis,windbridge-partners,true,Exploratory analysis of chronic low back pain outcomes from Windbridge observational study,main,R,0,0,1,2024-11-12T14:00:00Z,2025-12-15T00:00:00Z
8000,analysis-utils,windbridge-partners/analysis-utils,windbridge-partners,true,"Internal analysis-utils repository.",main,Shell,41,4,10,2026-03-14T00:00:00Z,2026-02-21T00:00:00Z
8001,stats-toolkit,brianhenderson/stats-toolkit,brianhenderson,true,"Internal stats-toolkit repository.",main,Julia,0,6,13,2026-04-18T00:00:00Z,2026-03-01T00:00:00Z
8002,viz-components,brianhenderson/viz-components,brianhenderson,true,"Internal viz-components repository.",main,Shell,35,0,3,2026-06-17T00:00:00Z,2026-07-22T00:00:00Z
8003,etl-jobs,brianhenderson/etl-jobs,brianhenderson,true,"Internal etl-jobs repository.",main,Python,23,5,13,2026-09-12T00:00:00Z,2026-05-08T00:00:00Z
8004,grant-templates,windbridge-partners/grant-templates,windbridge-partners,true,"Internal grant-templates repository.",main,Shell,1,6,14,2026-07-27T00:00:00Z,2026-06-18T00:00:00Z
8005,clinical-reports,windbridge-partners/clinical-reports,windbridge-partners,true,"Internal clinical-reports repository.",main,R,24,5,11,2026-02-15T00:00:00Z,2026-09-26T00:00:00Z
8006,biostat-notebooks,windbridge-partners/biostat-notebooks,windbridge-partners,true,"Internal biostat-notebooks repository.",main,TypeScript,32,2,12,2026-01-13T00:00:00Z,2026-04-01T00:00:00Z
8007,survival-models,brianhenderson/survival-models,brianhenderson,true,"Internal survival-models repository.",main,Shell,42,1,3,2026-06-03T00:00:00Z,2026-02-09T00:00:00Z
8008,power-calc,windbridge-partners/power-calc,windbridge-partners,true,"Internal power-calc repository.",main,Julia,0,1,1,2026-07-26T00:00:00Z,2026-07-11T00:00:00Z
8009,manuscript-tools,brianhenderson/manuscript-tools,brianhenderson,true,"Internal manuscript-tools repository.",main,Go,18,3,14,2026-10-25T00:00:00Z,2026-07-27T00:00:00Z
8010,data-cleaning,windbridge-partners/data-cleaning,windbridge-partners,true,"Internal data-cleaning repository.",main,R,3,9,2,2026-07-16T00:00:00Z,2026-07-20T00:00:00Z
8011,qc-pipeline,windbridge-partners/qc-pipeline,windbridge-partners,true,"Internal qc-pipeline repository.",main,Julia,3,9,6,2026-07-22T00:00:00Z,2026-06-05T00:00:00Z
8012,dashboard-api,windbridge-partners/dashboard-api,windbridge-partners,true,"Internal dashboard-api repository.",main,Julia,16,0,4,2026-02-19T00:00:00Z,2026-02-19T00:00:00Z
8013,sample-tracker,windbridge-partners/sample-tracker,windbridge-partners,true,"Internal sample-tracker repository.",main,Shell,42,8,4,2026-06-15T00:00:00Z,2026-05-22T00:00:00Z
8014,lab-inventory,brianhenderson/lab-inventory,brianhenderson,true,"Internal lab-inventory repository.",main,Shell,29,3,8,2026-05-25T00:00:00Z,2026-02-27T00:00:00Z
8015,protocol-docs,brianhenderson/protocol-docs,brianhenderson,true,"Internal protocol-docs repository.",main,R,9,7,8,2026-05-23T00:00:00Z,2026-10-26T00:00:00Z
8016,ci-config,windbridge-partners/ci-config,windbridge-partners,true,"Internal ci-config repository.",main,Go,49,9,4,2026-10-26T00:00:00Z,2026-10-20T00:00:00Z
8017,infra-terraform,windbridge-partners/infra-terraform,windbridge-partners,true,"Internal infra-terraform repository.",main,Shell,21,4,6,2026-10-24T00:00:00Z,2026-06-16T00:00:00Z
8018,ml-baselines,windbridge-partners/ml-baselines,windbridge-partners,true,"Internal ml-baselines repository.",main,Go,7,8,1,2026-02-05T00:00:00Z,2026-04-24T00:00:00Z
8019,report-generator,brianhenderson/report-generator,brianhenderson,true,"Internal report-generator repository.",main,Shell,20,4,0,2026-04-17T00:00:00Z,2026-09-24T00:00:00Z
