id,issue_number,repo,user,body,created_at
9300001,101,windbridge-partners/mrna4157-analysis,brianhenderson,Looking into this now — the MICE package version in renv.lock needs to match production. Will push a fix this afternoon.,2025-12-11T10:00:00Z
9300002,100,windbridge-partners/mrna4157-analysis,brianhenderson,Using survminer::ggsurvplot with conf.int=TRUE. Should be straightforward — will open a PR today.,2025-12-14T09:30:00Z
9300003,11,brianhenderson/ph206-materials,brianhenderson,Template is ready for review. Added YAML header with standard fields and a sample code chunk for the data import section.,2025-11-28T11:00:00Z
9300004,10,brianhenderson/ph206-materials,brianhenderson,"Checked enrollment records — students 14, 22, and 31 were absent both weeks. I'll add NA entries with an absent flag so the dataset is complete.",2025-12-02T14:00:00Z
9300005,22,windbridge-partners/dataviz-pipeline,brianhenderson,Root cause confirmed: the theme_clinical() helper was setting base_size=10 for forest plots and the scatter helper was defaulting to 12. Fixing in a single theme object now.,2025-12-13T16:00:00Z
9300006,5,windbridge-partners/back-pain-analysis,brianhenderson,"README draft is up in the docs/ folder. Covers design, inclusion criteria, variable codebook, and a quick-start for reproducing figures.",2025-12-01T09:00:00Z
3000000100,202,windbridge-partners/power-calc,rfoster,"Needs rebase.",2026-02-06T00:00:00Z
3000000101,205,windbridge-partners/infra-terraform,rbarrera,"Thanks for the fix.",2026-06-17T00:00:00Z
3000000102,201,windbridge-partners/infra-terraform,dmiller,"Can you add a test?",2026-05-15T00:00:00Z
3000000103,206,brianhenderson/protocol-docs,jpowell,"LGTM.",2026-03-11T00:00:00Z
3000000104,203,windbridge-partners/clinical-reports,awong,"LGTM.",2026-10-24T00:00:00Z
3000000105,202,brianhenderson/ivf-data-tracker,rbarrera,"Can you add a test?",2026-03-17T00:00:00Z
3000000106,206,windbridge-partners/infra-terraform,rfoster,"Fixed in latest push.",2026-05-08T00:00:00Z
3000000107,201,windbridge-partners/back-pain-analysis,rfoster,"Needs rebase.",2026-01-08T00:00:00Z
3000000108,203,windbridge-partners/dashboard-api,rbarrera,"Approved.",2026-01-02T00:00:00Z
3000000109,204,brianhenderson/survival-models,klee,"Needs rebase.",2026-06-05T00:00:00Z
3000000110,205,windbridge-partners/dashboard-api,rfoster,"LGTM.",2026-02-09T00:00:00Z
3000000111,202,windbridge-partners/power-calc,mstevens,"Approved.",2026-03-19T00:00:00Z
3000000112,202,windbridge-partners/ci-config,jpowell,"Reproduced locally.",2026-10-20T00:00:00Z
3000000113,203,windbridge-partners/qc-pipeline,rbarrera,"Needs rebase.",2026-02-12T00:00:00Z
