metric,scope,base_value,amplitude,unit
datadog_metrics_1000,scope_0,base_value_0,amplitude_0,unit_0
datadog_metrics_1001,scope_1,base_value_1,amplitude_1,unit_1
datadog_metrics_1002,scope_2,base_value_2,amplitude_2,unit_2
datadog_metrics_1003,scope_3,base_value_3,amplitude_3,unit_3
datadog_metrics_1004,scope_4,base_value_4,amplitude_4,unit_4
datadog_metrics_1005,scope_5,base_value_5,amplitude_5,unit_5
datadog_metrics_1006,scope_6,base_value_6,amplitude_6,unit_6
datadog_metrics_1007,scope_7,base_value_7,amplitude_7,unit_7
datadog_metrics_1008,scope_8,base_value_8,amplitude_8,unit_8
datadog_metrics_1009,scope_9,base_value_9,amplitude_9,unit_9
datadog_metrics_1010,scope_10,base_value_10,amplitude_10,unit_10
datadog_metrics_1011,scope_11,base_value_11,amplitude_11,unit_11
datadog_metrics_1012,scope_12,base_value_12,amplitude_12,unit_12
datadog_metrics_1013,scope_13,base_value_13,amplitude_13,unit_13
datadog_metrics_1014,scope_14,base_value_14,amplitude_14,unit_14
datadog_metrics_1015,scope_15,base_value_15,amplitude_15,unit_15
datadog_metrics_1016,scope_16,base_value_16,amplitude_16,unit_16
datadog_metrics_1017,scope_17,base_value_17,amplitude_17,unit_17
datadog_metrics_1018,scope_18,base_value_18,amplitude_18,unit_18
datadog_metrics_1019,scope_19,base_value_19,amplitude_19,unit_19
datadog_metrics_1020,scope_20,base_value_20,amplitude_20,unit_20
datadog_metrics_1021,scope_21,base_value_21,amplitude_21,unit_21
datadog_metrics_1022,scope_22,base_value_22,amplitude_22,unit_22
datadog_metrics_1023,scope_23,base_value_23,amplitude_23,unit_23
datadog_metrics_1024,scope_24,base_value_24,amplitude_24,unit_24
datadog_metrics_1025,scope_25,base_value_25,amplitude_25,unit_25
datadog_metrics_1026,scope_26,base_value_26,amplitude_26,unit_26
datadog_metrics_1027,scope_27,base_value_27,amplitude_27,unit_27
datadog_metrics_1028,scope_28,base_value_28,amplitude_28,unit_28
datadog_metrics_1029,scope_29,base_value_29,amplitude_29,unit_29
datadog_metrics_1030,scope_30,base_value_30,amplitude_30,unit_30
datadog_metrics_1031,scope_31,base_value_31,amplitude_31,unit_31
datadog_metrics_1032,scope_32,base_value_32,amplitude_32,unit_32
datadog_metrics_1033,scope_33,base_value_33,amplitude_33,unit_33
datadog_metrics_1034,scope_34,base_value_34,amplitude_34,unit_34
datadog_metrics_1035,scope_35,base_value_35,amplitude_35,unit_35
datadog_metrics_1036,scope_36,base_value_36,amplitude_36,unit_36
datadog_metrics_1037,scope_37,base_value_37,amplitude_37,unit_37
datadog_metrics_1038,scope_38,base_value_38,amplitude_38,unit_38
datadog_metrics_1039,scope_39,base_value_39,amplitude_39,unit_39
datadog_metrics_1040,scope_40,base_value_40,amplitude_40,unit_40
datadog_metrics_1041,scope_41,base_value_41,amplitude_41,unit_41
datadog_metrics_1042,scope_42,base_value_42,amplitude_42,unit_42
datadog_metrics_1043,scope_43,base_value_43,amplitude_43,unit_43
datadog_metrics_1044,scope_44,base_value_44,amplitude_44,unit_44
datadog_metrics_1045,scope_45,base_value_45,amplitude_45,unit_45
datadog_metrics_1046,scope_46,base_value_46,amplitude_46,unit_46
datadog_metrics_1047,scope_47,base_value_47,amplitude_47,unit_47
datadog_metrics_1048,scope_48,base_value_48,amplitude_48,unit_48
datadog_metrics_1049,scope_49,base_value_49,amplitude_49,unit_49
datadog_metrics_1050,scope_50,base_value_50,amplitude_50,unit_50
datadog_metrics_1051,scope_51,base_value_51,amplitude_51,unit_51
datadog_metrics_1052,scope_52,base_value_52,amplitude_52,unit_52
datadog_metrics_1053,scope_53,base_value_53,amplitude_53,unit_53
datadog_metrics_1054,scope_54,base_value_54,amplitude_54,unit_54
datadog_metrics_1055,scope_55,base_value_55,amplitude_55,unit_55
datadog_metrics_1056,scope_56,base_value_56,amplitude_56,unit_56
datadog_metrics_1057,scope_57,base_value_57,amplitude_57,unit_57
datadog_metrics_1058,scope_58,base_value_58,amplitude_58,unit_58
datadog_metrics_1059,scope_59,base_value_59,amplitude_59,unit_59
datadog_metrics_1060,scope_60,base_value_60,amplitude_60,unit_60
datadog_metrics_1061,scope_61,base_value_61,amplitude_61,unit_61
datadog_metrics_1062,scope_62,base_value_62,amplitude_62,unit_62
datadog_metrics_1063,scope_63,base_value_63,amplitude_63,unit_63
datadog_metrics_1064,scope_64,base_value_64,amplitude_64,unit_64
datadog_metrics_1065,scope_65,base_value_65,amplitude_65,unit_65
datadog_metrics_1066,scope_66,base_value_66,amplitude_66,unit_66
datadog_metrics_1067,scope_67,base_value_67,amplitude_67,unit_67
datadog_metrics_1068,scope_68,base_value_68,amplitude_68,unit_68
datadog_metrics_1069,scope_69,base_value_69,amplitude_69,unit_69
datadog_metrics_1070,scope_70,base_value_70,amplitude_70,unit_70
datadog_metrics_1071,scope_71,base_value_71,amplitude_71,unit_71
datadog_metrics_1072,scope_72,base_value_72,amplitude_72,unit_72
datadog_metrics_1073,scope_73,base_value_73,amplitude_73,unit_73
datadog_metrics_1074,scope_74,base_value_74,amplitude_74,unit_74
datadog_metrics_1075,scope_75,base_value_75,amplitude_75,unit_75
datadog_metrics_1076,scope_76,base_value_76,amplitude_76,unit_76
datadog_metrics_1077,scope_77,base_value_77,amplitude_77,unit_77
datadog_metrics_1078,scope_78,base_value_78,amplitude_78,unit_78
datadog_metrics_1079,scope_79,base_value_79,amplitude_79,unit_79
datadog_metrics_1080,scope_80,base_value_80,amplitude_80,unit_80
datadog_metrics_1081,scope_81,base_value_81,amplitude_81,unit_81
datadog_metrics_1082,scope_82,base_value_82,amplitude_82,unit_82
datadog_metrics_1083,scope_83,base_value_83,amplitude_83,unit_83
datadog_metrics_1084,scope_84,base_value_84,amplitude_84,unit_84
datadog_metrics_1085,scope_85,base_value_85,amplitude_85,unit_85
datadog_metrics_1086,scope_86,base_value_86,amplitude_86,unit_86
datadog_metrics_1087,scope_87,base_value_87,amplitude_87,unit_87
datadog_metrics_1088,scope_88,base_value_88,amplitude_88,unit_88
datadog_metrics_1089,scope_89,base_value_89,amplitude_89,unit_89
datadog_metrics_1090,scope_90,base_value_90,amplitude_90,unit_90
datadog_metrics_1091,scope_91,base_value_91,amplitude_91,unit_91
datadog_metrics_1092,scope_92,base_value_92,amplitude_92,unit_92
datadog_metrics_1093,scope_93,base_value_93,amplitude_93,unit_93
datadog_metrics_1094,scope_94,base_value_94,amplitude_94,unit_94
datadog_metrics_1095,scope_95,base_value_95,amplitude_95,unit_95
datadog_metrics_1096,scope_96,base_value_96,amplitude_96,unit_96
datadog_metrics_1097,scope_97,base_value_97,amplitude_97,unit_97
datadog_metrics_1098,scope_98,base_value_98,amplitude_98,unit_98
datadog_metrics_1099,scope_99,base_value_99,amplitude_99,unit_99
