zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
zpid_80000000,2426 Colesville Rd,Silver Spring,MD,20902,39.0159,-77.0222,3,2,1445,3508,1997,Townhouse,398771,402670,1993,PENDING,21,agt_4a2eb394fd
zpid_80000001,2664 Fenton St,Wheaton,MD,20902,38.9886,-76.9898,3,3,1007,7380,1998,Condo,405115,409826,2025,SOLD,74,agt_3b094d4c65
zpid_80000002,6163 Piney Branch Rd,Kensington,MD,20895,39.0039,-77.0035,3,2,1445,3235,1952,Townhouse,417450,436253,2087,SOLD,31,agt_e52ffa0498
zpid_80000003,636 Ellsworth Dr,Kensington,MD,20895,38.9623,-76.9712,3,3,1009,3137,2007,SingleFamily,385148,389229,1925,SOLD,54,agt_6b336fd821
zpid_80000004,7884 Colesville Rd,Bethesda,MD,20814,38.9591,-77.0048,2,2,1231,5032,1958,Townhouse,386104,384453,1930,FOR_SALE,5,agt_38d8543182
zpid_80000005,9002 Georgia Ave,Takoma Park,MD,20912,38.9719,-77.0022,3,2,909,3739,1951,SingleFamily,448560,436828,2242,SOLD,34,agt_ed488ac720
zpid_80000006,6679 Bonifant St,Silver Spring,MD,20902,38.9650,-76.9922,3,1,1288,7239,1957,Multi-Family,394892,410911,1974,FOR_SALE,86,agt_1e01d91003
zpid_80000007,4374 Fenton St,Silver Spring,MD,20902,38.9947,-77.0076,2,2,942,5255,1959,Townhouse,389963,379897,1949,FOR_SALE,82,agt_d84346af26
zpid_80000008,6110 Wayne Ave,Silver Spring,MD,20910,38.9874,-77.0446,4,2,1373,3163,1989,Multi-Family,431362,429918,2156,FOR_SALE,89,agt_local_ss_2
zpid_80000009,9495 Piney Branch Rd,Kensington,MD,20895,38.9451,-77.0401,3,2,1309,6857,1975,SingleFamily,431836,416849,2159,FOR_SALE,73,agt_926faed46b
zpid_80000010,1192 Blair Mill Rd,Silver Spring,MD,20910,39.0382,-76.9810,3,3,1256,2118,1954,SingleFamily,433792,422479,2168,SOLD,86,agt_95e4882e32
zpid_80000011,260 Blair Mill Rd,Silver Spring,MD,20902,39.0057,-76.9866,3,1,1486,8491,1956,Condo,394471,398714,1972,FOR_SALE,43,agt_c2fc53f51a
