zpid,event_date,event,price,price_per_sqft,source
zpid_80000132,2023-04-11,Price change,364086,360,Public Record
zpid_80000062,2025-08-07,Pending,421652,327,MRIS
zpid_80000161,2026-09-30,Listed,471530,337,Agent Report
zpid_80000057,2025-01-09,Pending,417968,365,MRIS
zpid_80000121,2026-03-26,Listed for rent,462025,396,MRIS
zpid_80000198,2023-09-07,Listed,552515,460,Public Record
zpid_80000054,2025-09-09,Price change,468864,511,Public Record
zpid_80000181,2023-04-06,Listed for rent,633341,568,Agent Report
zpid_80000155,2023-06-15,Listed,414916,290,BRIGHT MLS
zpid_80000081,2024-08-12,Listed for rent,392984,436,MRIS
zpid_80000183,2023-06-17,Price change,569949,618,BRIGHT MLS
zpid_80000072,2025-01-29,Listed for rent,386792,258,Agent Report
zpid_80000095,2024-09-18,Listed for rent,435539,375,MRIS
zpid_80000137,2025-09-07,Listed,462117,510,BRIGHT MLS
zpid_80000104,2024-02-22,Pending,403837,412,Public Record
zpid_80000049,2026-09-29,Listed for rent,430539,370,Agent Report
zpid_80000025,2024-07-06,Sold,445810,440,MRIS
zpid_80000035,2024-07-21,Price change,402419,278,MRIS
zpid_80000190,2024-12-15,Sold,599975,481,BRIGHT MLS
zpid_80000004,2026-07-06,Listed,404696,328,Agent Report
zpid_80000017,2026-05-14,Listed for rent,449228,300,MRIS
zpid_80000151,2024-08-20,Price change,436470,444,Agent Report
zpid_80000045,2023-08-31,Listed,370779,336,Agent Report
zpid_80000195,2026-04-23,Sold,531476,456,BRIGHT MLS
zpid_80000133,2024-05-02,Pending,417401,418,MRIS
zpid_80000059,2025-06-30,Listed,462553,427,Agent Report
zpid_80000121,2023-09-14,Price change,435985,374,Agent Report
zpid_80000121,2024-12-18,Price change,434917,373,Public Record
zpid_80000149,2024-04-11,Price change,369703,318,Agent Report
zpid_80000174,2023-08-27,Listed,373200,328,Agent Report
zpid_80000163,2026-08-02,Listed,435637,364,MRIS
zpid_80000040,2023-07-31,Price change,376831,308,Agent Report
zpid_80000156,2025-06-28,Price change,409086,273,MRIS
zpid_80000197,2026-05-24,Pending,516713,553,Public Record
zpid_80000176,2025-08-29,Price change,434078,301,BRIGHT MLS
zpid_80000167,2023-01-26,Pending,436675,370,Public Record
zpid_80000176,2025-02-01,Price change,428982,297,Agent Report
zpid_80000010,2024-02-13,Listed for rent,409535,326,Public Record
