OrderItemId,AmazonOrderId,ASIN,SellerSKU,Title,QuantityOrdered,QuantityShipped,ItemPrice_CurrencyCode,ItemPrice_Amount,ItemTax_Amount,PromotionDiscount_Amount,IsGift,Condition
OI-BS013-01,114-2604810-BS013,B00CHESS103,CB-CHESS-103,My System Nimzowitsch Third Copy,1,1,USD,32.00,0.00,0.00,false,Near Fine
OI-BS014-01,114-2604811-BS014,B00CHESS105,CB-CHESS-105,Endgame Manual Dvoretsky Fifth,1,1,USD,44.30,0.00,0.00,false,Fine
OI-BS015-01,114-2604812-BS015,B00CHESS104,CB-CHESS-104,Chess Fundamentals Capablanca Reprint,1,1,USD,27.80,0.00,0.00,false,Very Good
OI-BS016-01,114-2604813-BS016,B00CHESS108,CB-CHESS-108,Reti Modern Ideas in Chess Reprint,1,1,USD,52.10,0.00,0.00,false,Very Good
OI-BS017-01,114-2604814-BS017,B00CHESS110,CB-CHESS-110,Silman Reassess Your Chess Fourth Duplicate,1,1,USD,38.80,0.00,0.00,false,Very Good
OI-BS018-01,114-2604815-BS018,B00CHESS109,CB-CHESS-109,Karpov Best Games Duplicate,1,1,USD,64.75,0.00,0.00,false,Very Good
OI-BS019-01,114-2604816-BS019,B00CHESS106,CB-CHESS-106,Petrosian Complete Games 1946 1963 Duplicate,1,1,USD,105.00,0.00,0.00,false,Very Good
OI-BS020-01,114-2604817-BS020,B00CHESS103,CB-CHESS-103,My System Nimzowitsch Third Copy,1,1,USD,29.90,0.00,0.00,false,Near Fine
OI-BS021-01,114-2604818-BS021,B00CHESS102,CB-CHESS-102,Zurich 1953 Bronstein Second Copy,1,1,USD,49.50,0.00,0.00,false,Very Good
OI-BS022-01,114-2604819-BS022,B00CHESS104,CB-CHESS-104,Chess Fundamentals Capablanca Reprint,1,1,USD,36.20,0.00,0.00,false,Very Good
OI-BS023-01,114-2604820-BS023,B00CHESS107,CB-CHESS-107,Sorcerer Apprentice Bronstein Duplicate,1,1,USD,52.20,0.00,0.00,false,Very Good
OI-BS024-01,114-2604821-BS024,B00CHESS110,CB-CHESS-110,Silman Reassess Your Chess Fourth Duplicate,1,1,USD,42.60,0.00,0.00,false,Very Good
OI-BS025-01,114-2604822-BS025,B00CHESS101,CB-CHESS-101,Fischer Sixty Memorable Games First Faber 1969 Duplicate,1,1,USD,60.75,0.00,0.00,false,Very Good
