id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C_HARBOR,harborview-condos,False,False,Harborview panel upgrade - 24 units,"Job coordination, RFIs, punch list",U_TYLER,1775052000,7
C_PUNCH,harborview-punchlist,False,False,Final walk punch items,Track and close punch items before sign-off,U_MARIA,2026-08-15T08:30:00-05:00,4
C_GEN,general,False,False,Walker's Point Builders general,Company-wide announcements,U_TYLER,2025-01-15T09:00:00-05:00,5
C_SUBS,subs,False,False,Subcontractor coordination,Cross-trade scheduling,U_TYLER,2025-03-20T10:00:00-05:00,4
C87YBX27E,channel-bel2j,false,false,,Updates,U001,2025-06-28T16:44:00,5
CR2VKZCJA,channel-se6cq,false,false,,General,U001,2025-10-27T19:47:00,1
CM7FRJR47,channel-lkgfx,false,false,,General,U001,2025-09-19T09:03:00,3
C0MNVSCM5,channel-chgs0,false,false,,,U001,2025-01-11T00:13:00,2
CU1D3HBL0,channel-hdgtd,false,false,,General,U001,2026-02-08T17:05:00,2
CI6OPRVFI,channel-02fth,false,false,,Jobs,U001,2025-10-13T06:48:00,7
CZDKGD63P,channel-0q4lx,false,false,,Jobs,U001,2026-04-28T09:07:00,2
C8RBT8MIB,channel-miflz,false,false,,Jobs,U001,2025-06-19T21:37:00,6
CCBG8NT0T,channel-vskfu,false,false,,,U001,2025-08-21T11:05:00,5
CNS4TQZ4E,channel-anslw,false,false,,,U001,2026-02-18T21:41:00,4
CX21BZGLY,channel-y3ovj,false,false,,General,U001,2025-09-15T15:42:00,1
C7GNYE55W,channel-qtdod,false,false,,Jobs,U001,2025-02-25T15:02:00,2
C41S4QUY3,channel-70t4y,false,false,,Updates,U001,2025-04-26T09:11:00,1
CHHJ4XM9E,channel-pvegx,false,false,,,U001,2026-03-23T01:20:00,4
CLSFWGOTV,channel-7n4p2,false,false,,Updates,U001,2026-08-24T11:27:00,3
COQ89DGI3,channel-45cdq,false,false,,General,U001,2025-12-03T02:16:00,3
CZ8EQZ55W,channel-yr0ta,false,false,,General,U001,2025-11-14T23:17:00,6
CQ9D3495F,channel-n3gzw,false,false,,General,U001,2025-02-24T17:31:00,8
CPK2Y08G1,channel-nkvtn,false,false,,Jobs,U001,2026-07-18T07:20:00,6
CD2T6MKZN,channel-tojxy,false,false,,Updates,U001,2026-02-09T15:16:00,5
C4A8P5D3U,channel-t4c2o,false,false,,,U001,2025-11-04T21:34:00,4
