entity	code	year	sea_temperature_anomaly_annual	sea_temperature_anomaly_low_annual	sea_temperature_anomaly_high_annual
Northern Hemisphere	OWID_NH	1850	-0.053807918	-0.12950541	-0.001657337
Northern Hemisphere	OWID_NH	1851	0.06566708	-0.008824085	0.11965133
Northern Hemisphere	OWID_NH	1852	0.14944774	0.07916983	0.20092358
Northern Hemisphere	OWID_NH	1853	0.11931158	0.0546835	0.17232075
Northern Hemisphere	OWID_NH	1854	0.09919183	0.037318747	0.15185434
Northern Hemisphere	OWID_NH	1855	0.11540216	0.05725016	0.16730216
Northern Hemisphere	OWID_NH	1856	-0.08559301	-0.14171375	-0.034720253
Northern Hemisphere	OWID_NH	1857	-0.120996505	-0.17387226	-0.07099251
Northern Hemisphere	OWID_NH	1858	-0.16335443	-0.21237534	-0.11294859
Northern Hemisphere	OWID_NH	1859	-0.042262416	-0.08941367	0.00835783
Northern Hemisphere	OWID_NH	1860	0.0002728309	-0.043663334	0.048784163
Northern Hemisphere	OWID_NH	1861	-0.011019838	-0.053683586	0.037732333
Northern Hemisphere	OWID_NH	1862	-0.3099215	-0.349427	-0.263763
Northern Hemisphere	OWID_NH	1863	-0.110682674	-0.14820734	-0.061153173
Northern Hemisphere	OWID_NH	1864	-0.04929925	-0.08484358	-0.0036524173
Northern Hemisphere	OWID_NH	1865	0.11755941	0.083535664	0.16058399
Northern Hemisphere	OWID_NH	1866	0.0753555	0.040464	0.120978996
Northern Hemisphere	OWID_NH	1867	0.117546834	0.08638033	0.16068417
Northern Hemisphere	OWID_NH	1868	0.22358617	0.18991709	0.270317
Northern Hemisphere	OWID_NH	1869	0.09563975	0.058518745	0.14436491
Northern Hemisphere	OWID_NH	1870	0.16153483	0.1259685	0.21320058
Northern Hemisphere	OWID_NH	1871	0.0037315793	-0.030051002	0.055794075
Northern Hemisphere	OWID_NH	1872	-0.008283587	-0.040169086	0.036317747
Northern Hemisphere	OWID_NH	1873	-0.073492415	-0.10696367	-0.022726918
Northern Hemisphere	OWID_NH	1874	-0.11558117	-0.14703009	-0.06083675
Northern Hemisphere	OWID_NH	1875	-0.032925833	-0.06904525	0.028244583
Northern Hemisphere	OWID_NH	1876	-0.05679967	-0.09273276	0.00069974526
Northern Hemisphere	OWID_NH	1877	0.33781457	0.29941234	0.39549425
Northern Hemisphere	OWID_NH	1878	0.32556033	0.289028	0.38891858
Northern Hemisphere	OWID_NH	1879	0.025346331	-0.015307834	0.08492066
Northern Hemisphere	OWID_NH	1880	0.010960996	-0.032576084	0.06811933
Northern Hemisphere	OWID_NH	1881	0.03778266	-0.0065432517	0.10118925
