id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ORD-86a75584-e639-33a5-4d93-60a15d2d7a40,cli-f51ab7d34e38,AAPL,3,3,buy,market,day,,filled,237.10,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z
ORD-e12e3d9b-918e-8892-44f9-10ff86337fae,cli-e71941ffa990,AAPL,4,0,sell,market,day,,new,,2026-03-11T00:00:00Z,
ORD-02fce191-06d8-1f99-4038-0f992d30f0ea,cli-d725097259ff,MSFT,2,2,buy,market,day,,filled,416.16,2026-03-08T00:00:00Z,2026-03-08T00:00:00Z
ORD-87475920-0427-739e-4fb4-891750c071e2,cli-4ded94b6333a,MSFT,5,0,sell,market,day,,new,,2026-03-06T00:00:00Z,
ORD-63bb033d-c44d-fab2-4235-60f7a33f9ef2,cli-23dcf36f810d,GOOGL,5,5,buy,market,day,,filled,174.03,2026-03-03T00:00:00Z,2026-03-03T00:00:00Z
ORD-db37e025-1edc-7795-4ce4-ff4ce52d3f2e,cli-53097393bb75,GOOGL,1,0,sell,market,day,,new,,2026-03-01T00:00:00Z,
ORD-7ccb7c72-048f-979d-4711-9a5373be37c3,cli-614200800cff,AMZN,1,1,buy,market,day,,filled,196.25,2026-02-26T00:00:00Z,2026-02-26T00:00:00Z
ORD-d4e557a9-20af-4881-485b-377460cffc45,cli-3ae720477d04,AMZN,1,0,sell,market,day,,new,,2026-02-24T00:00:00Z,
ORD-5637d1f7-59df-a4af-4de7-f780c143e607,cli-79a699997cc3,NVDA,3,3,buy,market,day,,filled,141.65,2026-02-21T00:00:00Z,2026-02-21T00:00:00Z
ORD-6897063c-1e5b-fbab-46cd-415f96dc95f2,cli-8f5ba54fd4ba,NVDA,3,0,sell,market,day,,new,,2026-02-19T00:00:00Z,
ORD-ada1b7cf-9e32-b4a6-4b87-02107a05317a,cli-32f3cb60b6e9,META,1,1,buy,market,day,,filled,575.11,2026-02-16T00:00:00Z,2026-02-16T00:00:00Z
ORD-0c43fa0c-927a-c1a0-4571-93019703d967,cli-3027d2530de3,META,2,0,sell,market,day,,new,,2026-02-14T00:00:00Z,
ORD-11110001-e639-33a5-4d93-60a15d2d0001,cli-a1b2c3d40001,AVGO,4,4,buy,market,day,,filled,152.30,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z
ORD-11110002-e639-33a5-4d93-60a15d2d0002,cli-a1b2c3d40002,AMD,6,6,buy,market,day,,filled,118.75,2026-02-10T00:00:00Z,2026-02-10T00:00:00Z
ORD-11110003-e639-33a5-4d93-60a15d2d0003,cli-a1b2c3d40003,DIS,5,5,sell,market,day,,filled,98.40,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z
ORD-11110004-e639-33a5-4d93-60a15d2d0004,cli-a1b2c3d40004,COST,2,2,buy,market,day,,filled,905.10,2025-12-05T00:00:00Z,2025-12-05T00:00:00Z
ORD-11110005-e639-33a5-4d93-60a15d2d0005,cli-a1b2c3d40005,CRM,10,10,buy,limit,gtc,280.00,new,,2026-11-14T00:00:00Z,2026-11-14T00:00:00Z
ORD-11110006-e639-33a5-4d93-60a15d2d0006,cli-a1b2c3d40006,NFLX,3,3,sell,limit,gtc,640.00,new,,2026-11-20T00:00:00Z,2026-11-20T00:00:00Z
ORD-11110007-e639-33a5-4d93-60a15d2d0007,cli-a1b2c3d40007,QQQ,12,12,buy,market,day,,filled,488.20,2026-03-02T00:00:00Z,2026-03-02T00:00:00Z
ORD-11110008-e639-33a5-4d93-60a15d2d0008,cli-a1b2c3d40008,SCHD,30,30,buy,market,day,,filled,28.90,2026-10-08T00:00:00Z,2026-10-08T00:00:00Z
