symbol,bid_price,bid_size,ask_price,ask_size,timestamp
AAPL,237.05,120,237.15,100,2026-03-27T00:00:00Z
MSFT,416.08,120,416.24,100,2026-03-27T00:00:00Z
GOOGL,174.00,120,174.06,100,2026-03-27T00:00:00Z
AMZN,196.21,120,196.29,100,2026-03-27T00:00:00Z
NVDA,141.62,120,141.68,100,2026-03-27T00:00:00Z
META,574.99,120,575.23,100,2026-03-27T00:00:00Z
TSLA,291.30,110,291.50,100,2026-03-27T00:00:00Z
BRK.B,462.20,90,462.45,80,2026-03-27T00:00:00Z
V,310.00,140,310.25,150,2026-03-27T00:00:00Z
JPM,232.60,210,232.85,200,2026-03-27T00:00:00Z
VOO,540.10,70,540.35,60,2026-03-27T00:00:00Z
VTI,288.30,100,288.55,90,2026-03-27T00:00:00Z
AVGO,152.20,130,152.40,120,2026-03-27T00:00:00Z
AMD,118.65,150,118.90,140,2026-03-27T00:00:00Z
DIS,98.30,120,98.50,110,2026-03-27T00:00:00Z
COST,904.90,50,905.25,40,2026-03-27T00:00:00Z
CRM,281.40,80,281.60,70,2026-03-27T00:00:00Z
NFLX,640.00,60,640.25,55,2026-03-27T00:00:00Z
QQQ,488.10,110,488.35,100,2026-03-27T00:00:00Z
SCHD,28.85,310,28.95,300,2026-03-27T00:00:00Z
