id,company_id,pay_period_start,pay_period_end,check_date,processed,gross_pay,net_pay,employee_count
pay-401,comp-001,2026-04-01,2026-04-15,2026-04-20,true,48750.00,35420.50,8
pay-402,comp-001,2026-04-16,2026-04-30,2026-05-05,true,48975.25,35610.10,8
pay-403,comp-001,2026-05-01,2026-05-15,2026-05-20,true,49120.00,35740.75,8
pay-404,comp-001,2026-05-16,2026-05-31,2026-06-05,false,0.00,0.00,8
pay-405,comp-001,2026-06-01,2026-06-15,2026-06-20,true,61240.00,44120.30,14
pay-406,comp-001,2026-06-16,2026-06-30,2026-07-06,true,61480.50,44290.75,14
pay-407,comp-001,2026-07-01,2026-07-15,2026-07-20,true,61710.00,44460.20,14
pay-408,comp-001,2026-07-16,2026-07-31,2026-08-05,true,61905.25,44600.10,14
pay-409,comp-001,2026-08-01,2026-08-15,2026-08-20,true,62150.00,44780.40,14
pay-410,comp-001,2026-11-16,2026-11-30,2026-12-04,false,0.00,0.00,14
