month,location,latitude,longitude,avg_irradiance_kwh_per_m2_per_day,peak_sun_hours,notes
2026-01,Milwaukee WI,43.0389,-87.9065,2.10,2.10,Winter low; snow cover reduces effective output
2026-02,Milwaukee WI,43.0389,-87.9065,3.00,3.00,
2026-03,Milwaukee WI,43.0389,-87.9065,4.20,4.20,
2026-04,Milwaukee WI,43.0389,-87.9065,5.10,5.10,
2026-05,Milwaukee WI,43.0389,-87.9065,5.80,5.80,
2026-06,Milwaukee WI,43.0389,-87.9065,6.40,6.40,Peak month
2026-07,Milwaukee WI,43.0389,-87.9065,6.30,6.30,Peak month
2026-08,Milwaukee WI,43.0389,-87.9065,5.60,5.60,
2026-09,Milwaukee WI,43.0389,-87.9065,4.50,4.50,
2026-10,Milwaukee WI,43.0389,-87.9065,3.20,3.20,
2026-11,Milwaukee WI,43.0389,-87.9065,2.10,2.10,
2026-12,Milwaukee WI,43.0389,-87.9065,1.70,1.70,
annual_avg,Milwaukee WI,43.0389,-87.9065,4.17,4.17,Annual average peak-sun-hours for sizing residential PV
