unit,panel_size_amps,change_order_ref,as_built_status,walkthrough_notes,warranty_start_target
1,200,CO-HV-001,complete,Confirmed by Ryan 09/12; tenant signed off,2026-10-08
2,200,CO-HV-002,complete,Confirmed by Ryan 09/12,2026-10-08
3,200,CO-HV-003,complete,Confirmed by Danny 09/13,2026-10-08
4,200,CO-HV-004,complete,Confirmed by Danny 09/13,2026-10-08
5,200,CO-HV-005,complete,Confirmed by Ryan 09/14,2026-10-08
6,200,CO-HV-006,complete,Confirmed by Ryan 09/14; minor label correction pending,2026-10-08
7,200,CO-HV-007,complete,Ryan lead; verified 09/16,2026-10-08
8,200,CO-HV-008,complete,Ryan lead; verified 09/16,2026-10-08
9,200,CO-HV-008-A,complete,Change order CO-HV-008-A added 09/04 for additional kitchen circuit,2026-10-08
10,200,CO-HV-010,complete,Ryan lead; verified 09/17,2026-10-08
11,200,CO-HV-011,complete,Ryan lead; verified 09/17,2026-10-08
12,200,CO-HV-012,complete,Ryan lead; verified 09/17,2026-10-08
13,200,CO-HV-013,complete,Danny/Jake; verified 09/19,2026-10-08
14,200,CO-HV-014,open,Island GFCI on separate breaker per code; owner question via Maria Suarez 09/18 needs canned answer,2026-10-08
15,200,CO-HV-015,complete,Danny/Jake; verified 09/19,2026-10-08
16,200,CO-HV-016,complete,Danny/Jake; verified 09/20,2026-10-08
17,200,CO-HV-017,complete,Danny/Jake; verified 09/20,2026-10-08
18,200,CO-HV-018,complete,Danny/Jake; verified 09/20,2026-10-08
19,200,CO-HV-019,complete,Ryan; verified 09/22,2026-10-08
20,200,CO-HV-020,complete,Ryan; verified 09/22,2026-10-08
21,200,CO-HV-021,complete,Ryan; verified 09/23,2026-10-08
22,200,CO-HV-022,complete,Ryan; verified 09/23,2026-10-08
23,200,CO-HV-023,pending-re-verify,Stale punch entry says incomplete; field photo 09/24 shows complete - confirm in person before inspection,2026-10-08
24,200,CO-HV-024,complete,Ryan; verified 09/25,2026-10-08
